X,Y,Z,Timestamp
-0.52,-0.74,0.71,1719420564.252476
-0.39,-0.6,0.9,1719420564.2534132
-0.36,-0.58,0.94,1719420564.2534132
-0.3,-0.62,0.8,1719420564.2540064
-0.45,-0.6,0.59,1719420564.2540064
-0.58,-0.44,0.29,1719420564.2540064
-0.76,-0.51,0.36,1719420564.2540064
-1.23,-0.46,0.53,1719420564.2540064
-1.29,-0.49,0.44,1719420564.255027
1.54,0.28,-0.27,1719420564.255027
0.91,0.31,0.13,1719420564.255027
0.64,0.39,0.19,1719420564.255027
0.38,0.34,-0.03,1719420564.255027
0.29,0.27,-0.03,1719420564.256027
0.32,0.25,0.07,1719420564.2578037
0.59,0.32,0.21,1719420564.2578037
0.59,0.29,0.22,1719420564.2586622
0.68,0.39,0.28,1719420564.2586622
0.48,0.34,0.52,1719420564.324456
0.41,0.29,0.41,1719420564.3254561
0.25,0.33,0.39,1719420564.3254561
0.1,0.24,0.41,1719420564.3254561
0.03,0.34,0.24,1719420564.3909373
0.06,0.37,0.27,1719420564.3909373
-0.02,0.4,0.34,1719420564.3909373
0.09,0.4,0.34,1719420564.3919246
0.02,0.28,0.35,1719420564.4578042
0.07,0.38,0.28,1719420564.4586673
0.18,0.39,0.41,1719420564.4597092
0.16,0.31,0.34,1719420564.4597092
0.17,0.28,0.34,1719420564.5244668
0.16,0.38,0.33,1719420564.5253687
0.08,0.3,0.24,1719420564.5253687
0.21,0.27,0.28,1719420564.5253687
0.17,0.25,0.33,1719420564.5911217
-0.05,0.21,0.55,1719420564.591994
-0.18,0.3,0.59,1719420564.591994
-0.46,0.17,0.5,1719420564.591994
-0.44,0.18,0.34,1719420564.6578043
-0.42,0.21,0.32,1719420564.6587038
-0.2,0.22,0.49,1719420564.6587038
-0.23,0.23,0.34,1719420564.7244558
-0.42,0.17,0.24,1719420564.7254572
-0.66,-0.5,-0.28,1719420564.7264702
-0.53,-0.49,-0.49,1719420564.726806
0.2,-0.48,-0.77,1719420564.7911477
1.12,-0.39,-0.74,1719420564.7911477
0.82,-0.44,-0.39,1719420564.792098
0.34,-0.39,-0.02,1719420564.857809
0.35,-0.44,0.22,1719420564.8586235
0.37,-0.47,0.24,1719420564.858688
0.22,-0.58,0.34,1719420564.8594234
0.41,-0.56,0.32,1719420564.9244602
0.66,-0.75,0.49,1719420564.9244602
0.49,-0.63,0.49,1719420564.9253216
0.36,-0.72,0.59,1719420564.9253216
0.23,-0.84,0.69,1719420564.99114
0.39,-0.72,0.6,1719420564.9920552
0.1,-1.19,2.1,1719420564.9920552
0.26,-1.37,2.47,1719420564.9930549
0.57,-1.75,2.66,1719420565.0577345
0.55,-1.94,1.76,1719420565.0582125
0.41,-1.94,-0.04,1719420565.0585647
0.44,-1.7,-1.14,1719420565.1244733
-0.72,-1.38,-1.15,1719420565.1254225
-1.15,-1.07,-0.58,1719420565.125497
-0.53,-0.78,0.7,1719420565.125497
-0.05,-0.69,1.3,1719420565.1911335
-0.03,-0.86,1.39,1719420565.1919801
-0.1,-0.98,0.91,1719420565.1919801
-0.51,-0.96,0.58,1719420565.2578096
