X,Y,Z,Timestamp
-0.24,0.01,0.34,1719420992.573736
-0.18,-0.0,0.34,1719420992.573736
-0.15,-0.03,0.46,1719420992.5747573
-0.2,-0.15,0.35,1719420992.5747573
-0.16,-0.17,0.52,1719420992.5747573
-0.21,-0.1,0.52,1719420992.5747573
-0.15,-0.15,0.46,1719420992.5747573
-0.22,-0.12,0.53,1719420992.5757592
-0.21,-0.23,0.54,1719420992.5757592
-0.24,-0.19,0.67,1719420992.5757592
-0.29,-0.28,0.55,1719420992.5757592
-0.35,-0.19,0.59,1719420992.5757592
-0.38,-0.19,0.58,1719420992.576761
-0.4,-0.24,0.53,1719420992.576761
-0.31,-0.12,0.56,1719420992.590834
-0.3,-0.07,0.59,1719420992.590834
-0.35,-0.15,0.52,1719420992.5918372
-0.38,-0.22,0.65,1719420992.6577344
-0.31,-0.11,0.64,1719420992.6577344
-0.33,-0.16,0.61,1719420992.658733
-0.31,-0.15,0.59,1719420992.658733
-0.3,-0.18,0.65,1719420992.7241008
-0.35,-0.1,0.62,1719420992.7241008
-0.38,-0.21,0.58,1719420992.7251
-0.28,-0.16,0.55,1719420992.7907643
-0.31,-0.23,0.64,1719420992.7917778
-0.29,-0.18,0.58,1719420992.7917778
-0.28,-0.19,0.62,1719420992.7927778
-0.75,-0.23,0.52,1719420992.8575716
-0.66,-0.23,0.44,1719420992.8575716
-0.6,-0.21,0.44,1719420992.8585963
-0.62,-0.2,0.41,1719420992.9240994
-0.61,-0.18,0.4,1719420992.9240994
-0.66,-0.2,0.39,1719420992.9240994
-0.69,-0.14,0.42,1719420992.925099
-0.52,-0.27,0.44,1719420992.990796
-0.39,-0.22,0.37,1719420992.990796
-0.29,-0.2,0.46,1719420992.9918153
-0.16,-0.11,0.51,1719420992.9918153
0.11,-0.11,0.64,1719420993.0574386
0.24,-0.05,0.59,1719420993.058469
0.21,-0.04,0.54,1719420993.058469
0.27,-0.14,0.64,1719420993.1242788
-0.43,-0.32,0.29,1719420993.124822
-0.39,-0.27,0.23,1719420993.124822
-0.36,-0.23,0.22,1719420993.1258247
-0.4,-0.2,0.18,1719420993.191342
-0.31,-0.19,0.23,1719420993.1924856
-0.26,-0.13,0.3,1719420993.193508
-0.11,-0.1,0.34,1719420993.2574878
-0.18,-0.11,0.44,1719420993.2574878
-0.19,-0.21,0.51,1719420993.2574878
-0.17,-0.28,0.58,1719420993.2584903
-0.27,-0.33,0.7,1719420993.3242438
-0.31,-0.33,0.85,1719420993.3242438
-0.39,-0.47,0.93,1719420993.3242438
-0.41,-0.44,0.91,1719420993.3252425
0.06,-0.23,0.6,1719420993.391091
0.01,-0.24,0.55,1719420993.391091
0.18,-0.23,0.49,1719420993.3921096
0.13,-0.27,0.46,1719420993.4574697
0.16,-0.31,0.47,1719420993.4574697
0.12,-0.34,0.49,1719420993.4574697
0.1,-0.22,0.43,1719420993.4584725
-0.03,-0.36,0.41,1719420993.5240445
-0.07,-0.31,0.4,1719420993.5250545
-0.1,-0.29,0.35,1719420993.5250545
-0.27,-0.39,0.44,1719420993.5260584
-0.39,-0.4,0.48,1719420993.590757
-0.47,-0.38,0.46,1719420993.590757
-0.43,-0.43,0.45,1719420993.5917854
-0.53,-0.31,0.78,1719420993.6576195
-0.48,-0.42,0.87,1719420993.6576195
-0.49,-0.32,0.8,1719420993.6586494
-0.53,-0.41,0.99,1719420993.6586494
-0.56,-0.43,0.95,1719420993.7261367
-0.58,-0.47,1.03,1719420993.7261367
-0.51,-0.49,1.14,1719420993.7271633
-0.49,-0.54,1.1,1719420993.7909088
-0.5,-0.49,1.01,1719420993.7919557
-0.39,-0.51,0.8,1719420993.7919557
-0.52,-0.47,0.73,1719420993.7919557
-0.43,-0.47,0.75,1719420993.8575456
