X,Y,Z,Timestamp
-0.52,-0.41,0.68,1719421394.496038
-0.43,-0.35,0.68,1719421394.496038
-0.45,-0.31,0.58,1719421394.496038
-0.36,-0.23,0.52,1719421394.4970381
-0.31,-0.21,0.4,1719421394.4970381
-0.31,-0.24,0.52,1719421394.4970381
-0.0,-0.23,0.4,1719421394.4970381
-0.11,-0.26,0.31,1719421394.4970381
-0.06,-0.14,0.44,1719421394.4980383
-0.09,-0.15,0.39,1719421394.4980383
-0.1,-0.24,0.49,1719421394.4980383
-0.12,-0.18,0.44,1719421394.4980383
-0.19,-0.15,0.39,1719421394.4980383
-0.13,-0.25,0.42,1719421394.5418816
-0.17,-0.28,0.47,1719421394.5418816
-0.22,-0.18,0.42,1719421394.5418816
-0.23,-0.19,0.43,1719421394.5429027
-0.24,-0.2,0.64,1719421394.6085644
-0.28,-0.13,0.67,1719421394.6085644
-0.24,-0.12,0.72,1719421394.6095836
-0.28,0.05,0.34,1719421394.6752772
-0.27,0.02,0.27,1719421394.6756616
-0.31,-0.03,0.23,1719421394.6766653
-0.34,0.08,0.31,1719421394.6766653
-0.43,-0.05,0.32,1719421394.7420094
-0.46,-0.05,0.36,1719421394.7420094
-0.41,-0.1,0.32,1719421394.7430093
-0.53,-0.14,0.24,1719421394.7430093
-0.58,-0.08,0.15,1719421394.8086283
-0.62,-0.19,0.28,1719421394.8086283
-0.62,-0.18,0.34,1719421394.8096573
-0.67,-0.18,0.44,1719421394.875467
-0.79,-0.34,0.41,1719421394.875467
-0.61,-0.25,0.4,1719421394.875467
-0.65,-0.57,0.26,1719421394.8765035
-0.39,-0.6,0.29,1719421394.9419098
-0.18,-0.62,0.45,1719421394.9419098
0.05,-0.47,0.52,1719421394.9429092
0.29,-0.55,0.78,1719421395.008672
0.24,-0.54,0.92,1719421395.008672
0.3,-0.47,1.01,1719421395.0096707
0.26,-0.58,1.07,1719421395.0096707
0.16,-0.52,1.03,1719421395.0752559
0.27,-0.48,1.03,1719421395.0752559
0.18,-0.6,0.99,1719421395.0752559
0.16,-0.45,0.9,1719421395.0762734
0.05,-0.44,0.82,1719421395.1419966
0.08,-0.52,0.73,1719421395.1419966
0.04,-0.45,0.75,1719421395.1419966
0.03,-0.51,0.8,1719421395.1429965
-0.02,-0.59,0.73,1719421395.2085764
0.11,-0.62,0.68,1719421395.2085764
0.16,-0.49,0.7,1719421395.2095761
0.37,-0.5,0.59,1719421395.275275
0.34,-0.46,0.54,1719421395.275275
0.19,-0.54,0.51,1719421395.2762954
0.17,-0.54,0.54,1719421395.2762954
0.2,-0.49,0.46,1719421395.3418636
-0.0,-0.44,0.52,1719421395.3418636
-0.03,-0.48,0.51,1719421395.3428884
0.01,-0.51,0.49,1719421395.3428884
-0.08,-0.48,0.48,1719421395.4085808
0.02,-0.58,0.48,1719421395.4085808
-0.02,-0.49,0.39,1719421395.4085808
-0.26,-0.55,0.3,1719421395.4748445
-0.89,-0.55,0.39,1719421395.4758892
-0.87,-0.47,0.52,1719421395.4758892
-0.74,-0.44,0.39,1719421395.4758892
-0.64,-0.36,0.61,1719421395.5418773
-0.61,-0.41,0.59,1719421395.5428984
-0.6,-0.44,0.5,1719421395.5428984
-0.61,-0.38,0.54,1719421395.5438986
-0.58,-0.37,0.62,1719421395.6086392
-0.55,-0.36,0.68,1719421395.6086392
-0.53,-0.35,0.81,1719421395.6096609
-0.53,-0.43,0.82,1719421395.6754122
