X,Y,Z,Timestamp
-0.29,-0.13,0.57,1719419561.7707446
-0.35,-0.03,0.53,1719419561.7707446
-0.39,-0.1,0.52,1719419561.7707446
-0.41,-0.19,0.52,1719419561.7707446
-0.5,-0.21,0.58,1719419561.7707446
-0.43,-0.15,0.64,1719419561.7707446
-0.4,-0.18,0.72,1719419561.7707446
-0.31,-0.2,0.72,1719419561.7707446
-0.18,-0.17,0.64,1719419561.7707446
-0.22,-0.01,0.54,1719419561.7707446
-0.2,-0.04,0.4,1719419561.787061
-0.12,-0.03,0.54,1719419561.787061
-0.13,-0.04,0.6,1719419561.787061
-0.04,-0.02,0.66,1719419561.8536239
-0.08,-0.05,0.75,1719419561.8536239
-0.08,-0.04,0.81,1719419561.8536239
-0.11,-0.1,0.78,1719419561.8546236
-0.07,-0.05,0.64,1719419561.9202309
0.1,-0.05,0.59,1719419561.9202309
0.04,-0.07,0.52,1719419561.92123
-0.03,0.08,0.44,1719419561.986902
-0.1,-0.04,0.54,1719419561.9879048
-0.1,0.05,0.55,1719419561.9879048
-0.24,-0.03,0.41,1719419561.9879048
-0.18,-0.03,0.43,1719419562.0536046
-0.45,-0.2,0.18,1719419562.0536046
-0.63,-0.2,0.02,1719419562.0536046
-0.79,-0.25,0.05,1719419562.0546038
-0.76,-0.42,0.13,1719419562.120296
-0.56,-0.42,0.24,1719419562.120296
-0.59,-0.45,0.25,1719419562.1213162
-0.68,-0.51,0.16,1719419562.1869214
-0.57,-0.52,0.17,1719419562.1869214
-0.49,-0.78,0.82,1719419562.1879206
-0.66,-0.87,1.21,1719419562.1879206
-0.62,-0.78,0.62,1719419562.2535765
-0.7,-0.7,0.62,1719419562.2545757
-0.59,-0.74,0.78,1719419562.2545757
-0.38,-0.77,0.68,1719419562.3202212
-0.03,-0.74,0.65,1719419562.3202212
-0.06,-0.63,0.56,1719419562.3202212
-0.2,-0.83,0.64,1719419562.3212209
-0.31,-0.89,0.54,1719419562.3869166
-0.32,-0.75,0.38,1719419562.3869166
-0.38,-0.79,0.41,1719419562.387938
-0.36,-0.78,0.49,1719419562.4535546
-0.27,-0.87,0.46,1719419562.4535546
-0.35,-0.86,0.55,1719419562.4545536
-0.26,-0.73,0.5,1719419562.4545536
-0.18,-0.8,0.47,1719419562.520268
-0.19,-0.79,0.54,1719419562.5212677
-0.19,-0.96,0.67,1719419562.5212677
-0.2,-0.92,0.71,1719419562.5868914
0.1,-0.53,0.65,1719419562.5868914
0.18,-0.54,0.73,1719419562.5868914
0.13,-0.55,0.64,1719419562.5879147
0.18,-0.4,0.5,1719419562.6535926
0.04,-0.28,0.2,1719419562.6535926
-0.04,-0.41,0.37,1719419562.65498
-0.19,-0.28,0.52,1719419562.65498
-0.16,-0.3,0.46,1719419562.7202291
-0.18,-0.38,0.52,1719419562.7202291
-0.1,-0.31,0.6,1719419562.7212286
-0.03,-0.31,0.71,1719419562.7869043
-0.08,-0.24,0.57,1719419562.7884955
0.05,-0.19,0.46,1719419562.7884955
-0.01,-0.1,0.41,1719419562.7891319
0.02,0.02,0.24,1719419562.8535407
-0.38,0.06,0.33,1719419562.8542144
-0.44,-0.03,0.38,1719419562.854925
-0.51,-0.03,0.51,1719419562.854925
-0.66,-0.09,0.65,1719419562.920259
