X,Y,Z,Timestamp
0.18,-0.41,0.63,1719432414.139495
0.11,-0.44,0.65,1719432414.140495
0.06,-0.45,0.95,1719432414.140495
0.2,-0.55,1.37,1719432414.140495
0.51,-0.76,1.83,1719432414.140495
0.56,-0.7,1.5,1719432414.1414952
-0.13,-0.02,0.42,1719432414.1414952
-0.18,0.1,0.35,1719432414.1414952
-0.37,0.13,0.21,1719432414.1414952
-0.36,-0.01,0.18,1719432414.1414952
-0.29,0.06,0.39,1719432414.1424956
-0.23,0.1,0.43,1719432414.1424956
-0.13,0.13,0.43,1719432414.1424956
-0.09,-0.02,0.54,1719432414.1424956
-0.0,0.04,0.69,1719432414.1505294
0.03,0.09,0.74,1719432414.1505294
0.02,0.08,0.88,1719432414.1505294
0.08,0.1,0.76,1719432414.1505294
0.03,0.09,0.49,1719432414.2169538
-0.2,0.15,0.42,1719432414.2179537
-0.22,0.1,0.34,1719432414.2179537
-0.14,0.16,0.19,1719432414.2179537
0.35,0.09,0.44,1719432414.2838612
0.58,0.04,0.59,1719432414.2838612
0.62,0.05,0.69,1719432414.2838612
0.52,-0.13,0.71,1719432414.2848635
0.2,-0.12,0.89,1719432414.3508
0.07,-0.19,0.9,1719432414.3508
-0.01,-0.16,0.65,1719432414.3518035
-0.07,-0.05,0.64,1719432414.4171946
-0.05,-0.07,0.66,1719432414.4171946
-0.08,-0.16,0.62,1719432414.4178772
-0.05,-0.11,0.67,1719432414.4178772
-0.16,-0.12,0.82,1719432414.4838586
-0.2,-0.09,0.66,1719432414.4838586
-0.23,-0.05,0.55,1719432414.4838586
-0.35,-0.1,0.43,1719432414.4848611
-0.77,-0.24,-0.39,1719432414.550523
-0.58,-0.31,-0.49,1719432414.550523
-0.43,-0.44,-0.15,1719432414.5515258
-0.13,-0.57,0.03,1719432414.6171918
0.02,-0.67,0.2,1719432414.6171918
0.33,-0.69,0.3,1719432414.6181943
0.08,-0.74,0.47,1719432414.6181943
0.03,-0.89,0.67,1719432414.683544
0.06,-0.9,0.91,1719432414.683544
0.19,-1.0,1.22,1719432414.684544
-0.03,-1.0,1.53,1719432414.7505434
0.01,-1.09,1.49,1719432414.7505434
0.04,-0.9,1.18,1719432414.7505434
0.26,-0.83,1.06,1719432414.7515464
0.69,-0.63,0.94,1719432414.817199
-0.12,-0.64,0.2,1719432414.817199
-0.1,-0.69,0.3,1719432414.817199
-0.29,-0.74,0.52,1719432414.8182023
-0.33,-0.74,0.48,1719432414.8832157
-0.35,-0.77,0.56,1719432414.8842158
-0.2,-0.85,0.7,1719432414.8842158
-0.13,-0.83,0.69,1719432414.9505222
0.07,-0.79,0.59,1719432414.9505222
0.1,-0.69,0.47,1719432414.9512563
0.19,-0.72,0.37,1719432414.9512563
0.15,-0.61,0.18,1719432415.0172143
0.24,-0.59,0.25,1719432415.0172143
0.22,-0.59,0.4,1719432415.0179596
0.32,-0.54,0.52,1719432415.0179596
0.34,-0.53,0.41,1719432415.0840297
0.35,-0.7,0.95,1719432415.0840297
0.58,-0.52,0.55,1719432415.0840297
0.57,-0.57,0.58,1719432415.085034
0.34,-0.62,0.77,1719432415.1505942
0.11,-0.83,1.37,1719432415.1505942
0.02,-1.05,1.54,1719432415.1515963
-0.16,-0.93,0.98,1719432415.2169795
-0.13,-0.68,0.3,1719432415.2169795
-0.23,-0.49,0.01,1719432415.217816
-0.26,-0.4,-0.03,1719432415.217816
-0.37,-0.28,-0.2,1719432415.2835548
