X,Y,Z,Timestamp
-0.12,-0.23,0.35,1719432982.8725066
-0.01,-0.2,0.29,1719432982.8735073
-0.03,-0.14,0.13,1719432982.8735073
-0.21,-0.08,0.12,1719432982.8735073
-0.16,-0.01,0.42,1719432982.8735073
-0.19,0.09,0.4,1719432982.8745074
-0.13,0.04,0.74,1719432982.8745074
-0.08,0.06,0.68,1719432982.8745074
-0.04,0.1,0.43,1719432982.8745074
-0.14,0.18,0.25,1719432982.8745074
0.15,0.15,0.55,1719432982.8755076
0.17,0.08,0.31,1719432982.8755076
0.1,0.12,0.23,1719432982.8755076
0.09,0.14,0.42,1719432982.8755076
0.24,0.17,0.48,1719432982.939905
0.24,0.18,0.41,1719432982.9409084
0.11,0.16,0.29,1719432982.9409084
0.03,-0.03,0.34,1719432982.9409084
0.08,0.11,0.38,1719432983.0062606
0.22,0.1,0.17,1719432983.007261
0.17,0.18,0.06,1719432983.007261
-0.75,-1.47,2.08,1719432983.0733998
-0.34,-1.3,1.73,1719432983.0733998
-0.2,-1.2,1.07,1719432983.0733998
-0.08,-0.95,0.58,1719432983.0745933
-0.07,-0.94,0.29,1719432983.139502
-0.05,-0.93,0.44,1719432983.140461
-0.18,-0.92,0.52,1719432983.140461
-0.28,-0.96,0.66,1719432983.140461
-0.25,-0.91,0.71,1719432983.2064936
-0.57,-0.96,0.66,1719432983.2074943
-0.68,-0.96,0.66,1719432983.2074943
-0.6,-0.94,0.47,1719432983.2727816
-0.53,-1.0,0.37,1719432983.2727816
-0.5,-0.89,0.24,1719432983.273782
0.49,-0.67,0.52,1719432983.273782
0.44,-0.62,0.55,1719432983.3407981
0.45,-0.52,0.62,1719432983.341796
0.45,-0.57,0.66,1719432983.342796
0.49,-0.57,0.89,1719432983.4065063
0.42,-0.74,1.16,1719432983.4065063
0.42,-0.77,1.42,1719432983.4065063
0.5,-0.77,1.61,1719432983.407511
0.39,-0.83,1.18,1719432983.4725075
0.31,-0.57,0.34,1719432983.473827
0.33,-0.44,-0.21,1719432983.473827
0.33,-0.44,0.01,1719432983.473827
0.2,-0.52,0.39,1719432983.5401256
0.24,-0.34,0.14,1719432983.5401256
0.22,-0.32,0.11,1719432983.5401256
0.18,-0.34,0.28,1719432983.5411336
-0.13,-0.04,0.54,1719432983.6087985
-0.0,-0.15,0.87,1719432983.6087985
0.05,-0.19,0.95,1719432983.6097987
0.09,0.03,0.66,1719432983.6726475
