X,Y,Z,Timestamp
-0.57,0.42,0.03,1719434185.9220865
-0.57,0.34,0.22,1719434185.9220865
-0.45,0.38,0.38,1719434185.9235892
-0.4,0.43,0.28,1719434185.9235892
-0.4,0.44,0.2,1719434185.9235892
-0.31,0.49,0.1,1719434185.9235892
-0.29,0.44,0.15,1719434185.9246004
-0.31,0.38,0.18,1719434185.9246004
-0.37,0.48,0.12,1719434185.9246004
-0.39,0.32,0.23,1719434185.9246004
-0.46,0.18,0.41,1719434185.9256032
-0.41,0.18,0.48,1719434185.9256032
-0.39,0.2,0.47,1719434185.9256032
-0.45,0.29,0.28,1719434185.9256032
-0.38,0.52,-0.03,1719434185.9256032
-0.29,0.35,0.4,1719434185.926605
-0.16,0.23,0.78,1719434185.926605
-0.08,0.1,0.82,1719434185.926605
-0.13,0.13,0.43,1719434185.9286063
-0.29,0.18,-0.15,1719434185.9296076
-0.39,0.36,-0.4,1719434185.9296076
-0.59,0.43,-0.87,1719434185.9949586
-0.63,0.51,-1.01,1719434185.9959633
-0.55,0.52,-0.95,1719434185.9959633
-0.34,0.65,-1.03,1719434185.9969685
-0.34,0.76,-1.38,1719434186.061873
-0.04,0.81,-1.82,1719434186.0629094
0.34,1.11,-2.65,1719434186.0629094
0.97,-3.3,3.3,1719434186.1289306
0.09,-3.21,3.3,1719434186.1289306
-0.38,-2.43,1.43,1719434186.1299338
-0.02,-1.94,1.03,1719434186.1299338
0.42,-1.72,1.01,1719434186.1958332
0.37,-1.67,0.96,1719434186.1958332
0.14,-1.52,0.93,1719434186.1958332
0.08,-1.45,0.92,1719434186.1968367
0.27,-1.29,0.66,1719434186.2620692
0.49,-1.22,0.59,1719434186.2620692
0.5,-1.21,0.79,1719434186.2620692
0.53,-1.43,1.1,1719434186.2631004
0.36,-1.64,1.05,1719434186.328842
0.27,-1.83,0.67,1719434186.328842
-0.07,-1.83,-0.04,1719434186.3298588
-0.39,-1.53,-0.88,1719434186.3954003
-0.16,0.73,-1.69,1719434186.3964005
0.47,0.64,-1.2,1719434186.3964005
0.42,0.7,-0.99,1719434186.3964005
0.37,0.68,-1.45,1719434186.4622805
0.23,0.75,-1.85,1719434186.4622805
0.56,0.93,-2.41,1719434186.4622805
0.79,0.97,-3.14,1719434186.4633944
0.7,0.71,-3.3,1719434186.5284007
0.97,-0.19,-3.3,1719434186.529401
1.5,-1.99,-3.3,1719434186.529401
1.93,-3.3,-3.3,1719434186.5956173
1.9,-3.3,-2.51,1719434186.5956173
1.37,-3.3,-1.42,1719434186.5966327
1.17,-3.3,-0.0,1719434186.5966327
-0.2,-1.43,0.87,1719434186.661655
0.34,-1.57,1.4,1719434186.662657
0.62,-1.57,0.89,1719434186.662657
0.64,-1.44,0.16,1719434186.6636574
0.49,-1.47,0.23,1719434186.7290933
0.26,-1.5,0.39,1719434186.7290933
0.13,-1.54,0.2,1719434186.7300956
0.06,-1.67,-0.29,1719434186.7956297
-0.35,-1.06,-1.19,1719434186.7956297
-0.3,-0.44,-1.88,1719434186.7956297
-0.23,0.18,-2.04,1719434186.7956297
0.11,0.52,-1.8,1719434186.8625495
0.21,0.66,-1.42,1719434186.8625495
0.22,0.62,-0.93,1719434186.8635123
0.1,0.61,-0.62,1719434186.929217
