X,Y,Z,Timestamp
0.03,-0.41,0.53,1719426224.9247005
0.04,-0.4,0.61,1719426224.9247005
0.02,-0.28,0.43,1719426224.9262028
0.15,-0.23,0.42,1719426224.9262028
0.18,-0.25,0.47,1719426224.9262028
0.16,-0.27,0.44,1719426224.9262028
0.08,-0.19,0.33,1719426224.9272115
-0.16,-0.33,0.5,1719426224.9272115
-0.08,-0.34,0.57,1719426224.9272115
-0.02,-0.28,0.58,1719426224.9272115
0.03,-0.29,0.62,1719426224.9272115
-0.09,-0.24,0.5,1719426224.9282117
-0.05,-0.29,0.53,1719426224.9282117
-0.11,-0.31,0.53,1719426224.9282117
-0.11,-0.23,0.51,1719426224.9282117
-0.12,-0.37,0.47,1719426224.9282117
-0.12,-0.35,0.61,1719426224.9282117
-0.04,-0.31,0.59,1719426224.929212
-0.04,-0.39,0.58,1719426224.929212
-0.08,-0.29,0.59,1719426224.929212
-0.03,-0.25,0.62,1719426224.929212
-0.1,-0.34,0.63,1719426224.929212
-0.07,-0.28,0.53,1719426224.9302123
-0.16,-0.31,0.57,1719426224.9302123
-0.04,-0.39,0.51,1719426224.9302123
-0.03,-0.26,0.51,1719426224.9302123
-0.03,-0.33,0.65,1719426224.9302123
-0.17,-0.33,0.54,1719426224.931213
-0.05,-0.3,0.51,1719426224.931213
0.02,-0.27,0.48,1719426224.931213
-0.0,-0.33,0.62,1719426224.931213
-0.05,-0.36,0.55,1719426224.931213
-0.06,-0.31,0.63,1719426224.932213
0.03,-0.43,0.98,1719426224.932213
0.01,-0.45,1.29,1719426224.932213
-0.17,0.02,-0.07,1719426224.932213
-0.23,0.1,-0.13,1719426224.932213
-0.26,0.17,-0.02,1719426224.9332135
-0.28,0.13,0.21,1719426224.9332135
-0.22,0.11,0.33,1719426224.9332135
-0.09,0.06,0.29,1719426224.9332135
-0.06,0.13,0.37,1719426224.9332135
-0.22,0.04,0.36,1719426224.9342136
-0.25,0.03,0.23,1719426224.9342136
-0.16,0.11,0.41,1719426224.9342136
-0.13,-0.0,0.47,1719426224.9342136
-0.15,0.03,0.58,1719426224.935214
-0.1,-0.01,0.72,1719426224.935214
-0.11,-0.03,0.81,1719426224.935214
-0.05,-0.07,0.77,1719426224.935214
-0.19,-0.06,0.54,1719426224.935214
-0.13,0.07,0.54,1719426224.9362144
-0.12,-0.05,0.58,1719426224.9362144
-0.08,-0.08,0.59,1719426224.9362144
-0.12,-0.05,0.74,1719426224.9362144
-0.12,-0.09,0.68,1719426224.9372146
-0.14,-0.05,0.58,1719426224.9377177
-0.21,-0.03,0.57,1719426224.9677687
-0.23,-0.02,0.47,1719426224.9692786
-0.1,-0.1,0.46,1719426224.9692786
-0.16,-0.04,0.54,1719426225.0351675
-0.18,0.03,0.54,1719426225.0351675
-0.15,-0.03,0.45,1719426225.0361712
-0.13,-0.02,0.53,1719426225.0361712
-0.15,-0.08,0.62,1719426225.1021566
-0.23,-0.12,0.5,1719426225.1021566
-0.23,-0.07,0.65,1719426225.1031575
-0.18,-0.02,0.61,1719426225.1031575
-0.05,0.02,0.52,1719426225.1689947
-0.09,-0.07,0.56,1719426225.17
-0.1,-0.09,0.59,1719426225.17
-0.06,-0.01,0.62,1719426225.2354963
-0.23,-0.1,0.65,1719426225.2354963
-0.05,-0.15,0.6,1719426225.2365153
-0.24,-0.14,0.58,1719426225.2365153
-0.13,-0.05,0.58,1719426225.3013668
-0.13,-0.06,0.54,1719426225.3027985
-0.21,-0.07,0.59,1719426225.3027985
-0.13,-0.06,0.5,1719426225.3682082
-0.39,-0.06,0.67,1719426225.3682082
-0.42,-0.07,0.64,1719426225.3696845
-0.33,-0.15,0.59,1719426225.3696845
-0.25,-0.1,0.43,1719426225.4350793
-0.14,-0.04,0.32,1719426225.4361448
-0.04,0.08,0.09,1719426225.4361448
-0.02,0.08,0.05,1719426225.4371758
0.08,0.13,0.11,1719426225.502365
0.09,0.11,0.34,1719426225.502365
0.07,-0.01,0.4,1719426225.5033686
0.03,-0.03,0.63,1719426225.5689845
0.08,-0.12,0.69,1719426225.5689845
0.18,-0.09,0.56,1719426225.5689845
0.28,0.06,0.38,1719426225.5700033
0.3,0.01,0.29,1719426225.635024
0.21,-0.24,0.75,1719426225.6360378
0.1,-0.25,0.49,1719426225.6360378
0.1,-0.2,0.47,1719426225.6370604
0.1,-0.22,0.54,1719426225.7023158
-0.06,-0.23,0.61,1719426225.7028205
0.02,-0.29,0.61,1719426225.7028205
-0.18,-0.33,0.5,1719426225.7038238
-0.22,-0.34,0.59,1719426225.7691035
-0.22,-0.32,0.52,1719426225.7691035
-0.16,-0.37,0.51,1719426225.7691035
-0.23,-0.23,0.53,1719426225.8352501
-0.22,-0.26,0.41,1719426225.8352501
-0.19,-0.16,0.28,1719426225.836274
-0.13,-0.21,0.23,1719426225.836274
-0.27,-0.26,0.24,1719426225.9023645
-0.45,-0.61,0.44,1719426225.9023645
-0.58,-0.64,0.37,1719426225.9033947
-0.58,-0.61,0.34,1719426225.969055
-0.59,-0.64,0.35,1719426225.969055
-0.26,-0.53,0.42,1719426225.9700553
0.49,-0.36,0.53,1719426225.9700553
0.61,-0.35,0.82,1719426226.0356245
0.42,-0.48,0.95,1719426226.0356245
0.09,-0.61,1.05,1719426226.0366414
-0.22,-0.73,1.01,1719426226.0366414
-0.33,-0.83,0.75,1719426226.1019394
-0.44,-0.7,0.6,1719426226.1029453
-0.34,-0.57,0.34,1719426226.1039488
-0.18,-0.5,0.25,1719426226.1690323
