X,Y,Z,Timestamp
-0.18,-0.3,0.22,1718893942.772634
-0.15,-0.28,0.19,1718893942.7735362
-0.08,-0.29,0.55,1718893942.7735362
0.02,-0.27,0.6,1718893942.7745354
-0.09,-0.29,0.6,1718893942.7745354
-0.12,-0.34,0.63,1718893942.7745354
-0.15,-0.34,0.63,1718893942.7755387
-0.19,-0.36,0.66,1718893942.7755387
-0.17,-0.36,0.67,1718893942.7769809
-0.16,-0.34,0.68,1718893942.7779875
-0.19,-0.36,0.68,1718893942.7779875
-0.27,-0.36,0.64,1718893942.7793977
-0.2,-0.32,0.67,1718893942.7795959
-0.2,-0.34,0.63,1718893942.7795959
-0.27,-0.31,0.64,1718893942.7806172
-0.28,-0.34,0.66,1718893942.7810388
-0.22,-0.37,0.57,1718893942.781475
-0.21,-0.34,0.54,1718893942.781475
-0.25,-0.39,0.58,1718893942.782482
-0.24,-0.35,0.58,1718893942.782482
-0.28,-0.36,0.53,1718893942.7835238
-0.28,-0.38,0.54,1718893942.7835238
-0.25,-0.34,0.49,1718893942.7835238
-0.23,-0.34,0.55,1718893942.7844825
-0.24,-0.34,0.54,1718893942.7844825
-0.26,-0.34,0.54,1718893942.7854807
-0.24,-0.37,0.51,1718893942.7854807
-0.17,-0.34,0.5,1718893942.7854807
-0.25,-0.37,0.56,1718893942.7864807
-0.2,-0.36,0.56,1718893942.7864807
-0.21,-0.35,0.54,1718893942.7864807
-0.21,-0.34,0.56,1718893942.846989
-0.21,-0.33,0.58,1718893942.8478873
-0.23,-0.33,0.58,1718893942.8478873
-0.22,-0.34,0.55,1718893942.848979
-0.27,-0.32,0.55,1718893942.913259
-0.25,-0.37,0.59,1718893942.914441
-0.27,-0.34,0.57,1718893942.9151192
-0.28,-0.37,0.51,1718893942.9806101
-0.22,-0.33,0.51,1718893942.9816127
-0.22,-0.33,0.51,1718893942.9816127
-0.25,-0.34,0.52,1718893942.9826095
-0.28,-0.33,0.55,1718893943.0472507
-0.23,-0.35,0.54,1718893943.0488033
-0.28,-0.39,0.54,1718893943.0488033
-0.27,-0.38,0.6,1718893943.1134317
-0.26,-0.33,0.52,1718893943.1143763
-0.27,-0.34,0.55,1718893943.1143763
-0.21,-0.34,0.54,1718893943.115335
-0.25,-0.33,0.53,1718893943.180361
-0.3,-0.33,0.54,1718893943.1810913
-0.33,-0.36,0.51,1718893943.182105
-0.28,-0.39,0.5,1718893943.247046
-0.33,-0.4,0.48,1718893943.247918
-0.33,-0.39,0.49,1718893943.2489214
-0.34,-0.38,0.5,1718893943.2499166
-0.34,-0.41,0.49,1718893943.3131657
-0.42,-0.4,0.46,1718893943.3140786
-0.32,-0.34,0.37,1718893943.3150773
-0.29,-0.31,0.34,1718893943.3152833
-0.25,-0.36,0.34,1718893943.3799045
-0.14,-0.35,0.37,1718893943.3809063
-0.12,-0.33,0.33,1718893943.3809063
-0.07,-0.31,0.44,1718893943.4470088
0.03,-0.36,0.43,1718893943.448017
-0.05,-0.37,0.44,1718893943.448017
-0.1,-0.36,0.44,1718893943.4490154
-0.08,-0.35,0.44,1718893943.5138443
-0.06,-0.39,0.44,1718893943.514856
-0.05,-0.33,0.49,1718893943.514856
-0.06,-0.34,0.53,1718893943.579762
0.03,-0.39,0.54,1718893943.5807781
-0.07,-0.45,0.56,1718893943.5807781
-0.1,-0.6,0.6,1718893943.5817692
-0.14,-0.56,0.6,1718893943.6466947
-0.27,-0.58,0.61,1718893943.6476958
-0.26,-0.53,0.59,1718893943.6476958
-0.13,-0.44,0.79,1718893943.7131658
-0.03,-0.48,0.74,1718893943.7131658
-0.03,-0.42,0.68,1718893943.7146494
-0.21,-0.63,0.61,1718893943.7146494
-0.18,-0.6,0.63,1718893943.7799308
-0.38,-0.76,0.62,1718893943.7809312
-0.34,-0.62,0.69,1718893943.7809312
-0.45,-0.75,0.51,1718893943.781932
-0.36,-0.72,0.62,1718893943.8465989
-0.32,-0.7,0.59,1718893943.8465989
-0.57,-0.72,0.47,1718893943.8479488
-0.55,-0.72,0.42,1718893943.9130507
-0.51,-0.66,0.47,1718893943.9140475
-0.52,-0.7,0.49,1718893943.9140475
-0.5,-0.68,0.46,1718893943.9152792
-0.47,-0.62,0.5,1718893943.9796398
-0.49,-0.66,0.47,1718893943.9806445
-0.51,-0.61,0.44,1718893943.9806445
-0.47,-0.59,0.41,1718893944.0465217
-0.45,-0.57,0.33,1718893944.0475261
-0.48,-0.52,0.34,1718893944.0485208
-0.54,-0.54,0.32,1718893944.0485208
-0.6,-0.66,0.19,1718893944.1138062
-0.51,-0.55,0.28,1718893944.1148148
-0.03,-0.17,0.31,1718893944.1148148
0.09,-0.02,0.42,1718893944.1798043
-0.04,-0.18,0.49,1718893944.1798043
0.02,-0.15,0.49,1718893944.181121
-0.07,-0.21,0.52,1718893944.181121
-0.03,-0.21,0.54,1718893944.2466547
