X,Y,Z,Timestamp
-0.13,-0.43,0.87,1718894042.060576
-0.19,-0.48,0.81,1718894042.0615757
-0.19,-0.22,0.26,1718894042.0615757
-0.22,-0.25,0.27,1718894042.0625746
-0.14,-0.2,0.28,1718894042.0625746
-0.16,-0.23,0.27,1718894042.063574
-0.07,-0.17,0.32,1718894042.063574
-0.09,-0.22,0.34,1718894042.064574
-0.09,-0.24,0.39,1718894042.064574
-0.1,-0.19,0.44,1718894042.0658596
-0.1,-0.24,0.44,1718894042.0658596
-0.11,-0.24,0.51,1718894042.0668683
-0.13,-0.25,0.55,1718894042.0668683
-0.11,-0.28,0.55,1718894042.1127136
-0.18,-0.26,0.58,1718894042.1136415
-0.2,-0.32,0.58,1718894042.1136415
-0.25,-0.24,0.54,1718894042.11469
-0.23,-0.25,0.59,1718894042.179243
-0.18,-0.3,0.59,1718894042.1801896
-0.23,-0.3,0.58,1718894042.1801896
-0.21,-0.26,0.59,1718894042.2453992
-0.23,-0.23,0.61,1718894042.246307
-0.21,-0.24,0.57,1718894042.247396
-0.3,-0.24,0.62,1718894042.247396
-0.33,-0.34,0.59,1718894042.3125644
-0.35,-0.34,0.6,1718894042.3125644
-0.42,-0.34,0.66,1718894042.3134577
-0.46,-0.34,0.64,1718894042.3134577
-0.48,-0.39,0.6,1718894042.3793652
-0.5,-0.44,0.59,1718894042.3793652
0.05,-0.23,0.5,1718894042.380366
0.05,-0.22,0.49,1718894042.44531
0.11,-0.2,0.46,1718894042.4462945
0.15,-0.16,0.46,1718894042.4462945
0.14,-0.18,0.54,1718894042.4472933
0.15,-0.17,0.53,1718894042.5121586
0.18,-0.22,0.54,1718894042.5131392
0.13,-0.24,0.51,1718894042.514144
0.11,-0.27,0.55,1718894042.514144
0.09,-0.31,0.54,1718894042.5787637
0.1,-0.3,0.59,1718894042.5797603
0.03,-0.3,0.47,1718894042.5797603
0.04,-0.28,0.5,1718894042.580763
0.03,-0.26,0.46,1718894042.64505
-0.0,-0.29,0.45,1718894042.6460514
0.03,-0.34,0.49,1718894042.6460514
-0.08,-0.28,0.31,1718894042.7124054
-0.1,-0.27,0.41,1718894042.7124054
-0.17,-0.3,0.49,1718894042.7134354
-0.09,-0.3,0.49,1718894042.714442
-0.21,-0.36,0.61,1718894042.7782307
-0.13,-0.39,0.64,1718894042.7797308
-0.13,-0.4,0.74,1718894042.7809553
-0.13,-0.37,0.79,1718894042.8459976
-0.14,-0.47,0.81,1718894042.847
-0.14,-0.47,0.82,1718894042.847
-0.26,-0.52,0.9,1718894042.8479862
-0.22,-0.5,0.82,1718894042.9120302
-0.24,-0.49,0.86,1718894042.9130292
-0.23,-0.54,0.9,1718894042.9130292
0.05,-0.44,0.62,1718894042.9785914
0.13,-0.39,0.64,1718894042.9798515
0.15,-0.41,0.58,1718894042.9798515
0.2,-0.36,0.58,1718894042.9798515
0.15,-0.33,0.52,1718894043.045096
0.16,-0.33,0.51,1718894043.0464165
0.08,-0.32,0.52,1718894043.0464165
0.03,-0.34,0.51,1718894043.0474226
-0.05,-0.39,0.48,1718894043.1118681
-0.16,-0.39,0.52,1718894043.1133282
-0.26,-0.45,0.5,1718894043.1133282
-0.38,-0.46,0.47,1718894043.1143365
-0.45,-0.47,0.39,1718894043.179654
-0.52,-0.49,0.4,1718894043.179654
-0.61,-0.49,0.38,1718894043.179654
-0.36,-0.4,0.63,1718894043.2459757
-0.36,-0.44,0.64,1718894043.2459757
-0.32,-0.43,0.67,1718894043.2469702
-0.29,-0.43,0.72,1718894043.2469702
-0.26,-0.41,0.75,1718894043.3120928
-0.21,-0.45,0.77,1718894043.3130565
-0.16,-0.48,0.88,1718894043.3140495
-0.17,-0.51,0.9,1718894043.3788555
-0.15,-0.53,0.91,1718894043.379763
-0.19,-0.54,0.9,1718894043.379763
-0.18,-0.54,0.89,1718894043.3807633
-0.16,-0.52,0.82,1718894043.4455204
