X,Y,Z,Timestamp
-0.31,-0.51,0.79,1718894271.6234171
-0.23,-0.55,0.73,1718894271.624377
-0.19,-0.48,0.75,1718894271.6248822
-0.17,-0.53,0.66,1718894271.6248822
-0.13,-0.45,0.65,1718894271.6248822
-0.05,-0.43,0.59,1718894271.625887
-0.03,-0.4,0.57,1718894271.6268878
0.05,-0.43,0.5,1718894271.6268878
0.04,-0.35,0.45,1718894271.6281996
-0.01,-0.39,0.43,1718894271.6281996
0.05,-0.39,0.36,1718894271.6292071
-0.18,-0.36,0.41,1718894271.6292071
-0.14,-0.34,0.4,1718894271.6302075
-0.18,-0.35,0.45,1718894271.6302075
-0.16,-0.31,0.49,1718894271.6313386
-0.18,-0.34,0.52,1718894271.6317055
-0.09,-0.36,0.47,1718894271.6317055
-0.18,-0.34,0.54,1718894271.63252
-0.22,-0.36,0.52,1718894271.6330442
-0.21,-0.35,0.57,1718894271.6330442
-0.14,-0.34,0.59,1718894271.643611
-0.19,-0.36,0.57,1718894271.643611
-0.16,-0.26,0.58,1718894271.643611
-0.18,-0.34,0.61,1718894271.6451173
-0.25,-0.26,0.54,1718894271.7103505
-0.27,-0.35,0.49,1718894271.7113645
-0.3,-0.39,0.49,1718894271.7113645
-0.26,-0.37,0.43,1718894271.7763472
-0.29,-0.39,0.44,1718894271.7763472
-0.33,-0.35,0.37,1718894271.777359
-0.38,-0.44,0.31,1718894271.777359
-0.39,-0.4,0.24,1718894271.843405
-0.51,-0.38,0.15,1718894271.843405
-0.58,-0.4,0.13,1718894271.843405
-0.61,-0.4,0.04,1718894271.9104195
-0.65,-0.41,0.02,1718894271.911336
-0.64,-0.39,-0.03,1718894271.911336
-0.6,-0.44,-0.01,1718894271.9123354
0.12,-0.26,1.07,1718894271.976363
0.1,-0.33,1.16,1718894271.9773707
-0.07,-0.37,0.97,1718894271.9773707
-0.06,-0.39,0.98,1718894271.9783645
-0.18,-0.39,0.82,1718894272.0431972
-0.26,-0.49,0.7,1718894272.0440798
-0.29,-0.57,0.78,1718894272.0440798
-0.14,-0.51,0.95,1718894272.110219
0.01,-0.33,1.02,1718894272.1112332
0.11,-0.22,0.96,1718894272.1112332
-0.1,-0.52,0.81,1718894272.112231
0.23,-0.26,0.82,1718894272.175944
0.23,-0.22,0.82,1718894272.1769497
0.21,-0.25,0.79,1718894272.1769497
0.27,-0.24,0.82,1718894272.1779566
-0.06,-0.25,0.65,1718894272.2429757
0.66,0.46,1.31,1718894272.2438447
-0.43,-0.55,0.42,1718894272.2438447
-0.51,-0.64,0.38,1718894272.3099792
0.05,-0.09,0.89,1718894272.310917
-0.06,-0.85,-0.11,1718894272.310917
-0.77,-0.72,0.29,1718894272.310917
-0.75,-0.67,0.33,1718894272.3766453
-0.63,-0.6,0.4,1718894272.3766453
-0.73,-0.64,0.31,1718894272.377653
-0.65,-0.66,0.43,1718894272.443191
-0.56,-0.6,0.45,1718894272.4435043
-0.21,-0.28,0.64,1718894272.444513
-0.33,-0.32,0.64,1718894272.4450235
-0.33,-0.4,0.56,1718894272.510385
-0.21,-0.47,0.63,1718894272.511295
-0.32,-0.46,0.6,1718894272.511295
-0.23,-0.44,0.62,1718894272.5760825
-0.39,-0.55,0.56,1718894272.5770063
-0.21,-0.41,0.61,1718894272.5770063
-0.31,-0.35,0.74,1718894272.5770063
-0.44,-0.36,0.68,1718894272.643285
-0.41,-0.39,0.7,1718894272.643285
-0.18,-0.23,0.76,1718894272.64433
-0.59,-0.54,0.57,1718894272.6452868
-0.51,-0.53,0.66,1718894272.7098355
-0.49,-0.53,0.54,1718894272.7107255
-0.26,-0.26,0.74,1718894272.7107255
-0.3,-0.33,0.71,1718894272.776399
