X,Y,Z,Timestamp
-0.1,-0.27,0.22,1718893908.809001
-0.19,-0.29,0.26,1718893908.810244
-0.18,-0.31,0.23,1718893908.810244
-0.32,-0.36,0.56,1718893908.8112526
-0.32,-0.43,0.56,1718893908.8112526
-0.28,-0.38,0.62,1718893908.81225
-0.29,-0.38,0.61,1718893908.81225
-0.27,-0.39,0.61,1718893908.81225
-0.29,-0.39,0.59,1718893908.8132498
-0.26,-0.36,0.57,1718893908.8132498
-0.23,-0.38,0.61,1718893908.8142557
-0.23,-0.36,0.57,1718893908.8142557
-0.23,-0.39,0.61,1718893908.8154378
-0.27,-0.34,0.57,1718893908.8156364
-0.19,-0.21,0.69,1718893908.8156364
-0.25,-0.3,0.6,1718893908.8156364
-0.21,-0.37,0.61,1718893908.8166451
-0.11,-0.34,0.62,1718893908.8166451
-0.09,-0.38,0.55,1718893908.817643
-0.11,-0.32,0.54,1718893908.817643
-0.13,-0.35,0.59,1718893908.817643
-0.13,-0.32,0.59,1718893908.8475816
-0.15,-0.36,0.62,1718893908.8475816
-0.14,-0.37,0.54,1718893908.848507
-0.14,-0.34,0.59,1718893908.914061
-0.16,-0.34,0.55,1718893908.9149249
-0.15,-0.34,0.57,1718893908.9159245
-0.14,-0.34,0.59,1718893908.9159245
-0.18,-0.34,0.6,1718893908.9802969
-0.14,-0.33,0.56,1718893908.981191
-0.16,-0.37,0.52,1718893908.9821224
-0.17,-0.37,0.51,1718893909.046949
-0.17,-0.37,0.52,1718893909.047946
-0.21,-0.36,0.51,1718893909.047946
-0.19,-0.34,0.55,1718893909.048949
-0.15,-0.34,0.54,1718893909.1136491
-0.12,-0.38,0.55,1718893909.114537
-0.08,-0.39,0.58,1718893909.115534
-0.13,-0.32,0.57,1718893909.1165311
-0.13,-0.38,0.54,1718893909.180927
-0.08,-0.31,0.61,1718893909.1819274
-0.11,-0.28,0.61,1718893909.1819274
-0.03,-0.21,0.67,1718893909.2467833
-0.05,-0.32,0.62,1718893909.2478368
-0.08,-0.3,0.61,1718893909.2488418
-0.13,-0.34,0.49,1718893909.2497861
-0.12,-0.34,0.44,1718893909.3134649
-0.12,-0.33,0.41,1718893909.314459
-0.12,-0.38,0.4,1718893909.3154583
-0.23,-0.37,0.43,1718893909.380577
-0.18,-0.39,0.34,1718893909.381461
-0.22,-0.33,0.36,1718893909.381461
-0.25,-0.4,0.3,1718893909.3824594
-0.28,-0.39,0.31,1718893909.4478903
-0.29,-0.39,0.28,1718893909.4478903
-0.26,-0.37,0.35,1718893909.4488995
-0.2,-0.37,0.34,1718893909.5147586
-0.16,-0.35,0.31,1718893909.5157685
-0.13,-0.35,0.41,1718893909.5157685
-0.38,-0.49,0.5,1718893909.5167732
-0.3,-0.5,0.54,1718893909.58048
-0.3,-0.51,0.53,1718893909.58048
-0.13,-0.4,0.7,1718893909.5816174
-0.4,-0.59,0.52,1718893909.6473017
-0.34,-0.57,0.57,1718893909.6477153
-0.29,-0.55,0.62,1718893909.6481907
-0.37,-0.64,0.54,1718893909.6481907
-0.37,-0.65,0.54,1718893909.712851
-0.36,-0.68,0.54,1718893909.7142708
-0.42,-0.64,0.54,1718893909.7142708
-0.38,-0.66,0.49,1718893909.7155013
-0.37,-0.64,0.51,1718893909.780861
-0.23,-0.63,0.65,1718893909.780861
0.08,-0.54,0.73,1718893909.780861
0.11,-0.52,0.72,1718893909.8475163
0.47,-0.36,0.79,1718893909.8475163
0.2,-0.51,0.74,1718893909.8485203
0.22,-0.51,0.8,1718893909.8495157
0.21,-0.49,0.78,1718893909.913988
0.29,-0.5,0.76,1718893909.9149754
0.29,-0.47,0.68,1718893909.9149754
0.2,-0.44,0.6,1718893909.9160461
0.33,-0.42,0.72,1718893909.9803972
0.23,-0.45,0.57,1718893909.9814038
0.23,-0.39,0.61,1718893909.9823966
0.18,-0.49,0.46,1718893909.9833982
0.15,-0.44,0.45,1718893910.0473268
-0.13,-0.64,0.34,1718893910.0483863
0.08,-0.46,0.59,1718893910.0483863
-0.0,-0.35,0.36,1718893910.11437
-0.01,-0.3,0.39,1718893910.1145937
-0.05,-0.28,0.33,1718893910.1156445
-0.09,-0.29,0.33,1718893910.1156445
-0.1,-0.28,0.31,1718893910.1803427
-0.08,-0.31,0.36,1718893910.1813734
-0.11,-0.29,0.38,1718893910.1832645
-0.11,-0.26,0.36,1718893910.247699
