X,Y,Z,Timestamp
-0.08,-0.22,0.3,1718894005.8795476
-0.05,-0.27,0.36,1718894005.8795476
-0.03,-0.22,0.34,1718894005.8810368
-0.02,-0.25,0.34,1718894005.8810368
-0.02,-0.24,0.41,1718894005.8821585
0.01,-0.23,0.38,1718894005.8821585
-0.02,-0.27,0.45,1718894005.882663
-0.01,-0.28,0.49,1718894005.882663
-0.03,-0.28,0.46,1718894005.883748
-0.02,-0.31,0.52,1718894005.883748
-0.05,-0.26,0.54,1718894005.8847544
-0.08,-0.27,0.54,1718894005.8847544
-0.07,-0.24,0.59,1718894005.8847544
-0.04,-0.31,0.52,1718894005.8861408
-0.03,-0.25,0.58,1718894005.8861408
-0.04,-0.23,0.57,1718894005.8871465
-0.0,-0.26,0.59,1718894005.8871465
-0.05,-0.28,0.54,1718894005.9129548
-0.09,-0.25,0.58,1718894005.9129548
-0.01,-0.27,0.57,1718894005.9139438
-0.03,-0.25,0.54,1718894005.9789567
-0.04,-0.29,0.54,1718894005.979956
-0.01,-0.28,0.54,1718894005.9809628
0.05,-0.26,0.6,1718894005.9809628
0.05,-0.24,0.62,1718894006.0466857
0.09,-0.23,0.59,1718894006.0466857
0.16,-0.25,0.58,1718894006.047686
0.15,-0.26,0.56,1718894006.0486908
-0.16,-0.29,0.47,1718894006.1129413
-0.26,-0.31,0.5,1718894006.1139286
-0.36,-0.34,0.52,1718894006.1149237
-0.31,-0.39,0.52,1718894006.179078
-0.44,-0.44,0.54,1718894006.1803849
-0.46,-0.41,0.48,1718894006.1803849
-0.47,-0.41,0.53,1718894006.1816168
-0.45,-0.43,0.55,1718894006.2463138
-0.42,-0.44,0.54,1718894006.2463138
-0.49,-0.41,0.49,1718894006.247314
-0.45,-0.38,0.49,1718894006.3121097
-0.42,-0.35,0.53,1718894006.3131037
-0.42,-0.36,0.51,1718894006.3131037
-0.41,-0.38,0.52,1718894006.3131037
-0.3,-0.33,0.18,1718894006.3793333
-0.32,-0.32,0.13,1718894006.3803306
-0.29,-0.34,0.14,1718894006.3813348
-0.34,-0.31,0.15,1718894006.4461992
-0.26,-0.24,0.23,1718894006.4461992
-0.27,-0.34,0.19,1718894006.4461992
-0.22,-0.31,0.35,1718894006.4471695
-0.16,-0.31,0.43,1718894006.5123641
-0.18,-0.4,0.52,1718894006.5135376
-0.14,-0.42,0.68,1718894006.5135376
-0.07,-0.44,0.77,1718894006.51455
-0.02,-0.45,0.89,1718894006.5790994
-0.03,-0.48,0.94,1718894006.5801105
-0.08,-0.47,0.86,1718894006.5801105
-0.26,-0.51,0.72,1718894006.646081
-0.28,-0.52,0.7,1718894006.646081
-0.23,-0.51,0.63,1718894006.647095
-0.26,-0.57,0.68,1718894006.647095
-0.29,-0.52,0.62,1718894006.7133267
-0.28,-0.53,0.66,1718894006.722324
-0.32,-0.53,0.61,1718894006.7233243
-0.35,-0.53,0.65,1718894006.7791545
-0.33,-0.45,0.6,1718894006.7801938
-0.19,-0.49,0.6,1718894006.7801938
-0.13,-0.43,0.58,1718894006.7812142
-0.1,-0.43,0.53,1718894006.8461897
-0.03,-0.46,0.58,1718894006.8472188
-0.03,-0.38,0.49,1718894006.8472188
0.18,-0.29,0.49,1718894006.9125714
0.16,-0.31,0.57,1718894006.9125714
0.17,-0.32,0.53,1718894006.9135866
0.17,-0.31,0.54,1718894006.9135866
0.11,-0.3,0.61,1718894006.9793227
0.13,-0.31,0.6,1718894006.9793227
0.14,-0.27,0.64,1718894006.9803212
0.08,-0.31,0.67,1718894006.9803212
0.04,-0.23,0.7,1718894007.0459669
0.08,-0.25,0.71,1718894007.0459669
0.03,-0.28,0.78,1718894007.046939
-0.0,-0.3,0.82,1718894007.046939
-0.05,-0.29,0.87,1718894007.1129594
