X,Y,Z,Timestamp
-0.32,-0.41,0.42,1718894226.6929321
-0.33,-0.42,0.38,1718894226.6929321
-0.38,-0.4,0.38,1718894226.6943111
-0.4,-0.43,0.35,1718894226.6943111
-0.36,-0.48,0.38,1718894226.6943111
-0.4,-0.44,0.39,1718894226.6955073
-0.34,-0.41,0.44,1718894226.6955073
-0.39,-0.39,0.4,1718894226.6968722
-0.34,-0.44,0.41,1718894226.6968722
-0.19,-0.34,0.49,1718894226.6968722
-0.16,-0.37,0.5,1718894226.6980338
-0.14,-0.33,0.49,1718894226.6980338
-0.16,-0.35,0.51,1718894226.6994898
-0.18,-0.34,0.51,1718894226.6994898
-0.19,-0.35,0.51,1718894226.7004952
-0.16,-0.33,0.49,1718894226.7004952
-0.18,-0.33,0.54,1718894226.7004952
-0.18,-0.37,0.56,1718894226.7098072
-0.13,-0.34,0.53,1718894226.7108078
-0.17,-0.35,0.58,1718894226.7108078
-0.18,-0.37,0.58,1718894226.7108078
-0.16,-0.35,0.61,1718894226.77694
-0.07,-0.34,0.52,1718894226.7778184
-0.13,-0.36,0.54,1718894226.77882
-0.12,-0.34,0.59,1718894226.8442695
-0.12,-0.34,0.59,1718894226.8451865
-0.15,-0.34,0.56,1718894226.8461697
-0.13,-0.34,0.59,1718894226.847168
-0.15,-0.37,0.62,1718894226.9105368
-0.11,-0.35,0.6,1718894226.9114618
-0.1,-0.39,0.62,1718894226.9117606
-0.1,-0.39,0.62,1718894226.9765854
-0.14,-0.39,0.59,1718894226.9774935
-0.12,-0.4,0.55,1718894226.9774935
-0.13,-0.39,0.59,1718894226.9784937
-0.09,-0.36,0.54,1718894227.0441718
-0.11,-0.36,0.58,1718894227.04508
0.03,-0.12,0.1,1718894227.04508
-0.05,-0.18,0.08,1718894227.110741
-0.15,-0.21,0.16,1718894227.1109293
-0.18,-0.23,0.23,1718894227.1115186
-0.14,-0.23,0.29,1718894227.1118853
-0.08,-0.25,0.39,1718894227.1776311
-0.13,-0.26,0.46,1718894227.178347
-0.16,-0.35,0.54,1718894227.1788359
-0.2,-0.38,0.61,1718894227.1798105
-0.28,-0.44,0.57,1718894227.24342
-0.32,-0.5,0.64,1718894227.2443278
-0.28,-0.5,0.76,1718894227.2443278
-0.34,-0.52,0.78,1718894227.3108344
-0.3,-0.57,0.82,1718894227.3108344
-0.33,-0.56,0.79,1718894227.3117163
-0.13,-0.36,0.69,1718894227.3117163
-0.1,-0.42,0.62,1718894227.3774257
-0.15,-0.44,0.65,1718894227.3778079
-0.21,-0.39,0.57,1718894227.3783283
-0.23,-0.41,0.6,1718894227.4431295
-0.29,-0.41,0.58,1718894227.444128
-0.32,-0.43,0.59,1718894227.444128
-0.41,-0.49,0.63,1718894227.4452913
-0.48,-0.49,0.56,1718894227.509982
-0.45,-0.54,0.62,1718894227.5109832
-0.49,-0.57,0.65,1718894227.5109832
-0.51,-0.54,0.64,1718894227.5766954
-0.41,-0.52,0.64,1718894227.5766954
0.1,-0.39,0.5,1718894227.577695
0.07,-0.36,0.53,1718894227.577695
0.08,-0.38,0.53,1718894227.642944
0.1,-0.39,0.55,1718894227.6439416
0.09,-0.42,0.57,1718894227.6439416
0.07,-0.41,0.53,1718894227.6449423
0.01,-0.44,0.46,1718894227.7102704
-0.02,-0.4,0.48,1718894227.7102704
0.05,-0.44,0.47,1718894227.7112432
0.02,-0.41,0.48,1718894227.7772498
0.04,-0.42,0.55,1718894227.7772498
0.02,-0.41,0.51,1718894227.7781675
-0.01,-0.44,0.54,1718894227.7781675
-0.04,-0.44,0.54,1718894227.8439422
-0.02,-0.43,0.53,1718894227.8439422
-0.03,-0.41,0.57,1718894227.8448439
0.15,-0.39,0.82,1718894227.8452199
0.16,-0.39,0.8,1718894227.9101253
0.1,-0.34,0.76,1718894227.910979
0.09,-0.37,0.72,1718894227.910979
0.07,-0.34,0.62,1718894227.911978
0.04,-0.34,0.67,1718894227.9771245
-0.05,-0.38,0.66,1718894227.9771245
-0.09,-0.38,0.54,1718894227.97801
-0.18,-0.38,0.58,1718894228.0441973
-0.24,-0.39,0.56,1718894228.0441973
-0.25,-0.39,0.54,1718894228.0451992
-0.34,-0.44,0.48,1718894228.0451992
-0.37,-0.41,0.49,1718894228.1100233
