X,Y,Z,Timestamp
-0.02,-0.86,0.22,1718894407.143432
-0.02,-0.86,0.39,1718894407.1443412
0.04,-1.63,-0.03,1718894407.1443412
0.48,-1.24,0.15,1718894407.1453435
0.09,-1.13,-0.09,1718894407.1453435
-0.18,0.1,-0.14,1718894407.1463652
-0.43,-0.35,-0.54,1718894407.1468241
-0.27,-0.25,-0.19,1718894407.1468241
-0.1,-0.16,0.08,1718894407.1478326
-0.09,-0.18,0.29,1718894407.1478326
-0.18,-0.2,0.46,1718894407.1488297
-0.13,-0.28,0.65,1718894407.1488297
-0.1,-0.2,0.7,1718894407.1498294
0.14,0.03,0.75,1718894407.1498294
-0.04,-0.13,0.47,1718894407.1498294
0.11,-0.07,0.45,1718894407.1508317
0.03,-0.08,0.54,1718894407.1508317
-0.03,-0.08,0.47,1718894407.1518314
0.03,-0.12,0.54,1718894407.1518314
0.01,-0.1,0.5,1718894407.1518314
-0.07,-0.13,0.52,1718894407.1743348
-0.09,-0.15,0.51,1718894407.175384
-0.04,-0.14,0.5,1718894407.176374
0.01,-0.13,0.54,1718894407.176374
-0.01,-0.11,0.57,1718894407.241639
0.02,-0.13,0.56,1718894407.243539
0.03,-0.15,0.6,1718894407.244584
0.05,-0.11,0.57,1718894407.2448392
0.02,-0.08,0.59,1718894407.308504
0.07,-0.13,0.55,1718894407.3105052
0.05,-0.05,0.57,1718894407.3115027
0.17,-0.1,-0.18,1718894407.37533
0.13,-0.14,-0.52,1718894407.3763292
-0.0,-0.34,-0.54,1718894407.3763292
-0.18,-0.7,-0.59,1718894407.377327
-0.51,-1.04,-0.57,1718894407.441908
-0.91,-2.31,-0.74,1718894407.4425058
-0.49,-2.37,0.02,1718894407.4434123
0.57,-1.97,1.57,1718894407.50835
0.54,-1.03,3.3,1718894407.5092707
0.25,-1.09,1.88,1718894407.5092707
0.2,-0.85,1.43,1718894407.5102687
0.37,-0.69,1.07,1718894407.5757945
0.13,-0.83,0.58,1718894407.5768154
-0.05,-0.83,0.38,1718894407.5778077
0.12,-0.76,0.51,1718894407.5788074
0.02,-1.4,0.5,1718894407.6420841
-0.03,-1.37,0.49,1718894407.643084
0.81,-1.21,0.19,1718894407.6436765
0.52,-1.07,-0.1,1718894407.7077265
0.05,-0.59,0.57,1718894407.7087226
0.17,-0.83,0.08,1718894407.7087226
0.1,-0.58,-0.47,1718894407.7096848
-0.18,-0.1,-0.25,1718894407.7749088
-0.39,-0.12,0.15,1718894407.775827
-0.26,-0.19,0.23,1718894407.775827
0.04,-0.03,0.55,1718894407.7768261
0.01,-0.16,0.44,1718894407.841928
0.05,-0.12,0.54,1718894407.841928
0.39,0.16,0.95,1718894407.8428462
-0.06,-0.08,0.58,1718894407.9080813
0.16,-0.12,-0.39,1718894407.9090705
0.11,-0.37,-0.33,1718894407.9100702
-0.02,-0.47,-0.18,1718894407.9100702
-0.34,-0.61,-0.18,1718894407.9746237
-0.51,-0.85,-0.21,1718894407.9756224
-0.51,-1.72,-0.53,1718894407.9765475
-0.31,-2.12,0.24,1718894408.04185
0.82,-1.35,1.3,1718894408.04185
0.59,-1.11,1.8,1718894408.0428526
0.05,-1.02,0.9,1718894408.0428526
-0.18,-0.91,0.97,1718894408.107263
0.17,-0.83,1.0,1718894408.10869
0.25,-0.75,0.77,1718894408.109696
-0.01,-0.79,0.41,1718894408.109696
-0.08,-1.26,0.71,1718894408.1744895
