X,Y,Z,Timestamp
0.1,-0.39,0.44,1718894328.9824061
0.18,-0.38,0.44,1718894328.9824061
-0.15,-0.59,0.54,1718894328.9824061
-0.19,-0.59,0.54,1718894328.983415
-0.17,-0.57,0.54,1718894328.9849024
-0.23,-0.63,0.49,1718894328.9849024
-0.18,-0.64,0.53,1718894328.9859083
-0.14,-0.62,0.62,1718894328.9859083
-0.08,-0.63,0.7,1718894328.9869084
-0.02,-0.59,0.71,1718894328.9869084
0.02,-0.62,0.76,1718894328.9882314
0.01,-0.56,0.82,1718894328.9882314
0.03,-0.57,0.82,1718894328.9882314
0.01,-0.64,0.87,1718894328.9893303
-0.03,-0.65,0.89,1718894328.9897559
-0.02,-0.62,0.98,1718894328.9902647
-0.31,-0.31,0.23,1718894328.9902647
-0.33,-0.28,0.16,1718894328.991269
-0.33,-0.28,0.15,1718894328.991269
-0.38,-0.21,0.14,1718894328.99227
-0.36,-0.29,0.17,1718894328.99227
-0.23,-0.22,0.23,1718894328.9932694
-0.3,-0.3,0.25,1718894328.9932694
-0.32,-0.28,0.29,1718894328.9942696
-0.22,-0.28,0.4,1718894328.9942696
-0.16,-0.19,0.37,1718894328.9942696
-0.18,-0.28,0.33,1718894328.9952722
0.13,-0.15,0.5,1718894328.9952722
-0.19,-0.32,0.37,1718894328.9962702
-0.07,-0.27,0.51,1718894328.9962702
-0.16,-0.26,0.49,1718894328.9972715
-0.11,-0.31,0.52,1718894328.9972715
-0.2,-0.26,0.58,1718894329.042708
-0.26,-0.28,0.57,1718894329.042708
-0.22,-0.26,0.52,1718894329.0438666
-0.19,-0.26,0.55,1718894329.1090665
-0.2,-0.3,0.53,1718894329.109952
-0.27,-0.29,0.54,1718894329.1109505
-0.13,-0.13,0.51,1718894329.1119509
-0.04,-0.12,0.74,1718894329.176095
-0.17,-0.18,0.7,1718894329.1770432
0.18,0.12,0.91,1718894329.1770432
-0.09,-0.18,0.71,1718894329.243003
-0.13,-0.23,0.71,1718894329.2432058
-0.38,-0.27,0.48,1718894329.2440763
-0.47,-0.29,0.49,1718894329.2450886
-0.49,-0.3,0.46,1718894329.309373
-0.48,-0.31,0.46,1718894329.310251
-0.4,-0.34,0.4,1718894329.310251
-0.34,-0.36,0.43,1718894329.3759463
-0.23,-0.27,0.4,1718894329.3759463
-0.14,-0.29,0.38,1718894329.3768177
-0.07,-0.23,0.41,1718894329.3768177
-0.05,-0.24,0.39,1718894329.4427226
-0.05,-0.32,0.39,1718894329.4437447
0.06,-0.24,0.44,1718894329.4447422
0.04,-0.26,0.4,1718894329.4457426
0.14,-0.28,0.39,1718894329.5099168
0.14,-0.23,0.43,1718894329.5099168
0.18,-0.34,0.67,1718894329.5109243
0.14,-0.36,0.63,1718894329.5761971
0.07,-0.4,0.58,1718894329.5761971
0.14,-0.42,0.59,1718894329.5761971
0.03,-0.43,0.59,1718894329.5772543
-0.04,-0.46,0.54,1718894329.6429613
-0.1,-0.44,0.49,1718894329.64326
-0.29,-0.5,0.45,1718894329.6437771
-0.33,-0.54,0.39,1718894329.6437771
-0.44,-0.53,0.35,1718894329.7097795
-0.6,-0.57,0.28,1718894329.7097795
-0.59,-0.56,0.29,1718894329.710796
-0.61,-0.53,0.33,1718894329.7765834
-0.62,-0.54,0.39,1718894329.7767951
-0.59,-0.56,0.39,1718894329.7779746
-0.5,-0.71,0.71,1718894329.7784343
-0.39,-0.72,0.8,1718894329.8433414
-0.32,-0.69,0.77,1718894329.844357
-0.37,-0.69,0.72,1718894329.844357
-0.28,-0.7,0.67,1718894329.9096184
-0.17,-0.67,0.75,1718894329.909791
-0.13,-0.64,0.69,1718894329.909791
0.02,-0.59,0.6,1718894329.910799
0.04,-0.63,0.57,1718894329.9764364
0.07,-0.57,0.49,1718894329.9764364
0.2,-0.46,0.42,1718894329.977462
0.26,-0.3,0.33,1718894329.977462
0.37,-0.23,0.29,1718894330.0427928
