X,Y,Z,Timestamp
-0.0,-0.29,0.48,1718896052.9783666
-0.06,-0.28,0.44,1718896052.9783666
-0.03,-0.2,0.45,1718896052.9793644
-0.08,-0.21,0.47,1718896052.9804494
-0.08,-0.19,0.47,1718896052.9804494
0.02,-0.15,0.44,1718896052.9813669
-0.07,-0.24,0.49,1718896052.9813669
-0.05,-0.17,0.5,1718896052.9813669
0.01,-0.18,0.54,1718896052.9823644
0.04,-0.21,0.55,1718896052.983365
0.05,-0.15,0.64,1718896052.983365
0.05,-0.15,0.61,1718896052.9844
0.01,-0.18,0.62,1718896052.9844
-0.09,-0.24,0.54,1718896052.9844
-0.13,-0.23,0.52,1718896052.9853623
-0.13,-0.2,0.52,1718896052.9853623
-0.12,-0.17,0.62,1718896052.9853623
0.05,-0.04,0.87,1718896053.021235
-0.03,-0.09,0.7,1718896053.0222087
-0.07,-0.23,0.6,1718896053.0222087
-0.07,-0.2,0.54,1718896053.0232096
-0.08,-0.11,0.7,1718896053.0881217
-0.03,-0.18,0.57,1718896053.089014
-0.14,-0.23,0.59,1718896053.0900102
-0.17,-0.23,0.62,1718896053.091008
-0.17,-0.2,0.69,1718896053.1551518
-0.12,-0.16,0.58,1718896053.1551518
-0.2,-0.24,0.64,1718896053.1561751
-0.19,-0.23,0.59,1718896053.2222116
-0.12,-0.21,0.59,1718896053.2232382
-0.09,-0.22,0.61,1718896053.2232382
-0.11,-0.25,0.59,1718896053.2242296
0.01,-0.22,0.68,1718896053.2881043
-0.0,-0.11,0.79,1718896053.2881043
-0.1,-0.17,0.69,1718896053.2891145
-0.04,0.08,0.79,1718896053.3551729
-0.23,-0.23,0.53,1718896053.3551729
-0.14,-0.19,0.61,1718896053.3561947
-0.17,-0.23,0.54,1718896053.3561947
-0.16,-0.19,0.62,1718896053.4222138
-0.13,-0.19,0.59,1718896053.4232447
-0.15,-0.21,0.59,1718896053.4232447
-0.2,-0.25,0.55,1718896053.4882362
-0.28,-0.23,0.51,1718896053.4882362
-0.31,-0.26,0.46,1718896053.4890997
-0.34,-0.28,0.37,1718896053.4890997
-0.29,-0.26,0.42,1718896053.5547502
-0.33,-0.28,0.37,1718896053.555744
-0.28,-0.27,0.34,1718896053.555744
-0.32,-0.33,0.39,1718896053.5564482
-0.34,-0.34,0.34,1718896053.6214955
-0.23,-0.3,0.42,1718896053.6223845
-0.25,-0.3,0.44,1718896053.6223845
-0.34,-0.32,0.41,1718896053.688547
-0.29,-0.34,0.29,1718896053.688547
0.36,-0.47,0.47,1718896053.6895866
0.26,-0.72,0.31,1718896053.6895866
0.18,-0.66,0.42,1718896053.755681
0.21,-0.67,0.53,1718896053.756038
0.24,-0.63,0.48,1718896053.7566566
0.16,-0.63,0.51,1718896053.7566566
-0.0,-0.69,0.53,1718896053.822441
0.11,-0.72,0.47,1718896053.823541
0.08,-0.76,0.45,1718896053.823541
0.07,-0.74,0.43,1718896053.8883646
0.1,-0.77,0.54,1718896053.8883646
0.07,-0.77,0.64,1718896053.8894262
0.1,-0.76,0.71,1718896053.8899455
0.09,-0.79,0.49,1718896053.9549153
0.09,-0.87,0.53,1718896053.955781
0.06,-0.84,0.56,1718896053.955781
-0.11,-0.98,0.15,1718896053.95678
-0.04,-0.97,0.19,1718896054.021391
-0.1,-0.91,0.14,1718896054.0223749
-0.08,-1.0,0.23,1718896054.0232801
-0.18,-0.96,0.37,1718896054.088457
-0.15,-1.01,0.4,1718896054.088457
-0.24,-0.95,0.48,1718896054.089764
-0.19,-0.93,0.54,1718896054.089764
-0.18,-0.96,0.52,1718896054.1547735
-0.07,-0.9,0.64,1718896054.1547735
0.1,-0.94,0.59,1718896054.155849
0.02,-0.89,0.56,1718896054.2208807
0.1,-1.03,0.1,1718896054.2218761
0.31,-0.88,0.59,1718896054.2218761
-0.1,-0.85,0.31,1718896054.2228777
-0.16,-0.47,0.42,1718896054.2884479
-0.23,-0.51,0.44,1718896054.2884479
-0.1,-0.44,0.34,1718896054.2894235
0.12,-0.51,0.47,1718896054.2894235
0.05,-0.53,0.39,1718896054.354539
