X,Y,Z,Timestamp
-0.21,-0.3,0.31,1718896098.0609033
-0.08,-0.21,0.37,1718896098.0623949
-0.15,-0.29,0.48,1718896098.0623949
-0.13,-0.26,0.52,1718896098.0634007
-0.13,-0.3,0.56,1718896098.0645688
-0.18,-0.26,0.59,1718896098.0645688
-0.16,-0.22,0.53,1718896098.0645688
-0.24,-0.28,0.49,1718896098.0655742
-0.21,-0.31,0.45,1718896098.0655742
-0.19,-0.25,0.49,1718896098.0665746
-0.15,-0.26,0.52,1718896098.0665746
-0.24,-0.25,0.55,1718896098.0679295
-0.2,-0.23,0.52,1718896098.0679295
-0.18,-0.23,0.54,1718896098.0683582
-0.23,-0.25,0.62,1718896098.0683582
-0.18,-0.27,0.54,1718896098.0683582
-0.19,-0.23,0.54,1718896098.0693762
-0.18,-0.27,0.62,1718896098.0693762
-0.16,-0.29,0.54,1718896098.0693762
-0.25,-0.26,0.56,1718896098.0703645
-0.2,-0.3,0.59,1718896098.0703645
-0.19,-0.26,0.59,1718896098.0703645
-0.22,-0.26,0.54,1718896098.071365
-0.27,-0.28,0.6,1718896098.071365
-0.21,-0.31,0.57,1718896098.0882492
-0.23,-0.26,0.57,1718896098.0882492
-0.24,-0.29,0.61,1718896098.0882492
-0.22,-0.31,0.54,1718896098.0892596
-0.28,-0.29,0.53,1718896098.15475
-0.23,-0.25,0.59,1718896098.1557672
-0.17,-0.29,0.56,1718896098.156767
-0.26,-0.25,0.57,1718896098.2204506
-0.27,-0.24,0.55,1718896098.2214487
-0.21,-0.27,0.56,1718896098.2224479
-0.18,-0.31,0.61,1718896098.2224479
-0.26,-0.3,0.62,1718896098.2884583
-0.23,-0.28,0.62,1718896098.2884583
-0.24,-0.31,0.57,1718896098.2894623
-0.24,-0.28,0.57,1718896098.354741
-0.25,-0.3,0.54,1718896098.355226
-0.2,-0.28,0.56,1718896098.3562396
-0.25,-0.31,0.6,1718896098.3566518
-0.23,-0.26,0.55,1718896098.4213085
-0.21,-0.29,0.61,1718896098.4221673
-0.19,-0.27,0.55,1718896098.4221673
-0.19,-0.22,0.59,1718896098.487854
-0.24,-0.33,0.56,1718896098.487854
-0.25,-0.26,0.63,1718896098.488877
-0.27,-0.3,0.64,1718896098.488877
-0.23,-0.29,0.56,1718896098.5545204
-0.2,-0.26,0.57,1718896098.5554683
-0.27,-0.3,0.58,1718896098.5554683
-0.2,-0.28,0.54,1718896098.5554683
-0.16,-0.26,0.6,1718896098.6209087
-0.17,-0.25,0.6,1718896098.6219058
-0.21,-0.32,0.6,1718896098.6219058
-0.26,-0.27,0.54,1718896098.6883438
-0.24,-0.33,0.53,1718896098.6892323
-0.28,-0.29,0.57,1718896098.6892323
-0.2,-0.23,0.53,1718896098.6892323
-0.28,-0.33,0.55,1718896098.754492
-0.29,-0.3,0.55,1718896098.7553713
-0.18,-0.31,0.59,1718896098.7553713
-0.23,-0.27,0.63,1718896098.8214202
-0.24,-0.32,0.58,1718896098.822435
-0.25,-0.31,0.53,1718896098.822435
-0.21,-0.29,0.53,1718896098.822435
-0.2,-0.35,0.56,1718896098.8876154
-0.23,-0.34,0.57,1718896098.8876154
-0.17,-0.31,0.61,1718896098.8888729
-0.2,-0.3,0.63,1718896098.9543195
-0.23,-0.33,0.55,1718896098.9552314
-0.21,-0.32,0.55,1718896098.9552314
-0.2,-0.32,0.6,1718896098.9562266
-0.25,-0.34,0.57,1718896099.0207384
-0.23,-0.35,0.58,1718896099.0217276
-0.22,-0.35,0.63,1718896099.0217276
-0.21,-0.28,0.56,1718896099.0877244
-0.18,-0.28,0.59,1718896099.0885935
-0.21,-0.27,0.55,1718896099.0885935
-0.24,-0.27,0.59,1718896099.0895925
-0.23,-0.27,0.62,1718896099.1551235
-0.23,-0.28,0.59,1718896099.1560433
-0.2,-0.26,0.6,1718896099.1560433
-0.2,-0.32,0.53,1718896099.157041
-0.23,-0.33,0.54,1718896099.221279
-0.22,-0.28,0.57,1718896099.221279
-0.26,-0.27,0.58,1718896099.2222853
-0.22,-0.3,0.59,1718896099.2878754
-0.21,-0.31,0.56,1718896099.2878754
-0.24,-0.28,0.54,1718896099.288872
-0.23,-0.34,0.59,1718896099.2893176
-0.22,-0.29,0.5,1718896099.354592
-0.22,-0.31,0.51,1718896099.3551986
-0.25,-0.28,0.58,1718896099.3551986
-0.2,-0.34,0.64,1718896099.4210746
-0.21,-0.26,0.62,1718896099.4220877
-0.22,-0.27,0.57,1718896099.4220877
-0.24,-0.32,0.59,1718896099.4220877
-0.19,-0.25,0.54,1718896099.4884422
-0.17,-0.31,0.6,1718896099.4884422
-0.24,-0.31,0.57,1718896099.4891644
-0.2,-0.28,0.58,1718896099.554845
-0.17,-0.3,0.55,1718896099.554845
-0.25,-0.31,0.56,1718896099.555852
-0.19,-0.35,0.54,1718896099.555852
-0.24,-0.32,0.54,1718896099.6209354
-0.2,-0.27,0.59,1718896099.6219246
-0.26,-0.29,0.57,1718896099.6219246
-0.68,-0.5,0.38,1718896099.6875908
-0.55,-0.43,0.38,1718896099.68856
-0.55,-0.53,0.4,1718896099.68856
-0.47,-0.4,0.4,1718896099.68856
-0.34,-0.39,0.45,1718896099.75495
-0.34,-0.37,0.44,1718896099.75495
-0.17,-0.43,0.46,1718896099.7558494
-0.1,-0.36,0.54,1718896099.7558494
-0.03,-0.35,0.47,1718896099.8218126
-0.05,-0.33,0.56,1718896099.8226717
0.1,-0.31,0.64,1718896099.8226717
0.15,-0.31,0.67,1718896099.8875396
0.07,-0.34,0.67,1718896099.8885443
0.09,-0.33,0.61,1718896099.8885443
-0.05,-0.43,0.6,1718896099.8895426
-0.02,-0.37,0.59,1718896099.954417
-0.06,-0.41,0.57,1718896099.954417
-0.02,-0.37,0.6,1718896099.9554172
-0.02,-0.37,0.53,1718896100.021461
-0.03,-0.33,0.62,1718896100.021461
-0.03,-0.39,0.56,1718896100.0222332
