X,Y,Z,Timestamp
-0.22,-0.35,0.19,1718896275.491821
-0.09,-0.23,0.62,1718896275.492743
-0.18,-0.18,0.55,1718896275.4937372
-0.12,-0.2,0.5,1718896275.4948277
-0.16,-0.17,0.51,1718896275.495738
-0.1,-0.13,0.53,1718896275.495738
-0.17,-0.17,0.55,1718896275.4967368
-0.17,-0.18,0.56,1718896275.4977415
-0.2,-0.15,0.55,1718896275.4987373
-0.18,-0.15,0.56,1718896275.4987373
-0.2,-0.16,0.49,1718896275.4997385
-0.11,-0.16,0.58,1718896275.4997385
-0.13,-0.16,0.54,1718896275.4997385
-0.16,-0.13,0.59,1718896275.5007741
-0.18,-0.21,0.54,1718896275.5007741
-0.1,-0.31,0.62,1718896275.5007741
-0.18,-0.28,0.57,1718896275.5007741
-0.18,-0.26,0.55,1718896275.501738
-0.08,-0.24,0.56,1718896275.501738
-0.15,-0.29,0.58,1718896275.501738
-0.06,-0.28,0.63,1718896275.502775
-0.13,-0.28,0.61,1718896275.5536928
-0.15,-0.27,0.56,1718896275.5546322
-0.23,-0.29,0.51,1718896275.555632
-0.1,-0.32,0.58,1718896275.6190863
-0.11,-0.22,0.58,1718896275.6202273
-0.02,-0.28,0.6,1718896275.6210427
-0.09,-0.28,0.65,1718896275.6215603
-0.12,-0.23,0.57,1718896275.6868584
-0.06,-0.14,0.76,1718896275.687193
0.07,-0.07,0.77,1718896275.6882007
-0.06,-0.11,0.67,1718896275.6882007
-0.2,-0.31,0.54,1718896275.7529256
-0.19,-0.32,0.6,1718896275.7539265
-0.13,-0.3,0.62,1718896275.7539265
-0.18,-0.24,0.57,1718896275.8202689
-0.18,-0.28,0.6,1718896275.8202689
-0.11,-0.28,0.56,1718896275.8202689
-0.21,-0.28,0.6,1718896275.821267
-0.16,-0.28,0.54,1718896275.8866303
-0.15,-0.26,0.53,1718896275.8866303
-0.13,-0.23,0.59,1718896275.8876455
-0.1,-0.29,0.56,1718896275.9527197
-0.11,-0.21,0.62,1718896275.9538836
-0.15,-0.27,0.59,1718896275.9538836
-0.13,-0.22,0.54,1718896275.9538836
-0.16,-0.3,0.59,1718896276.0198672
-0.13,-0.23,0.6,1718896276.020877
-0.09,-0.31,0.58,1718896276.020877
-0.18,-0.28,0.57,1718896276.086702
-0.13,-0.27,0.54,1718896276.086702
-0.1,-0.25,0.61,1718896276.087547
-0.09,-0.27,0.55,1718896276.087547
-0.14,-0.31,0.6,1718896276.1528776
-0.1,-0.28,0.6,1718896276.1538641
-0.11,-0.31,0.6,1718896276.1538641
-0.16,-0.28,0.6,1718896276.220121
-0.12,-0.31,0.57,1718896276.220121
-0.15,-0.29,0.56,1718896276.2209911
-0.09,-0.29,0.63,1718896276.2209911
-0.16,-0.31,0.56,1718896276.287208
-0.15,-0.27,0.56,1718896276.287208
-0.16,-0.23,0.58,1718896276.287208
-0.16,-0.29,0.55,1718896276.288411
-0.11,-0.32,0.57,1718896276.3529096
-0.14,-0.28,0.58,1718896276.3537922
-0.11,-0.28,0.58,1718896276.3537922
-0.15,-0.26,0.58,1718896276.41888
-0.12,-0.28,0.58,1718896276.4203126
-0.15,-0.26,0.54,1718896276.4203126
-0.18,-0.28,0.58,1718896276.4213183
-0.2,-0.24,0.4,1718896276.4862587
