X,Y,Z,Timestamp
-0.39,-0.44,0.45,1718896006.4512813
-0.4,-0.43,0.52,1718896006.452284
-0.4,-0.43,0.49,1718896006.4532843
-0.4,-0.38,0.4,1718896006.4532843
-0.33,-0.27,0.39,1718896006.4543602
-0.39,-0.14,0.52,1718896006.455366
-0.41,-0.09,0.49,1718896006.455366
-0.44,-0.11,0.42,1718896006.456366
-0.4,-0.08,0.45,1718896006.4571657
-0.38,-0.07,0.4,1718896006.4571657
-0.39,-0.01,0.43,1718896006.4581733
-0.4,-0.03,0.42,1718896006.4581733
-0.39,-0.0,0.4,1718896006.4581733
-0.39,-0.0,0.41,1718896006.459171
-0.34,0.02,0.42,1718896006.459171
-0.37,-0.01,0.38,1718896006.459171
-0.35,0.03,0.42,1718896006.4601734
-0.34,0.01,0.44,1718896006.4601734
-0.31,0.01,0.4,1718896006.4601734
-0.32,0.09,0.42,1718896006.4611733
-0.3,0.07,0.45,1718896006.4611733
-0.29,-0.02,0.45,1718896006.4886189
-0.27,0.04,0.45,1718896006.4896173
-0.37,0.09,0.51,1718896006.4896173
-0.34,0.08,0.45,1718896006.4906187
-0.34,0.08,0.49,1718896006.5554094
-0.31,0.06,0.45,1718896006.5563254
-0.29,-0.0,0.5,1718896006.557321
-0.3,0.07,0.54,1718896006.621949
-0.38,0.07,0.52,1718896006.6229582
-0.32,0.08,0.49,1718896006.623959
-0.33,0.07,0.49,1718896006.623959
-0.35,-0.0,0.47,1718896006.6880572
-0.34,0.1,0.51,1718896006.6890538
-0.32,0.08,0.53,1718896006.6890538
-0.33,-0.0,0.59,1718896006.6900527
-0.34,0.08,0.54,1718896006.755643
-0.29,0.05,0.59,1718896006.7561228
-0.27,0.03,0.54,1718896006.7571418
-0.27,0.05,0.53,1718896006.7571418
-0.32,0.08,0.53,1718896006.8224669
-0.34,0.04,0.51,1718896006.8234646
-0.26,0.07,0.57,1718896006.824536
-0.29,0.02,0.52,1718896006.8886938
-0.28,0.06,0.51,1718896006.8886938
-0.26,0.06,0.53,1718896006.889694
-0.31,0.02,0.48,1718896006.8899622
-0.28,0.02,0.54,1718896006.9548695
-0.25,0.02,0.49,1718896006.9558685
-0.31,0.02,0.49,1718896006.9567964
-0.28,-0.03,0.52,1718896006.957792
-0.2,0.05,0.45,1718896007.021417
-0.24,0.03,0.43,1718896007.0224097
-0.15,0.05,0.41,1718896007.0234084
-0.16,0.03,0.47,1718896007.0234084
-0.13,-0.01,0.46,1718896007.088699
-0.21,0.03,0.47,1718896007.088699
-0.1,-0.01,0.48,1718896007.089725
-0.13,-0.05,0.44,1718896007.1552105
-0.16,0.03,0.48,1718896007.1560626
-0.19,0.03,0.44,1718896007.1560626
-0.12,-0.07,0.46,1718896007.1570618
-0.13,-0.02,0.44,1718896007.2218182
-0.12,-0.1,0.45,1718896007.2218182
-0.07,-0.02,0.36,1718896007.222827
-0.14,-0.63,0.41,1718896007.2882972
-0.22,-0.75,0.41,1718896007.2882972
-0.23,-0.76,0.42,1718896007.2892962
-0.2,-0.85,0.51,1718896007.2892962
-0.18,-0.76,0.81,1718896007.3545866
-0.1,-0.77,0.76,1718896007.355583
-0.14,-0.83,0.53,1718896007.355583
-0.15,-0.83,0.39,1718896007.356842
-0.23,-0.85,0.55,1718896007.4220374
-0.15,-0.83,0.82,1718896007.4220374
-0.08,-0.87,0.62,1718896007.4220374
-0.11,-0.95,0.29,1718896007.488072
-0.07,-0.94,0.28,1718896007.489082
-0.12,-1.03,0.37,1718896007.489082
-0.01,-0.96,0.5,1718896007.4900818
-0.03,-1.01,0.49,1718896007.5546122
0.02,-0.93,0.51,1718896007.5556102
-0.04,-0.95,0.49,1718896007.5556102
-0.01,-0.96,0.5,1718896007.621693
-0.04,-1.01,0.27,1718896007.6226912
-0.08,-0.92,0.18,1718896007.6226912
-0.07,-0.86,0.27,1718896007.6236863
-0.07,-0.87,0.25,1718896007.6889956
-0.05,-0.83,0.31,1718896007.6889956
-0.09,-0.83,0.38,1718896007.6889956
-0.07,-0.87,0.55,1718896007.754742
-0.1,-0.87,0.54,1718896007.7557406
-0.16,-0.9,0.54,1718896007.7557406
-0.19,-0.92,0.59,1718896007.7567396
-0.28,-0.72,0.39,1718896007.8220992
-0.26,-0.71,0.32,1718896007.8229814
-0.2,-0.67,0.31,1718896007.8229814
-0.29,-0.64,0.41,1718896007.8239808
-0.27,-0.61,0.46,1718896007.8888435
-0.21,-0.58,0.43,1718896007.8897774
-0.22,-0.53,0.42,1718896007.8899617
-0.27,-0.53,0.39,1718896007.9548113
