X,Y,Z,Timestamp
-0.05,-0.3,0.54,1718896179.7429776
-0.03,-0.34,0.57,1718896179.7429776
-0.11,-0.26,0.49,1718896179.7439775
-0.14,-0.21,0.59,1718896179.7439775
-0.09,-0.23,0.59,1718896179.7449794
-0.14,-0.23,0.52,1718896179.7449794
-0.1,-0.14,0.53,1718896179.74603
-0.06,-0.27,0.65,1718896179.74603
-0.13,-0.23,0.59,1718896179.74603
-0.11,-0.26,0.54,1718896179.7479792
-0.14,-0.28,0.54,1718896179.7479792
-0.05,-0.16,0.56,1718896179.7479792
-0.05,-0.18,0.54,1718896179.7490735
-0.03,-0.08,0.79,1718896179.7490735
0.06,-0.13,0.78,1718896179.7490735
-0.08,-0.2,0.59,1718896179.750039
-0.14,-0.33,0.51,1718896179.750039
-0.13,-0.28,0.56,1718896179.7510655
-0.11,-0.28,0.52,1718896179.752059
-0.04,-0.23,0.61,1718896179.752059
0.02,-0.24,0.73,1718896179.7529778
-0.03,-0.19,0.58,1718896179.754062
0.09,-0.1,0.7,1718896179.7550664
0.29,0.1,0.92,1718896179.7550664
0.21,0.19,0.8,1718896179.7550664
0.04,-0.19,0.63,1718896179.82131
-0.21,-0.32,0.48,1718896179.822353
-0.12,-0.3,0.57,1718896179.8227959
-0.12,-0.24,0.53,1718896179.8867676
-0.11,-0.28,0.53,1718896179.8877373
-0.01,-0.27,0.64,1718896179.8877373
-0.15,-0.23,0.57,1718896179.8887355
-0.1,-0.23,0.6,1718896179.9533324
-0.14,-0.29,0.54,1718896179.9543338
-0.15,-0.26,0.55,1718896179.9543338
-0.16,-0.28,0.58,1718896180.0202506
-0.12,-0.25,0.53,1718896180.0211525
-0.16,-0.25,0.54,1718896180.0221512
-0.16,-0.27,0.58,1718896180.0221512
-0.11,-0.25,0.57,1718896180.0873027
-0.1,-0.28,0.56,1718896180.0873027
-0.07,-0.26,0.62,1718896180.088453
-0.13,-0.27,0.6,1718896180.088453
-0.13,-0.26,0.57,1718896180.1541352
-0.08,-0.28,0.56,1718896180.1551545
-0.1,-0.33,0.61,1718896180.1551545
-0.09,-0.25,0.57,1718896180.220437
-0.1,-0.34,0.57,1718896180.2214441
-0.15,-0.3,0.55,1718896180.2214441
-0.13,-0.25,0.56,1718896180.2214441
-0.1,-0.29,0.57,1718896180.2869794
-0.06,-0.26,0.54,1718896180.287988
-0.12,-0.29,0.59,1718896180.287988
-0.13,-0.31,0.59,1718896180.3532403
-0.11,-0.27,0.59,1718896180.3542573
-0.09,-0.24,0.53,1718896180.3542573
-0.09,-0.29,0.57,1718896180.3552527
-0.1,-0.31,0.54,1718896180.4205818
-0.1,-0.24,0.61,1718896180.4205818
-0.11,-0.19,0.6,1718896180.4218962
-0.08,-0.28,0.55,1718896180.4870684
0.05,-0.18,0.67,1718896180.4870684
-0.02,-0.23,0.61,1718896180.4883797
-0.0,-0.22,0.56,1718896180.4887183
-0.08,-0.17,0.54,1718896180.5540564
-0.0,-0.18,0.57,1718896180.5540564
0.07,-0.27,0.53,1718896180.555064
-0.02,-0.29,0.55,1718896180.555064
0.21,-0.13,0.67,1718896180.6199622
0.27,-0.06,0.67,1718896180.6214173
0.38,-0.18,0.64,1718896180.621798
0.4,-0.2,0.66,1718896180.6868374
0.2,-0.18,0.54,1718896180.6878548
-0.38,-0.4,0.59,1718896180.6878548
-0.41,-0.44,0.5,1718896180.6888406
-0.34,-0.47,0.51,1718896180.7534456
-0.4,-0.44,0.52,1718896180.754545
-0.38,-0.42,0.49,1718896180.754545
-0.4,-0.43,0.56,1718896180.820524
-0.3,-0.41,0.57,1718896180.820524
-0.29,-0.36,0.53,1718896180.821411
-0.22,-0.42,0.53,1718896180.821411
-0.21,-0.39,0.57,1718896180.8873775
-0.22,-0.34,0.54,1718896180.8873775
-0.13,-0.44,0.57,1718896180.888378
-0.17,-0.39,0.58,1718896180.888378
-0.13,-0.34,0.57,1718896180.9544933
