X,Y,Z,Timestamp
-0.11,-0.46,0.46,1718896390.9383447
-0.05,-0.38,0.52,1718896390.9393468
-0.1,-0.43,0.52,1718896390.9393468
-0.11,-0.41,0.57,1718896390.941349
-0.15,-0.44,0.56,1718896390.941349
-0.14,-0.39,0.53,1718896390.9423492
-0.13,-0.37,0.49,1718896390.9423492
-0.18,-0.42,0.49,1718896390.9433477
-0.13,-0.39,0.51,1718896390.9443488
-0.13,-0.39,0.52,1718896390.9453473
-0.13,-0.41,0.46,1718896390.9453473
-0.12,-0.36,0.51,1718896390.9453473
-0.09,-0.33,0.48,1718896390.9453473
-0.18,-0.39,0.58,1718896390.946346
-0.12,-0.31,0.59,1718896390.946346
-0.14,-0.34,0.59,1718896390.946346
-0.07,-0.32,0.54,1718896390.947346
-0.02,-0.38,0.6,1718896390.947346
-0.07,-0.34,0.5,1718896390.947346
-0.1,-0.39,0.48,1718896390.947346
-0.08,-0.44,0.51,1718896390.9483461
-0.08,-0.35,0.52,1718896390.9483461
-0.1,-0.35,0.51,1718896390.9483461
-0.1,-0.38,0.51,1718896390.9493465
-0.14,-0.35,0.52,1718896391.0102162
-0.12,-0.41,0.52,1718896391.011262
-0.11,-0.34,0.55,1718896391.011262
-0.1,-0.34,0.51,1718896391.0762317
-0.09,-0.43,0.48,1718896391.077245
-0.13,-0.32,0.53,1718896391.077245
-0.12,-0.36,0.55,1718896391.078241
-0.08,-0.33,0.58,1718896391.1423595
-0.09,-0.38,0.59,1718896391.1433558
-0.17,-0.36,0.53,1718896391.1443555
-0.09,-0.35,0.52,1718896391.2091877
-0.14,-0.42,0.54,1718896391.2100716
-0.09,-0.39,0.51,1718896391.211073
-0.05,-0.42,0.54,1718896391.2120712
-0.14,-0.36,0.54,1718896391.276242
-0.15,-0.42,0.52,1718896391.2772532
-0.13,-0.39,0.55,1718896391.2772532
-0.14,-0.36,0.49,1718896391.2782497
-0.12,-0.41,0.54,1718896391.3429406
-0.17,-0.39,0.52,1718896391.3429406
-0.07,-0.4,0.53,1718896391.3439484
-0.06,-0.34,0.54,1718896391.4101424
-0.08,-0.37,0.56,1718896391.411165
-0.14,-0.4,0.5,1718896391.412162
-0.13,-0.42,0.49,1718896391.412162
-0.11,-0.37,0.52,1718896391.4765577
-0.13,-0.42,0.47,1718896391.4765577
-0.12,-0.39,0.53,1718896391.4775186
-0.05,-0.41,0.47,1718896391.542825
0.34,-1.01,0.2,1718896391.543411
0.08,-0.92,0.74,1718896391.543411
-0.08,-0.7,1.12,1718896391.5444164
-0.07,-0.63,1.02,1718896391.6094902
-0.13,-0.77,0.81,1718896391.6094902
-0.01,-0.69,0.57,1718896391.6105125
-0.34,-0.7,1.09,1718896391.6764622
0.01,-0.64,0.78,1718896391.6764622
-0.07,-0.8,0.53,1718896391.6774087
0.05,-0.61,0.69,1718896391.6783867
0.11,-0.75,0.26,1718896391.742797
0.08,-0.71,0.4,1718896391.742797
0.02,-0.72,0.4,1718896391.7437923
0.05,-0.83,0.29,1718896391.7437923
-0.04,-0.73,0.37,1718896391.8088598
0.05,-0.72,0.2,1718896391.810301
0.05,-0.73,0.18,1718896391.810301
0.02,-0.75,0.16,1718896391.8113067
0.08,-0.79,0.13,1718896391.8755348
0.06,-0.72,0.18,1718896391.876542
0.07,-0.77,0.13,1718896391.876542
0.07,-0.8,0.09,1718896391.9423327
-0.01,-0.75,0.11,1718896391.9433384
-0.03,-0.79,0.2,1718896391.9433384
-0.04,-0.77,0.1,1718896391.944338
-0.15,-0.86,0.2,1718896392.0092177
-0.11,-0.85,0.14,1718896392.0102124
-0.18,-0.87,0.23,1718896392.0107048
-0.15,-0.87,0.2,1718896392.0758812
-0.14,-0.86,0.26,1718896392.0758812
0.35,-0.55,0.3,1718896392.077189
0.43,-0.51,0.35,1718896392.077189
0.4,-0.56,0.41,1718896392.1425989
0.4,-0.61,0.36,1718896392.143598
0.28,-0.64,0.35,1718896392.143598
0.16,-0.62,0.25,1718896392.143598
0.1,-0.71,0.34,1718896392.2096684
0.08,-0.67,0.34,1718896392.2096684
0.07,-0.74,0.39,1718896392.2106154
0.09,-0.63,0.47,1718896392.2109492
0.2,-0.66,0.39,1718896392.2761388
0.15,-0.69,0.41,1718896392.2761388
0.25,-0.67,0.45,1718896392.2770395
0.14,-0.67,0.44,1718896392.3431451
0.22,-0.65,0.45,1718896392.3432772
0.18,-0.69,0.4,1718896392.3432772
0.34,-0.47,0.54,1718896392.344317
0.28,-0.51,0.53,1718896392.4091644
0.28,-0.5,0.51,1718896392.4101615
0.33,-0.54,0.54,1718896392.4101615
0.19,-0.63,0.31,1718896392.4111605
0.1,-0.58,0.17,1718896392.4759855
0.01,-0.55,0.24,1718896392.4769866
-0.06,-0.56,0.25,1718896392.4769866
-0.1,-0.58,0.39,1718896392.4769866
-0.15,-0.58,0.44,1718896392.5430496
-0.15,-0.61,0.49,1718896392.5430496
-0.14,-0.62,0.45,1718896392.5440576
-0.27,-0.56,0.39,1718896392.6096992
-0.28,-0.58,0.37,1718896392.6096992
-0.22,-0.51,0.39,1718896392.6105514
-0.16,-0.43,0.44,1718896392.6105514
-0.13,-0.45,0.47,1718896392.6762717
