X,Y,Z,Timestamp
-0.14,-0.3,0.59,1718896516.3156464
-0.23,-0.31,0.53,1718896516.3156464
-0.21,-0.2,0.58,1718896516.3170135
-0.21,-0.25,0.49,1718896516.3170135
-0.2,-0.23,0.45,1718896516.3190212
-0.27,-0.2,0.35,1718896516.3190212
-0.22,-0.18,0.49,1718896516.3200195
-0.13,-0.18,0.51,1718896516.3200195
-0.15,-0.19,0.58,1718896516.3210196
-0.13,-0.16,0.63,1718896516.3210196
-0.14,-0.15,0.55,1718896516.3223922
-0.08,-0.1,0.54,1718896516.3233998
-0.26,-0.12,0.46,1718896516.3233998
-0.31,-0.14,0.39,1718896516.324401
-0.29,0.02,0.58,1718896516.324401
-0.29,0.04,0.5,1718896516.324401
-0.3,0.03,0.39,1718896516.3253999
-0.23,-0.02,0.52,1718896516.3253999
-0.25,0.08,0.44,1718896516.3263977
-0.26,-0.0,0.47,1718896516.3263977
-0.21,0.03,0.49,1718896516.3263977
-0.21,-0.02,0.57,1718896516.3273983
-0.19,0.03,0.56,1718896516.3273983
-0.22,0.06,0.53,1718896516.3283973
-0.21,0.03,0.59,1718896516.3416128
-0.18,0.01,0.58,1718896516.3416128
-0.14,-0.05,0.67,1718896516.3425698
-0.12,-0.03,0.53,1718896516.3425698
0.15,0.32,0.78,1718896516.4084845
-0.21,-0.06,0.57,1718896516.4094987
-0.27,-0.05,0.57,1718896516.4104972
-0.23,-0.03,0.54,1718896516.411496
-0.18,-0.07,0.54,1718896516.4748282
-0.25,-0.07,0.57,1718896516.4757407
-0.18,0.03,0.59,1718896516.4767408
-0.24,-0.05,0.53,1718896516.5420268
-0.28,-0.04,0.57,1718896516.542991
-0.23,-0.05,0.56,1718896516.542991
-0.25,-0.05,0.58,1718896516.543994
-0.19,-0.02,0.61,1718896516.6088011
-0.23,-0.03,0.6,1718896516.6098034
-0.23,-0.03,0.56,1718896516.6098034
-0.25,-0.03,0.61,1718896516.6745756
-0.23,-0.05,0.6,1718896516.6755748
-0.25,-0.04,0.56,1718896516.6755748
-0.25,-0.02,0.58,1718896516.676575
-0.24,-0.02,0.59,1718896516.742332
-0.22,0.02,0.58,1718896516.7433321
-0.19,-0.08,0.58,1718896516.7443304
-0.16,-0.05,0.58,1718896516.7448692
-0.24,-0.06,0.52,1718896516.8085709
-0.18,-0.03,0.54,1718896516.809572
-0.23,-0.03,0.57,1718896516.809572
-0.22,-0.01,0.62,1718896516.874707
-0.27,-0.06,0.6,1718896516.8757093
-0.2,-0.02,0.59,1718896516.8757093
-0.29,-0.02,0.63,1718896516.8767517
-0.2,-0.0,0.57,1718896516.941531
-0.28,0.01,-0.36,1718896516.942446
-0.18,-0.04,-0.33,1718896516.942446
-0.04,-0.18,-0.39,1718896517.0078182
0.13,-0.25,-0.1,1718896517.0091066
-0.07,-0.45,0.18,1718896517.0091066
-0.18,-0.42,0.59,1718896517.010113
-0.05,-0.41,0.88,1718896517.0747166
-0.02,-0.3,1.16,1718896517.0757184
-0.12,-0.21,1.42,1718896517.0757184
-0.22,-0.15,1.52,1718896517.1419241
-0.23,-0.15,1.44,1718896517.1419241
-0.19,-0.22,1.34,1718896517.1429245
-0.15,-0.26,1.09,1718896517.1429245
-0.18,-0.38,0.34,1718896517.208727
-0.12,-0.23,-0.21,1718896517.208727
0.18,-0.08,-0.31,1718896517.2097251
0.17,0.1,-0.02,1718896517.2747743
-0.36,0.15,-0.13,1718896517.2757773
-0.45,-0.03,-0.32,1718896517.2757773
-0.46,0.08,-0.52,1718896517.2767732
-0.34,0.04,-0.6,1718896517.3419685
-0.13,0.03,-0.15,1718896517.3430638
-0.04,-0.14,-0.16,1718896517.343571
-0.12,-0.23,0.06,1718896517.4081426
0.22,-0.23,0.27,1718896517.4091449
0.06,-0.32,0.47,1718896517.4091449
-0.03,-0.34,0.65,1718896517.409674
-0.16,-0.26,1.31,1718896517.4746397
-0.14,-0.42,1.29,1718896517.4756386
-0.06,-0.38,1.26,1718896517.4756386
-0.04,-0.51,1.09,1718896517.4766424
-0.02,-0.54,0.88,1718896517.542042
-0.1,-0.6,0.6,1718896517.542042
-0.27,-0.57,0.39,1718896517.5430481
-0.34,-0.44,0.13,1718896517.6085486
