X,Y,Z,Timestamp
-0.02,-0.6,0.24,1718896446.3054075
-0.09,-0.56,0.28,1718896446.3063233
-0.06,-0.62,0.36,1718896446.3063233
-0.27,-0.68,0.42,1718896446.307318
-0.24,-0.63,0.39,1718896446.3083184
-0.16,-0.63,0.42,1718896446.3083184
-0.18,-0.67,0.38,1718896446.3093185
-0.18,-0.59,0.34,1718896446.3103192
-0.15,-0.64,0.42,1718896446.3103192
-0.13,-0.6,0.41,1718896446.3113186
-0.18,-0.66,0.44,1718896446.3123183
-0.23,-0.63,0.42,1718896446.3123183
-0.15,-0.63,0.49,1718896446.313317
-0.22,-0.66,0.45,1718896446.313317
-0.21,-0.66,0.44,1718896446.313317
-0.17,-0.62,0.47,1718896446.3143184
-0.18,-0.58,0.41,1718896446.3143184
-0.21,-0.63,0.52,1718896446.3143184
-0.21,-0.66,0.42,1718896446.3153164
-0.18,-0.63,0.51,1718896446.3153164
-0.18,-0.59,0.44,1718896446.3153164
-0.25,-0.58,0.43,1718896446.3163161
-0.21,-0.62,0.52,1718896446.3163161
-0.24,-0.56,0.49,1718896446.3163161
-0.21,-0.59,0.49,1718896446.317317
-0.22,-0.59,0.49,1718896446.317317
-0.24,-0.56,0.42,1718896446.317317
-0.23,-0.54,0.42,1718896446.3183167
-0.18,-0.54,0.43,1718896446.3183167
-0.28,-0.56,0.49,1718896446.3183167
-0.2,-0.57,0.52,1718896446.3193166
-0.33,-0.51,0.49,1718896446.3195536
-0.27,-0.44,0.54,1718896446.3195536
-0.3,-0.44,0.51,1718896446.3195536
-0.3,-0.48,0.48,1718896446.3205929
-0.31,-0.52,0.45,1718896446.3205929
-0.24,-0.5,0.47,1718896446.3215587
-0.35,-0.48,0.41,1718896446.3215587
-0.26,-0.44,0.45,1718896446.3215587
-0.25,-0.41,0.48,1718896446.3225589
-0.29,-0.48,0.47,1718896446.3225589
-0.25,-0.44,0.51,1718896446.3225589
-0.32,-0.44,0.46,1718896446.3235588
-0.31,-0.49,0.44,1718896446.3235588
-0.33,-0.39,0.43,1718896446.3235588
-0.23,-0.34,0.7,1718896446.3419387
-0.19,-0.38,0.63,1718896446.3428445
-0.19,-0.36,0.54,1718896446.3428445
-0.13,-0.36,0.53,1718896446.3438253
-0.27,-0.39,0.45,1718896446.40866
-0.3,-0.45,0.44,1718896446.4097812
-0.29,-0.46,0.44,1718896446.410716
-0.31,-0.43,0.46,1718896446.475957
-0.36,-0.44,0.58,1718896446.4766722
-0.39,-0.49,0.54,1718896446.4776812
-0.34,-0.51,0.64,1718896446.4786825
-0.39,-0.49,0.53,1718896446.5421958
-0.46,-0.54,0.45,1718896446.5431051
-0.41,-0.46,0.41,1718896446.5441048
-0.33,-0.34,0.61,1718896446.6092474
-0.26,-0.31,0.6,1718896446.610266
-0.32,-0.3,0.56,1718896446.610266
-0.35,-0.32,0.49,1718896446.610266
-0.36,-0.34,0.54,1718896446.6759646
-0.42,-0.34,0.47,1718896446.6769843
-0.41,-0.39,0.43,1718896446.6769843
-0.44,-0.35,0.47,1718896446.7425733
-0.43,-0.34,0.5,1718896446.7425733
-0.47,-0.32,0.52,1718896446.7435708
-0.44,-0.27,0.67,1718896446.7435708
-0.32,-0.22,0.61,1718896446.8092203
-0.27,-0.21,0.61,1718896446.8102398
-0.28,-0.18,0.52,1718896446.8102398
-0.34,-0.31,0.38,1718896446.8102398
-0.42,-0.23,0.41,1718896446.876033
-0.43,-0.28,0.44,1718896446.877034
-0.47,-0.29,0.41,1718896446.877034
-0.46,-0.32,0.46,1718896446.9420826
-0.57,-0.34,0.43,1718896446.9430833
-0.58,-0.31,0.44,1718896446.9430833
-0.57,-0.36,0.49,1718896446.944084
-0.44,-0.31,0.49,1718896447.0091605
-0.45,-0.29,0.49,1718896447.0091605
-0.39,-0.29,0.53,1718896447.0102332
