X,Y,Z,Timestamp
-0.05,0.28,0.45,1718105637.4402049
-0.08,0.28,0.42,1718105637.4411716
-0.0,0.33,0.37,1718105637.4411716
-0.04,0.28,0.4,1718105637.4411716
0.02,0.3,0.37,1718105637.4421232
0.1,0.31,0.38,1718105637.4421232
-0.01,0.34,0.31,1718105637.4421232
0.03,0.26,0.35,1718105637.44311
0.03,0.33,0.39,1718105637.44311
0.05,0.33,0.34,1718105637.44311
-0.01,0.35,0.39,1718105637.44411
0.05,0.32,0.41,1718105637.445191
-0.13,0.25,0.42,1718105637.445191
-0.13,0.31,0.36,1718105637.4462
0.03,0.31,0.33,1718105637.4462
0.03,0.32,0.42,1718105637.4462
0.05,0.27,0.41,1718105637.4471998
-0.07,0.26,0.33,1718105637.4471998
-0.07,0.27,0.31,1718105637.4491105
-0.15,0.23,0.31,1718105637.4491105
-0.1,0.33,0.44,1718105637.450161
0.04,0.35,0.39,1718105637.450161
0.04,0.29,0.36,1718105637.450161
-0.03,0.31,0.35,1718105637.451192
-0.12,0.25,0.33,1718105637.451192
-0.03,0.33,0.39,1718105637.4521997
-0.01,0.3,0.39,1718105637.4521997
-0.04,0.33,0.37,1718105637.4531915
-0.06,0.29,0.36,1718105637.4531915
-0.04,0.31,0.41,1718105637.4531915
-0.02,0.38,0.37,1718105637.4541109
-0.04,0.31,0.39,1718105637.4551098
-0.07,0.31,0.37,1718105637.4551098
-0.07,0.35,0.3,1718105637.4551098
-0.14,0.24,0.38,1718105637.4561102
-0.1,0.3,0.36,1718105637.4561102
-0.04,0.31,0.38,1718105637.4561102
-0.05,0.29,0.44,1718105637.4561102
-0.01,0.31,0.41,1718105637.4571428
-0.04,0.36,0.33,1718105637.4571428
-0.06,0.31,0.39,1718105637.4571428
-0.13,0.34,0.31,1718105637.4581127
0.01,0.39,0.37,1718105637.4581127
-0.21,0.29,0.39,1718105637.4581127
-0.23,0.29,0.37,1718105637.4591537
-0.08,0.35,0.4,1718105637.5255556
-0.07,0.33,0.38,1718105637.5264375
-0.08,0.3,0.37,1718105637.5266392
-0.09,0.31,0.4,1718105637.527178
-0.13,0.34,0.38,1718105637.5920584
-0.14,0.3,0.35,1718105637.5920584
-0.19,0.29,0.42,1718105637.5931597
-0.15,0.37,0.35,1718105637.5931597
-0.02,0.34,0.34,1718105637.658872
-0.09,0.33,0.43,1718105637.6598828
-0.11,0.26,0.36,1718105637.6608722
-0.33,0.18,0.26,1718105637.725611
-0.41,0.07,0.3,1718105637.7258246
-0.25,0.18,0.27,1718105637.7265992
-0.1,0.18,0.31,1718105637.7270935
0.02,0.18,0.27,1718105637.7920947
-0.03,0.2,0.3,1718105637.7920947
-0.09,0.18,0.29,1718105637.7931137
0.1,0.26,0.33,1718105637.7931137
0.11,0.22,0.36,1718105637.8586342
0.05,0.26,0.4,1718105637.8586342
0.15,0.23,0.41,1718105637.8596506
0.02,0.16,0.29,1718105637.8606472
-0.14,0.06,0.19,1718105637.9250479
-0.04,0.08,0.18,1718105637.9250479
-0.02,0.12,0.27,1718105637.926061
0.24,0.26,0.54,1718105637.926061
0.25,0.11,0.51,1718105637.9921033
0.2,0.08,0.44,1718105637.9921033
0.11,0.05,0.4,1718105637.9921033
0.15,0.05,0.52,1718105637.9931178
0.14,0.03,0.49,1718105638.058881
0.14,0.03,0.52,1718105638.058881
0.13,-0.03,0.61,1718105638.058881
0.14,-0.05,0.41,1718105638.0598915
0.14,-0.08,0.44,1718105638.1249697
0.18,-0.13,0.4,1718105638.1258824
0.15,-0.14,0.41,1718105638.1258824
0.3,-0.1,0.52,1718105638.1920311
0.38,-0.07,0.73,1718105638.1920311
0.26,-0.1,0.68,1718105638.1930306
0.24,-0.11,0.65,1718105638.1934187
0.16,-0.13,0.63,1718105638.258752
0.22,-0.18,0.56,1718105638.258752
0.24,-0.22,0.54,1718105638.2597604
0.4,-0.22,0.39,1718105638.2597604
0.38,-0.15,0.44,1718105638.3255954
0.21,-0.23,0.53,1718105638.3255954
-0.08,-0.22,0.75,1718105638.3266032
-0.02,-0.32,0.78,1718105638.3266032
0.1,-0.21,0.77,1718105638.391972
0.36,-0.2,0.72,1718105638.3923054
0.13,-0.22,0.63,1718105638.3933148
0.07,-0.24,0.58,1718105638.4582846
0.13,-0.19,0.64,1718105638.4582846
0.06,-0.2,0.71,1718105638.4592097
0.1,-0.18,0.69,1718105638.4592097
0.18,-0.13,0.82,1718105638.5253365
0.08,-0.18,0.75,1718105638.5253365
-0.21,-0.22,0.46,1718105638.5263376
-0.33,-0.15,0.33,1718105638.5263376
-0.31,-0.02,0.43,1718105638.5913062
-0.26,0.04,0.75,1718105638.592224
-0.25,0.08,0.8,1718105638.592224
-0.39,0.44,1.08,1718105638.6582298
-0.06,0.08,0.92,1718105638.6582298
-0.73,0.07,0.71,1718105638.6591313
0.11,-0.03,0.47,1718105638.6601286
-0.04,-0.21,0.1,1718105638.724573
-0.45,-0.15,0.12,1718105638.725573
-0.4,0.01,0.4,1718105638.725573
-0.46,0.2,0.77,1718105638.7265737
-0.46,0.25,0.8,1718105638.7916005
-0.66,0.19,0.82,1718105638.7916005
-0.9,0.07,1.0,1718105638.792602
-0.07,0.22,0.2,1718105638.792602
-0.22,0.29,0.33,1718105638.858429
-0.54,0.19,0.4,1718105638.8593056
-0.66,0.04,0.32,1718105638.8593056
-0.25,0.13,0.21,1718105638.9254172
0.12,0.34,0.39,1718105638.9254172
0.04,0.34,0.54,1718105638.9254172
0.06,0.41,0.61,1718105638.9264295
-0.08,0.33,0.51,1718105638.991912
-0.18,0.21,0.39,1718105638.991912
-0.19,0.23,0.21,1718105638.9929287
-0.09,0.23,0.41,1718105638.9929287
-0.11,0.25,0.25,1718105639.0587807
-0.01,0.18,0.16,1718105639.0587807
-0.12,0.16,0.12,1718105639.0587807
-0.28,0.14,0.19,1718105639.0597947
0.06,0.36,0.22,1718105639.1252716
