X,Y,Z,Timestamp
-0.24,0.13,0.64,1718105821.7318757
-0.21,0.16,0.64,1718105821.7328253
-0.21,0.11,0.33,1718105821.7328253
-0.27,0.09,0.4,1718105821.733878
-0.18,0.06,0.36,1718105821.733878
-0.24,0.07,0.37,1718105821.734847
-0.17,0.03,0.38,1718105821.734847
-0.2,0.09,0.43,1718105821.7358243
-0.17,0.12,0.41,1718105821.7368793
-0.15,0.11,0.43,1718105821.7368793
-0.22,0.15,0.45,1718105821.7368793
-0.23,0.1,0.42,1718105821.7379012
-0.26,0.11,0.48,1718105821.7379012
-0.27,0.12,0.42,1718105821.7379012
-0.27,0.08,0.42,1718105821.7388203
-0.18,0.13,0.42,1718105821.7388203
-0.2,0.13,0.43,1718105821.7388203
-0.25,0.12,0.53,1718105821.7388203
-0.17,0.17,0.49,1718105821.7398276
-0.2,0.19,0.5,1718105821.7398276
-0.18,0.2,0.49,1718105821.7398276
-0.25,0.12,0.56,1718105821.7409081
-0.2,0.15,0.54,1718105821.7419002
-0.19,0.18,0.55,1718105821.7439098
-0.22,0.21,0.53,1718105821.7449048
-0.22,0.19,0.54,1718105821.7449048
-0.23,0.13,0.54,1718105821.7449048
-0.25,0.16,0.45,1718105821.7458663
-0.2,0.1,0.51,1718105821.7458663
-0.2,0.17,0.53,1718105821.7458663
-0.28,0.19,0.53,1718105821.7458663
-0.23,0.12,0.49,1718105821.7468204
-0.2,0.12,0.47,1718105821.7468204
-0.26,0.16,0.52,1718105821.774884
-0.26,0.15,0.5,1718105821.774884
-0.27,0.17,0.54,1718105821.7762687
-0.21,0.16,0.46,1718105821.7762687
-0.26,0.14,0.54,1718105821.8419356
-0.21,0.18,0.49,1718105821.8429399
-0.2,0.13,0.48,1718105821.8439329
-0.16,0.14,0.46,1718105821.9092672
-0.2,0.17,0.52,1718105821.9092672
-0.23,0.13,0.53,1718105821.9102805
-0.2,0.18,0.52,1718105821.9102805
-0.26,0.18,0.48,1718105821.9749942
-0.2,0.09,0.52,1718105821.9759922
-0.18,0.18,0.46,1718105821.976992
-0.19,0.17,0.51,1718105821.976992
-0.2,0.16,0.54,1718105822.0417283
-0.22,0.13,0.5,1718105822.0427132
-0.18,0.18,0.45,1718105822.0437145
-0.27,0.15,0.53,1718105822.0437145
-0.22,0.18,0.52,1718105822.1088357
-0.22,0.2,0.57,1718105822.1098332
-0.22,0.14,0.49,1718105822.1098332
-0.22,0.18,0.49,1718105822.174642
-0.27,0.11,0.49,1718105822.175648
-0.2,0.11,0.54,1718105822.175648
-0.21,0.19,0.51,1718105822.1766522
-0.18,0.16,0.46,1718105822.2418444
-0.18,0.15,0.49,1718105822.2418444
-0.2,0.13,0.52,1718105822.2428558
-0.22,0.16,0.53,1718105822.2428558
-0.16,0.18,0.49,1718105822.3083723
-0.21,0.16,0.49,1718105822.309377
-0.26,0.15,0.52,1718105822.309377
-0.34,0.05,0.44,1718105822.309377
-0.3,0.11,0.5,1718105822.375029
-0.3,0.1,0.55,1718105822.3759496
-0.23,0.07,0.56,1718105822.3759496
-0.21,0.14,0.52,1718105822.376961
-0.21,0.19,0.46,1718105822.4424477
-0.13,0.22,0.52,1718105822.4424477
-0.1,0.21,0.49,1718105822.4424477
-0.11,0.23,0.47,1718105822.5089154
-0.13,0.18,0.5,1718105822.5089154
-0.09,0.21,0.48,1718105822.5099132
-0.1,0.19,0.51,1718105822.5099132
-0.1,0.21,0.5,1718105822.5753603
-0.1,0.17,0.44,1718105822.5753603
-0.12,0.16,0.43,1718105822.5764089
-0.16,0.21,0.42,1718105822.5764089
-0.24,0.15,0.43,1718105822.642141
-0.16,0.11,0.44,1718105822.642141
-0.16,0.11,0.49,1718105822.6431332
-0.14,0.13,0.49,1718105822.6431332
-0.11,0.06,0.4,1718105822.7087
-0.19,0.06,0.39,1718105822.7087
-0.16,0.04,0.35,1718105822.709707
-0.14,0.04,0.35,1718105822.7749379
-0.28,0.02,0.4,1718105822.7759364
-0.22,0.08,0.32,1718105822.7759364
-0.18,0.09,0.41,1718105822.7759364
-0.21,0.06,0.42,1718105822.8418622
-0.14,0.12,0.39,1718105822.8428597
-0.19,0.16,0.43,1718105822.8428597
-0.24,0.17,0.48,1718105822.8428597
-0.18,0.19,0.44,1718105822.9085627
-0.21,0.12,0.57,1718105822.9085627
-0.2,0.08,0.67,1718105822.9095588
-0.18,0.11,0.65,1718105822.9105585
-0.18,0.13,0.64,1718105822.975153
-0.13,0.1,0.59,1718105822.9761531
-0.14,0.07,0.61,1718105822.9771535
-0.2,0.1,0.6,1718105823.0415487
-0.23,0.08,0.6,1718105823.0425467
-0.2,0.08,0.49,1718105823.0425467
-0.13,0.15,0.49,1718105823.0425467
-0.08,0.15,0.5,1718105823.108832
-0.11,0.13,0.49,1718105823.108832
-0.09,0.1,0.52,1718105823.108832
-0.1,0.17,0.5,1718105823.1101806
-0.03,0.13,0.51,1718105823.1753373
-0.08,0.19,0.61,1718105823.1762516
-0.29,0.03,0.52,1718105823.1762516
-0.32,0.01,0.49,1718105823.1762516
-0.3,0.05,0.51,1718105823.2414806
-0.27,0.01,0.49,1718105823.2425668
-0.31,0.03,0.52,1718105823.2434773
-0.4,0.01,0.6,1718105823.308657
-0.39,0.06,0.54,1718105823.309535
-0.31,0.05,0.59,1718105823.309535
-0.28,0.05,0.55,1718105823.3105333
-0.36,0.09,0.57,1718105823.3761582
-0.32,0.08,0.6,1718105823.3769157
-0.29,0.1,0.52,1718105823.3769157
-0.28,0.03,0.54,1718105823.377929
-0.23,0.05,0.52,1718105823.4417782
-0.21,0.08,0.59,1718105823.4427898
-0.22,0.07,0.58,1718105823.4427898
-0.18,0.11,0.66,1718105823.44326
-0.23,0.14,0.7,1718105823.5089633
-0.28,0.15,0.62,1718105823.5089633
