X,Y,Z,Timestamp
-0.38,0.11,0.4,1718105936.6830294
-0.39,0.13,0.38,1718105936.68803
-0.41,0.16,0.45,1718105936.68803
-0.43,0.1,0.48,1718105936.6890292
-0.35,0.22,0.47,1718105936.6900296
-0.36,0.18,0.52,1718105936.6900296
-0.32,0.24,0.44,1718105936.6900296
-0.35,0.2,0.45,1718105936.691435
-0.39,0.18,0.39,1718105936.691435
-0.38,0.17,0.44,1718105936.6924422
-0.36,0.18,0.41,1718105936.6924422
-0.38,0.18,0.43,1718105936.6924422
-0.35,0.17,0.42,1718105936.69344
-0.35,0.23,0.44,1718105936.69344
-0.36,0.17,0.49,1718105936.69344
-0.31,0.21,0.42,1718105936.6944408
-0.34,0.16,0.45,1718105936.6944408
-0.36,0.22,0.46,1718105936.6944408
-0.41,0.18,0.47,1718105936.6954393
-0.42,0.22,0.46,1718105936.6954393
-0.4,0.17,0.42,1718105936.6954393
-0.4,0.15,0.44,1718105936.7075305
-0.32,0.16,0.44,1718105936.7085376
-0.34,0.17,0.44,1718105936.7085376
-0.36,0.21,0.41,1718105936.7085376
-0.42,0.19,0.43,1718105936.7746549
-0.4,0.19,0.51,1718105936.7746549
-0.38,0.21,0.41,1718105936.7761774
-0.4,0.14,0.45,1718105936.7776816
-0.35,0.16,0.47,1718105936.841467
-0.39,0.17,0.46,1718105936.8424838
-0.42,0.16,0.43,1718105936.843482
-0.39,0.18,0.43,1718105936.9076269
-0.39,0.11,0.44,1718105936.9086268
-0.36,0.13,0.35,1718105936.9086268
-0.38,0.1,0.43,1718105936.909627
-0.31,0.1,0.44,1718105936.9748056
-0.33,0.12,0.37,1718105936.9758208
-0.37,0.1,0.37,1718105936.97682
-0.4,0.07,0.36,1718105936.9778206
-0.4,0.05,0.34,1718105937.0414805
-0.41,0.02,0.33,1718105937.0425
-0.39,0.04,0.34,1718105937.0425
-0.43,0.05,0.36,1718105937.0434933
-0.37,0.05,0.34,1718105937.108136
-0.37,0.08,0.42,1718105937.108136
-0.36,0.13,0.45,1718105937.1091478
-0.39,0.1,0.37,1718105937.1091478
-0.47,0.04,0.33,1718105937.1748073
-0.16,0.28,0.57,1718105937.17582
-0.21,0.3,0.58,1718105937.17582
-0.16,0.27,0.6,1718105937.2414746
-0.17,0.34,0.61,1718105937.2414746
-0.21,0.31,0.62,1718105937.2424881
-0.23,0.25,0.63,1718105937.2424881
-0.25,0.23,0.65,1718105937.3077116
-0.25,0.18,0.61,1718105937.3086925
-0.27,0.17,0.64,1718105937.3086925
-0.22,0.21,0.57,1718105937.3096948
-0.21,0.17,0.59,1718105937.3748465
-0.18,0.22,0.65,1718105937.3758624
-0.25,0.18,0.59,1718105937.3758624
-0.22,0.17,0.59,1718105937.376543
-0.14,0.16,0.59,1718105937.4414833
-0.22,0.18,0.59,1718105937.4414833
-0.36,0.08,0.5,1718105937.442497
-0.41,0.02,0.44,1718105937.5081542
-0.42,0.03,0.44,1718105937.5081542
-0.4,0.07,0.49,1718105937.5091674
-0.38,0.05,0.5,1718105937.5091674
-0.42,0.07,0.53,1718105937.5747762
-0.44,0.01,0.53,1718105937.5747762
-0.39,0.07,0.49,1718105937.5757892
-0.41,0.11,0.52,1718105937.5757892
-0.47,0.07,0.49,1718105937.6415095
-0.47,0.03,0.49,1718105937.6425228
-0.43,0.09,0.48,1718105937.6425228
-0.44,0.08,0.47,1718105937.6435277
-0.47,0.08,0.45,1718105937.707097
-0.46,0.1,0.48,1718105937.708093
-0.42,0.1,0.54,1718105937.7091317
-0.36,0.22,0.57,1718105937.7742636
-0.34,0.19,0.64,1718105937.7742636
-0.33,0.2,0.6,1718105937.7753406
-0.43,0.14,0.57,1718105937.7753406
-0.36,0.13,0.54,1718105937.8411508
-0.39,0.13,0.53,1718105937.8411508
-0.34,0.2,0.51,1718105937.8411508
-0.33,0.19,0.44,1718105937.8421488
-0.29,0.13,0.48,1718105937.9074552
-0.25,0.17,0.43,1718105937.9083095
-0.2,0.16,0.4,1718105937.9083095
-0.28,0.12,0.41,1718105937.9083095
-0.25,0.13,0.39,1718105937.9748254
