X,Y,Z,Timestamp
-0.28,0.4,0.46,1718105562.48725
-0.23,0.31,0.4,1718105562.48725
-0.28,0.36,0.35,1718105562.48725
-0.31,0.31,0.33,1718105562.488248
-0.35,0.34,0.35,1718105562.488248
-0.25,0.32,0.39,1718105562.488248
-0.25,0.34,0.34,1718105562.4892483
-0.29,0.33,0.34,1718105562.4892483
-0.23,0.38,0.38,1718105562.4892483
-0.22,0.38,0.47,1718105562.4892483
-0.19,0.39,0.42,1718105562.4902635
-0.28,0.42,0.42,1718105562.4902635
-0.25,0.34,0.41,1718105562.4912808
-0.28,0.35,0.39,1718105562.4912808
-0.28,0.39,0.39,1718105562.4912808
-0.23,0.37,0.41,1718105562.492332
-0.25,0.31,0.4,1718105562.492332
-0.23,0.32,0.37,1718105562.4933288
-0.2,0.33,0.39,1718105562.4933288
-0.22,0.28,0.4,1718105562.494344
-0.28,0.31,0.31,1718105562.494344
-0.21,0.3,0.39,1718105562.494344
-0.19,0.28,0.33,1718105562.495337
-0.2,0.31,0.4,1718105562.495337
-0.21,0.33,0.41,1718105562.4962497
-0.24,0.33,0.4,1718105562.4962497
-0.29,0.29,0.35,1718105562.4962497
-0.28,0.27,0.35,1718105562.4972515
-0.21,0.34,0.4,1718105562.4972515
-0.21,0.34,0.36,1718105562.4982488
-0.21,0.34,0.37,1718105562.4982488
-0.24,0.31,0.4,1718105562.4992523
-0.22,0.32,0.37,1718105562.4992523
-0.22,0.35,0.34,1718105562.5252357
-0.2,0.32,0.34,1718105562.526155
-0.25,0.31,0.32,1718105562.526155
-0.2,0.32,0.39,1718105562.5921957
-0.23,0.38,0.4,1718105562.5921957
-0.28,0.29,0.38,1718105562.593194
-0.23,0.28,0.34,1718105562.5940127
-0.2,0.34,0.37,1718105562.6590436
-0.19,0.38,0.37,1718105562.659969
-0.25,0.33,0.43,1718105562.6609643
-0.22,0.36,0.38,1718105562.6619604
-0.18,0.38,0.41,1718105562.7249625
-0.23,0.37,0.3,1718105562.725904
-0.21,0.33,0.37,1718105562.7269046
-0.07,0.4,0.31,1718105562.7269046
-0.07,0.4,0.28,1718105562.7918375
-0.02,0.41,0.34,1718105562.7928133
0.11,0.39,0.24,1718105562.7938068
0.06,0.41,0.3,1718105562.7943144
0.04,0.34,0.24,1718105562.859327
0.07,0.38,0.21,1718105562.860207
0.05,0.31,0.22,1718105562.8612006
-0.14,0.24,0.25,1718105562.8622413
-0.29,0.23,0.26,1718105562.9255135
-0.34,0.13,0.28,1718105562.9263985
-0.36,0.13,0.33,1718105562.9263985
-0.28,0.24,0.49,1718105562.9919598
-0.27,0.23,0.52,1718105562.993962
-0.31,0.17,0.57,1718105562.9960291
-0.39,0.1,0.43,1718105562.9970372
-0.44,0.13,0.48,1718105563.0589743
-0.34,0.03,0.46,1718105563.0599794
-0.25,0.08,0.65,1718105563.0599794
-0.28,0.08,0.52,1718105563.0599794
-0.25,0.02,0.44,1718105563.1248126
-0.32,-0.1,0.3,1718105563.1261077
-0.34,-0.2,0.29,1718105563.1261077
-0.44,-0.13,0.64,1718105563.1913414
-0.53,-0.09,0.8,1718105563.1923413
-0.3,0.01,0.73,1718105563.1923413
-0.28,0.03,0.79,1718105563.1923413
-0.39,-0.01,0.91,1718105563.258418
-0.3,-0.05,0.7,1718105563.2594135
-0.14,-0.02,0.67,1718105563.2594135
0.02,0.03,0.72,1718105563.2604134
0.09,0.11,0.71,1718105563.3254237
-0.1,-0.03,0.67,1718105563.3254237
-0.06,-0.03,0.7,1718105563.3264186
-0.0,-0.04,0.71,1718105563.3919773
0.03,-0.04,0.72,1718105563.3919773
0.16,-0.03,0.73,1718105563.3929799
0.17,-0.01,0.76,1718105563.3929799
0.08,-0.02,0.9,1718105563.4582028
-0.01,-0.05,0.88,1718105563.4592047
0.08,-0.03,0.8,1718105563.4602373
0.1,-0.11,0.64,1718105563.4602373
-0.04,-0.19,0.58,1718105563.5251997
0.2,-0.09,0.46,1718105563.526192
0.45,0.05,0.54,1718105563.526192
0.33,0.09,0.68,1718105563.5271943
0.11,-0.02,0.78,1718105563.5922503
0.17,0.08,0.36,1718105563.593269
0.13,0.08,0.23,1718105563.593269
0.08,0.14,0.19,1718105563.5942624
0.17,0.18,0.18,1718105563.659265
0.19,0.3,0.41,1718105563.6601763
0.02,0.18,0.47,1718105563.6601763
-0.11,0.18,0.29,1718105563.6611743
-0.0,0.21,0.37,1718105563.7250319
0.04,0.31,0.44,1718105563.726032
0.08,0.3,0.38,1718105563.726032
0.03,0.23,0.24,1718105563.7270384
0.03,0.29,0.29,1718105563.7920628
0.1,0.25,0.37,1718105563.7930632
0.08,0.26,0.38,1718105563.7930632
0.08,0.28,0.18,1718105563.7930632
0.2,0.28,0.28,1718105563.8582923
0.14,0.34,0.25,1718105563.8592987
0.09,0.28,0.3,1718105563.8592987
-0.02,0.36,0.25,1718105563.8603003
0.18,0.4,0.21,1718105563.9262123
