X,Y,Z,Timestamp
-0.24,0.1,0.44,1718105736.5557754
-0.16,0.17,0.36,1718105736.5567775
-0.28,0.18,0.4,1718105736.5567775
-0.24,0.18,0.43,1718105736.557775
-0.21,0.18,0.36,1718105736.557775
-0.2,0.19,0.34,1718105736.5587761
-0.14,0.18,0.41,1718105736.5587761
-0.17,0.14,0.39,1718105736.5599294
-0.27,0.18,0.39,1718105736.5599294
-0.23,0.2,0.44,1718105736.5609343
-0.22,0.23,0.51,1718105736.5609343
-0.21,0.28,0.5,1718105736.5624332
-0.23,0.21,0.49,1718105736.5625367
-0.19,0.22,0.53,1718105736.5625367
-0.25,0.25,0.52,1718105736.563546
-0.22,0.24,0.54,1718105736.563546
-0.18,0.26,0.52,1718105736.563546
-0.25,0.23,0.51,1718105736.5645454
-0.23,0.26,0.51,1718105736.5645454
-0.22,0.23,0.52,1718105736.5645454
-0.21,0.23,0.48,1718105736.5655427
-0.19,0.15,0.53,1718105736.5655427
-0.2,0.23,0.47,1718105736.576442
-0.18,0.24,0.45,1718105736.576442
-0.18,0.18,0.48,1718105736.576442
-0.18,0.25,0.49,1718105736.6433647
-0.18,0.21,0.41,1718105736.6433647
-0.24,0.18,0.47,1718105736.6443772
-0.16,0.18,0.42,1718105736.6443772
-0.14,0.19,0.51,1718105736.7100172
-0.21,0.22,0.48,1718105736.7100172
-0.23,0.16,0.44,1718105736.7108188
-0.17,0.24,0.48,1718105736.7108188
-0.18,0.24,0.44,1718105736.775642
-0.18,0.18,0.43,1718105736.7766428
-0.13,0.22,0.42,1718105736.7766428
-0.18,0.24,0.44,1718105736.7776432
-0.1,0.28,0.44,1718105736.8432994
-0.09,0.25,0.44,1718105736.8432994
-0.13,0.27,0.44,1718105736.8443127
-0.23,0.23,0.47,1718105736.9100318
-0.24,0.23,0.51,1718105736.9100318
-0.28,0.17,0.45,1718105736.9100318
-0.27,0.14,0.43,1718105736.9110441
-0.31,0.17,0.42,1718105736.9759846
-0.39,0.13,0.41,1718105736.9759846
-0.34,0.1,0.42,1718105736.977003
-0.34,0.1,0.49,1718105736.977003
-0.42,0.09,0.54,1718105737.0433664
-0.37,0.07,0.52,1718105737.0433664
-0.42,0.1,0.55,1718105737.0443785
-0.43,0.04,0.52,1718105737.0443785
-0.45,0.04,0.54,1718105737.1100335
-0.39,0.08,0.56,1718105737.1100335
-0.44,0.14,0.53,1718105737.1100335
-0.4,0.08,0.49,1718105737.1110466
-0.24,0.12,0.46,1718105737.176365
-0.23,0.15,0.42,1718105737.176365
-0.18,0.1,0.36,1718105737.1773646
-0.23,0.05,0.34,1718105737.2430577
-0.23,0.05,0.34,1718105737.2430577
-0.17,0.04,0.38,1718105737.244001
-0.17,0.13,0.38,1718105737.244001
-0.23,0.13,0.4,1718105737.3098483
-0.26,0.11,0.35,1718105737.3101778
-0.18,0.16,0.36,1718105737.3106108
-0.18,0.23,0.4,1718105737.3106108
-0.15,0.16,0.47,1718105737.3768196
-0.2,0.23,0.46,1718105737.3768196
-0.2,0.22,0.54,1718105737.3778281
-0.16,0.19,0.48,1718105737.3778281
-0.22,0.23,0.57,1718105737.4429667
-0.23,0.1,0.62,1718105737.4434934
-0.16,0.21,0.65,1718105737.4441469
-0.25,0.08,0.56,1718105737.5091636
-0.24,0.14,0.56,1718105737.510011
-0.26,0.12,0.58,1718105737.5110092
-0.29,0.08,0.57,1718105737.5110092
-0.34,0.08,0.52,1718105737.575654
-0.32,0.08,0.55,1718105737.5765657
-0.3,0.09,0.51,1718105737.5765657
-0.31,0.08,0.43,1718105737.5775645
-0.24,0.12,0.53,1718105737.6428645
-0.25,0.08,0.5,1718105737.6428645
-0.28,0.09,0.49,1718105737.6438627
-0.28,0.13,0.48,1718105737.6438627
-0.33,0.03,0.51,1718105737.7096188
-0.31,0.04,0.5,1718105737.7096188
-0.03,0.25,0.53,1718105737.7096188
0.03,0.24,0.46,1718105737.7759297
-0.01,0.21,0.45,1718105737.7819295
-0.08,0.2,0.44,1718105737.78293
-0.06,0.2,0.39,1718105737.78293
-0.13,0.18,0.49,1718105737.8425686
-0.07,0.15,0.43,1718105737.8435702
-0.1,0.12,0.49,1718105737.8435702
-0.18,0.18,0.44,1718105737.8435702
-0.13,0.18,0.49,1718105737.9101627
-0.15,0.14,0.48,1718105737.910476
-0.17,0.22,0.48,1718105737.910476
-0.18,0.2,0.52,1718105737.9114845
-0.1,0.18,0.54,1718105737.9764097
-0.21,0.27,0.58,1718105737.9773278
-0.17,0.24,0.58,1718105737.9773278
-0.1,0.23,0.53,1718105737.978327
-0.18,0.25,0.54,1718105738.0434978
-0.19,0.17,0.56,1718105738.0438933
-0.16,0.22,0.53,1718105738.0438933
-0.2,0.21,0.51,1718105738.1096675
-0.24,0.13,0.5,1718105738.1096675
-0.23,0.14,0.52,1718105738.1105344
-0.19,0.15,0.48,1718105738.1105344
-0.2,0.13,0.41,1718105738.1768234
-0.21,0.1,0.39,1718105738.1771014
-0.19,0.1,0.41,1718105738.1777613
-0.19,0.09,0.33,1718105738.1781645
-0.22,0.16,0.31,1718105738.2427819
