X,Y,Z,Timestamp
-0.35,0.04,0.35,1718105899.2256927
-0.36,0.09,0.33,1718105899.2266974
-0.38,0.16,0.35,1718105899.2266974
-0.42,0.13,0.34,1718105899.2266974
-0.36,0.12,0.38,1718105899.2276955
-0.44,0.17,0.41,1718105899.2276955
-0.42,0.18,0.42,1718105899.228696
-0.44,0.16,0.39,1718105899.228696
-0.43,0.14,0.45,1718105899.230016
-0.45,0.13,0.42,1718105899.230016
-0.48,0.18,0.42,1718105899.2310221
-0.44,0.15,0.4,1718105899.2310221
-0.41,0.19,0.38,1718105899.2321055
-0.38,0.14,0.41,1718105899.2321055
-0.41,0.18,0.41,1718105899.2328382
-0.43,0.2,0.48,1718105899.2332287
-0.44,0.21,0.42,1718105899.2332287
-0.48,0.18,0.43,1718105899.2342339
-0.47,0.13,0.39,1718105899.2342339
-0.46,0.13,0.45,1718105899.2342339
-0.46,0.17,0.4,1718105899.235237
-0.44,0.15,0.4,1718105899.235237
-0.41,0.2,0.49,1718105899.235237
-0.44,0.16,0.45,1718105899.236237
-0.4,0.14,0.49,1718105899.236237
-0.44,0.18,0.47,1718105899.236237
-0.4,0.12,0.45,1718105899.237236
-0.43,0.11,0.39,1718105899.237236
-0.47,0.15,0.38,1718105899.237236
-0.47,0.18,0.45,1718105899.2382364
-0.41,0.18,0.48,1718105899.2382364
-0.46,0.16,0.45,1718105899.2382364
-0.42,0.15,0.4,1718105899.2392352
-0.44,0.19,0.39,1718105899.2392352
-0.43,0.19,0.39,1718105899.2392352
-0.39,0.13,0.42,1718105899.2392352
-0.45,0.14,0.39,1718105899.240235
-0.43,0.18,0.51,1718105899.240235
-0.44,0.15,0.44,1718105899.240235
-0.45,0.14,0.47,1718105899.2412372
-0.4,0.17,0.47,1718105899.2412372
-0.41,0.14,0.48,1718105899.2422357
-0.39,0.17,0.44,1718105899.2422357
-0.45,0.13,0.43,1718105899.2422357
-0.38,0.21,0.44,1718105899.3087296
-0.44,0.15,0.39,1718105899.3089275
-0.38,0.16,0.44,1718105899.3096802
-0.43,0.13,0.44,1718105899.3103092
-0.42,0.18,0.4,1718105899.3752565
-0.38,0.2,0.36,1718105899.3752565
-0.37,0.16,0.44,1718105899.3762674
-0.36,0.11,0.42,1718105899.3762674
-0.39,0.18,0.41,1718105899.44197
-0.28,0.11,0.41,1718105899.44197
-0.31,0.14,0.42,1718105899.4429824
-0.39,0.1,0.34,1718105899.4429824
-0.33,0.13,0.31,1718105899.5085747
-0.36,0.14,0.38,1718105899.5085747
-0.4,0.09,0.39,1718105899.5095873
-0.41,0.13,0.37,1718105899.57474
-0.39,0.1,0.35,1718105899.5756068
-0.36,0.11,0.33,1718105899.576608
-0.36,0.18,0.36,1718105899.5776076
-0.34,0.16,0.33,1718105899.642139
-0.29,0.15,0.41,1718105899.6424732
-0.49,0.03,0.52,1718105899.6444983
-0.52,0.11,0.44,1718105899.6444983
-0.46,0.1,0.5,1718105899.7079377
-0.54,0.06,0.49,1718105899.7079377
-0.5,0.08,0.46,1718105899.7089257
-0.49,0.1,0.49,1718105899.7089257
-0.51,0.11,0.52,1718105899.775086
-0.52,0.08,0.57,1718105899.7754266
-0.43,0.17,0.59,1718105899.7760682
-0.43,0.11,0.55,1718105899.7760682
-0.55,0.11,0.6,1718105899.8421261
-0.51,0.15,0.54,1718105899.8425505
-0.52,0.08,0.58,1718105899.8430052
-0.53,0.07,0.59,1718105899.908549
-0.56,0.09,0.56,1718105899.908549
-0.5,0.1,0.59,1718105899.908549
-0.44,0.02,0.49,1718105899.9095447
-0.41,0.03,0.54,1718105899.9751725
-0.4,0.03,0.54,1718105899.9751725
-0.46,-0.01,0.45,1718105899.9761255
-0.48,0.04,0.44,1718105899.9761255
-0.48,0.05,0.49,1718105900.0412886
-0.47,0.05,0.42,1718105900.042215
-0.33,0.1,0.49,1718105900.042215
-0.32,0.13,0.56,1718105900.0432148
-0.33,0.13,0.48,1718105900.1087515
-0.38,0.12,0.45,1718105900.1090815
-0.33,0.11,0.47,1718105900.1090815
-0.39,0.08,0.46,1718105900.1740196
-0.27,0.13,0.52,1718105900.1748967
-0.26,0.17,0.5,1718105900.1758966
-0.29,0.18,0.51,1718105900.1758966
-0.34,0.16,0.49,1718105900.241385
-0.4,0.18,0.51,1718105900.241385
-0.39,0.14,0.46,1718105900.2423925
-0.35,0.17,0.52,1718105900.2423925
-0.35,0.16,0.59,1718105900.3074064
-0.44,0.2,0.54,1718105900.3084033
-0.39,0.19,0.52,1718105900.3084033
-0.39,0.18,0.56,1718105900.309363
-0.38,0.18,0.61,1718105900.3754094
-0.42,0.2,0.64,1718105900.3758087
-0.44,0.18,0.62,1718105900.376238
-0.36,0.21,0.58,1718105900.4413524
-0.38,0.23,0.66,1718105900.4422703
-0.45,0.21,0.64,1718105900.4422703
-0.44,0.16,0.59,1718105900.4422703
-0.41,0.21,0.59,1718105900.508395
-0.52,0.04,0.44,1718105900.508395
-0.5,-0.01,0.44,1718105900.50935
-0.48,0.03,0.41,1718105900.50935
-0.47,-0.03,0.43,1718105900.574768
