X,Y,Z,Timestamp
-0.39,-0.1,0.38,1718106071.5072708
-0.39,-0.11,0.36,1718106071.5082705
-0.42,-0.1,0.47,1718106071.5082705
-0.39,-0.07,0.47,1718106071.5092719
-0.39,-0.09,0.51,1718106071.5103524
-0.42,-0.03,0.45,1718106071.5103524
-0.38,-0.05,0.44,1718106071.5112722
-0.39,-0.07,0.4,1718106071.5112722
-0.37,-0.03,0.5,1718106071.5122707
-0.37,0.07,0.53,1718106071.5122707
-0.32,-0.01,0.62,1718106071.5122707
-0.36,0.03,0.47,1718106071.513344
-0.39,-0.03,0.59,1718106071.513344
-0.31,0.01,0.63,1718106071.5143495
-0.36,0.06,0.53,1718106071.5143495
-0.38,-0.03,0.5,1718106071.515357
-0.39,0.04,0.48,1718106071.515357
-0.4,0.05,0.49,1718106071.5163486
-0.35,-0.04,0.52,1718106071.5172703
-0.34,0.03,0.53,1718106071.5172703
-0.3,-0.02,0.47,1718106071.5172703
-0.33,-0.03,0.55,1718106071.5172703
-0.4,-0.0,0.6,1718106071.5183036
-0.41,-0.01,0.54,1718106071.5183036
-0.37,0.01,0.46,1718106071.5183036
-0.31,0.01,0.51,1718106071.519265
-0.34,-0.02,0.57,1718106071.519265
-0.37,0.02,0.61,1718106071.519265
-0.34,0.07,0.58,1718106071.519265
-0.37,0.03,0.54,1718106071.5203216
-0.37,0.02,0.55,1718106071.5203216
-0.37,0.05,0.54,1718106071.5203216
-0.39,-0.0,0.51,1718106071.5212672
-0.36,-0.0,0.53,1718106071.5212672
-0.36,0.07,0.5,1718106071.5212672
-0.41,-0.0,0.51,1718106071.5734158
-0.33,0.04,0.52,1718106071.5734158
-0.38,-0.06,0.49,1718106071.574425
-0.41,-0.04,0.53,1718106071.5754247
-0.39,-0.0,0.53,1718106071.6396477
-0.34,0.02,0.49,1718106071.6406665
-0.39,0.08,0.5,1718106071.6416643
-0.35,0.04,0.52,1718106071.7059426
-0.39,-0.0,0.57,1718106071.7078578
-0.32,0.07,0.52,1718106071.7078578
-0.31,0.04,0.61,1718106071.7088563
-0.34,0.03,0.51,1718106071.773161
-0.4,-0.02,0.47,1718106071.773161
-0.38,0.08,0.44,1718106071.7741704
-0.39,0.08,0.49,1718106071.775172
-0.42,0.03,0.52,1718106071.839834
-0.39,0.02,0.54,1718106071.840392
-0.39,0.01,0.56,1718106071.8414116
-0.39,-0.02,0.52,1718106071.9066656
-0.42,0.09,0.59,1718106071.9066656
-0.33,0.08,0.5,1718106071.9076662
-0.41,0.08,0.6,1718106071.9076662
-0.49,-0.01,0.31,1718106071.9730182
-0.41,0.04,0.22,1718106071.974033
-0.35,0.1,0.21,1718106071.9750326
-0.42,-0.04,0.11,1718106071.9760318
-0.59,-0.16,-0.07,1718106072.0393064
-0.57,-0.16,-0.16,1718106072.0403118
-0.5,-0.28,-0.46,1718106072.0403118
-0.6,-0.52,-0.59,1718106072.1060781
-0.45,-0.6,-0.38,1718106072.107085
-0.49,-1.1,-0.37,1718106072.107085
-0.5,-1.57,-0.28,1718106072.1080873
-0.42,-1.88,0.12,1718106072.1730175
-0.12,-1.78,1.0,1718106072.1740198
0.18,-0.58,2.4,1718106072.1740198
-0.1,-0.29,1.49,1718106072.2396753
0.24,-0.7,1.16,1718106072.240591
0.14,-1.29,1.37,1718106072.240591
-0.13,-1.59,0.97,1718106072.2416854
-0.54,-1.77,-0.02,1718106072.3060818
-0.93,-1.5,-1.31,1718106072.3070095
-1.11,-1.01,-1.7,1718106072.3070095
-0.39,-0.44,-1.06,1718106072.3731
-0.34,-0.16,-0.33,1718106072.3740911
-0.51,-0.44,-0.42,1718106072.3740911
-0.56,-0.59,-0.56,1718106072.3740911
-0.61,-1.39,-1.05,1718106072.4398751
-0.34,-0.55,0.52,1718106072.4398751
-0.34,-0.58,0.48,1718106072.4408877
-0.43,-0.49,0.32,1718106072.5060382
-0.39,-0.49,0.46,1718106072.5070357
-0.35,-0.5,0.48,1718106072.5070357
-0.28,-0.4,0.53,1718106072.5080388
-0.31,-0.49,0.69,1718106072.5732982
-0.26,-0.45,0.69,1718106072.5732982
-0.23,-0.35,0.79,1718106072.5742972
-0.29,-0.36,0.82,1718106072.6398587
-0.23,-0.39,0.87,1718106072.6398587
-0.24,-0.38,0.66,1718106072.6408694
-0.27,-0.49,0.48,1718106072.6414094
-0.34,-0.49,0.49,1718106072.7068996
