X,Y,Z,Timestamp
-0.25,-0.06,0.52,1718106014.878884
-0.28,-0.13,0.54,1718106014.8798928
-0.29,0.02,0.62,1718106014.8798928
-0.25,-0.06,0.59,1718106014.881337
-0.24,-0.05,0.51,1718106014.881337
-0.3,-0.0,0.49,1718106014.8823447
-0.24,0.03,0.45,1718106014.8823447
-0.27,0.01,0.49,1718106014.8837433
-0.27,-0.03,0.52,1718106014.8837433
-0.36,-0.09,0.44,1718106014.8847497
-0.3,-0.03,0.52,1718106014.8847497
-0.29,0.01,0.46,1718106014.8857508
-0.27,-0.06,0.57,1718106014.8857508
-0.31,0.01,0.58,1718106014.8857508
-0.26,-0.01,0.57,1718106014.8867502
-0.2,-0.07,0.57,1718106014.8867502
-0.25,-0.02,0.65,1718106014.8867502
-0.21,0.07,0.58,1718106014.8867502
-0.28,0.03,0.54,1718106014.887748
-0.26,0.07,0.55,1718106014.887748
-0.34,-0.03,0.47,1718106014.887748
-0.32,-0.01,0.47,1718106014.887748
-0.31,0.03,0.47,1718106014.8887477
-0.3,0.07,0.52,1718106014.8887477
-0.25,0.1,0.63,1718106014.8897502
-0.23,0.14,0.68,1718106014.8897502
-0.2,0.13,0.7,1718106014.8897502
-0.23,0.1,0.63,1718106014.8897502
-0.3,0.02,0.51,1718106014.89075
-0.46,0.03,0.49,1718106014.89075
-0.49,-0.04,0.43,1718106014.89075
-0.44,0.08,0.49,1718106014.8917503
-0.45,0.03,0.38,1718106014.8917503
-0.44,0.01,0.38,1718106014.8917503
-0.46,0.08,0.32,1718106014.8927488
-0.38,0.13,0.44,1718106014.8927488
-0.44,0.16,0.55,1718106014.8927488
-0.43,0.11,0.52,1718106014.8937504
-0.39,0.07,0.49,1718106014.8937504
-0.34,0.13,0.43,1718106014.8937504
-0.34,0.08,0.39,1718106014.8947484
-0.38,0.16,0.38,1718106014.8947484
-0.34,0.14,0.41,1718106014.8947484
-0.34,0.18,0.55,1718106014.8957508
-0.37,0.19,0.57,1718106014.8961112
-0.44,0.14,0.52,1718106014.896574
-0.4,0.16,0.43,1718106014.896574
-0.31,0.16,0.44,1718106014.906916
-0.38,0.11,0.4,1718106014.906916
-0.41,0.18,0.38,1718106014.9078982
-0.39,0.12,0.44,1718106014.9078982
-0.31,0.18,0.44,1718106014.9743178
-0.36,0.16,0.49,1718106014.975179
-0.43,0.13,0.43,1718106014.9772024
-0.39,0.17,0.46,1718106014.978203
-0.36,0.15,0.48,1718106015.0401459
-0.33,0.23,0.43,1718106015.0410554
-0.36,0.13,0.39,1718106015.0410554
-0.39,0.17,0.46,1718106015.1075711
-0.44,0.18,0.46,1718106015.1075711
-0.37,0.16,0.41,1718106015.1085863
-0.39,0.15,0.44,1718106015.1085863
-0.42,0.15,0.49,1718106015.1741097
-0.41,0.18,0.5,1718106015.1741097
-0.4,0.11,0.44,1718106015.1751275
-0.41,0.13,0.46,1718106015.1751275
-0.46,0.08,0.46,1718106015.2409568
-0.53,0.1,0.41,1718106015.2409568
-0.4,0.19,0.54,1718106015.2419698
-0.46,0.11,0.54,1718106015.2419698
-0.49,0.09,0.44,1718106015.307557
-0.39,0.16,0.39,1718106015.307557
-0.46,0.11,0.49,1718106015.3085816
-0.59,0.11,0.49,1718106015.3732448
-0.78,0.05,0.5,1718106015.37425
-0.75,-0.03,0.44,1718106015.37425
-0.62,-0.04,0.31,1718106015.37425
-0.48,0.03,0.31,1718106015.44048
-0.32,0.11,0.26,1718106015.44048
-0.04,0.3,0.86,1718106015.44048
-0.05,0.26,0.89,1718106015.4414449
0.03,0.22,0.75,1718106015.5075817
0.02,0.22,0.64,1718106015.5075817
0.02,0.18,0.53,1718106015.508593
0.08,0.18,0.49,1718106015.508593
0.03,0.13,0.46,1718106015.5737646
0.03,0.13,0.58,1718106015.5737646
-0.12,0.11,0.63,1718106015.5746872
-0.2,0.06,0.6,1718106015.5746872
-0.33,0.03,0.66,1718106015.6406305
-0.36,0.1,0.67,1718106015.6410677
-0.26,0.11,0.59,1718106015.6420782
-0.14,0.12,0.58,1718106015.7073133
-0.07,0.13,0.56,1718106015.7073133
-0.02,0.21,0.5,1718106015.7083147
0.04,0.17,0.49,1718106015.7083147
-0.52,-0.06,0.42,1718106015.7735076
-0.55,-0.04,0.41,1718106015.7744346
-0.64,-0.08,0.39,1718106015.7744346
-0.67,-0.09,0.48,1718106015.7754326
-0.63,-0.04,0.54,1718106015.8407583
-0.62,-0.02,0.59,1718106015.8407583
-0.53,0.02,0.57,1718106015.8417468
-0.52,-0.02,0.45,1718106015.9077199
-0.5,-0.01,0.41,1718106015.9079418
-0.66,-0.08,0.44,1718106015.9079418
-0.64,-0.12,0.43,1718106015.9089515
-0.66,-0.13,0.45,1718106015.9738576
-0.75,-0.15,0.5,1718106015.974804
-0.69,-0.1,0.58,1718106015.974804
-0.1,0.14,0.64,1718106015.9758043
-0.09,0.09,0.54,1718106016.0405777
-0.13,0.18,0.54,1718106016.0405777
-0.22,0.1,0.51,1718106016.0415611
-0.25,0.08,0.48,1718106016.1072533
