X,Y,Z,Timestamp
-0.05,0.45,0.44,1718110542.2099233
-0.21,0.29,0.32,1718110542.210821
-0.16,0.32,0.41,1718110542.210821
-0.19,0.31,0.41,1718110542.211824
-0.18,0.25,0.37,1718110542.211824
-0.14,0.39,0.36,1718110542.211824
-0.03,0.44,0.64,1718110542.2128215
-0.16,0.39,0.46,1718110542.2128215
-0.13,0.41,0.59,1718110542.2138212
-0.18,0.31,0.37,1718110542.2138212
-0.18,0.28,0.4,1718110542.214821
0.39,0.8,0.66,1718110542.214821
-0.21,0.23,0.24,1718110542.214821
0.09,0.59,0.8,1718110542.2161539
0.08,0.38,0.51,1718110542.2164989
-0.0,0.38,0.67,1718110542.2169702
-0.24,0.25,0.58,1718110542.2169702
-0.27,0.23,0.65,1718110542.2179775
-0.28,0.22,0.59,1718110542.2179775
-0.22,0.17,0.53,1718110542.2179775
-0.21,0.27,0.41,1718110542.219158
-0.2,0.26,0.43,1718110542.2204785
-0.18,0.24,0.35,1718110542.2209835
-0.28,0.26,0.36,1718110542.2209835
-0.26,0.26,0.42,1718110542.221989
-0.23,0.29,0.45,1718110542.2299902
-0.16,0.26,0.63,1718110542.2299902
-0.28,0.16,0.65,1718110542.2309911
-0.2,0.3,0.51,1718110542.2309911
-0.23,0.25,0.44,1718110542.2960894
-0.21,0.25,0.34,1718110542.2970011
-0.18,0.23,0.28,1718110542.2970011
-0.16,0.24,0.29,1718110542.2980158
-0.21,0.21,0.36,1718110542.36263
-0.16,0.24,0.37,1718110542.363144
-0.13,0.26,0.4,1718110542.3636527
-0.12,0.23,0.51,1718110542.4300654
-0.15,0.25,0.55,1718110542.4302046
-0.19,0.17,0.58,1718110542.4308107
-0.2,0.17,0.63,1718110542.4308107
-0.23,0.19,0.59,1718110542.4967594
-0.18,0.23,0.62,1718110542.4967594
-0.11,0.28,0.68,1718110542.4977887
-0.2,0.15,0.58,1718110542.4977887
-0.37,0.13,0.49,1718110542.563516
-0.54,0.08,0.41,1718110542.5638661
-0.47,0.13,0.54,1718110542.564876
-0.32,0.1,0.45,1718110542.564876
-0.15,0.19,0.42,1718110542.629775
-0.32,0.13,0.34,1718110542.6302311
-0.29,0.21,0.21,1718110542.6308358
-0.54,0.16,0.16,1718110542.6308358
-0.61,0.14,-0.04,1718110542.6967466
-0.34,0.27,-0.09,1718110542.6977723
-0.39,0.35,-0.1,1718110542.6987624
0.42,1.07,0.91,1718110542.7634203
-0.35,0.28,-0.17,1718110542.7636461
0.23,0.42,-0.11,1718110542.7636461
0.24,0.43,-0.13,1718110542.764663
0.6,0.35,0.31,1718110542.8298712
0.44,0.07,0.17,1718110542.8298712
0.2,0.07,0.53,1718110542.830752
0.3,-0.09,0.49,1718110542.830752
0.28,0.11,0.9,1718110542.8963332
-0.11,-0.23,0.79,1718110542.8965902
-0.04,-0.13,0.79,1718110542.8972158
0.05,-0.01,0.87,1718110542.8977437
0.15,-0.11,0.77,1718110542.96304
0.24,-0.1,0.8,1718110542.963363
0.28,0.06,0.82,1718110542.9639585
0.14,-0.21,0.67,1718110543.0296884
0.12,-0.11,0.6,1718110543.0298834
0.18,-0.16,0.77,1718110543.0298834
0.1,-0.24,0.87,1718110543.030891
0.15,-0.15,0.82,1718110543.0965128
-0.31,-0.51,0.82,1718110543.0968347
-0.26,-0.51,0.75,1718110543.0973802
-0.12,-0.32,0.6,1718110543.0973802
-0.19,-0.34,0.62,1718110543.1630895
-0.18,-0.3,0.24,1718110543.1640568
-0.2,-0.21,0.1,1718110543.1640568
-0.1,-0.26,0.45,1718110543.2290869
-0.03,-0.23,0.71,1718110543.2290869
-0.24,-0.27,0.75,1718110543.2305007
-0.3,-0.34,0.86,1718110543.2305007
-0.31,-0.34,1.04,1718110543.296227
-0.18,-0.29,0.97,1718110543.296227
-0.26,-0.22,0.82,1718110543.296227
-0.23,-0.26,0.68,1718110543.3630793
-0.46,0.04,0.47,1718110543.3630793
-0.07,0.17,0.45,1718110543.364075
0.29,0.27,0.35,1718110543.364075
-0.18,0.23,0.5,1718110543.4293756
-0.15,0.14,0.5,1718110543.4293756
-0.18,0.23,0.47,1718110543.4302938
-0.19,0.11,0.23,1718110543.4302938
-0.43,0.08,0.13,1718110543.4958708
-0.26,0.21,0.23,1718110543.496802
-0.25,0.37,0.49,1718110543.496802
-0.28,0.22,0.39,1718110543.4978144
-0.04,0.39,0.53,1718110543.562378
