X,Y,Z,Timestamp
-0.27,0.02,-0.27,1718110703.3703196
-0.28,0.05,-0.29,1718110703.371238
-0.18,0.07,-0.31,1718110703.371238
-0.24,0.08,-0.23,1718110703.3722382
-0.18,0.1,-0.09,1718110703.3732393
-0.27,0.07,0.07,1718110703.3732393
-0.15,0.2,0.44,1718110703.3742373
-0.3,0.15,0.47,1718110703.375238
-0.23,0.13,0.57,1718110703.375238
-0.22,0.11,0.57,1718110703.376238
-0.21,0.15,0.56,1718110703.376238
-0.21,0.13,0.57,1718110703.376238
-0.18,0.1,0.58,1718110703.3774676
-0.31,0.03,0.58,1718110703.3774676
-0.3,0.04,0.51,1718110703.378472
-0.12,0.08,0.51,1718110703.378472
-0.1,0.11,0.49,1718110703.3793087
-0.08,0.07,0.53,1718110703.3798769
-0.18,0.13,0.49,1718110703.4132202
-0.22,0.07,0.52,1718110703.4136164
-0.34,0.03,0.56,1718110703.4136164
-0.33,0.03,0.59,1718110703.4146268
-0.23,0.03,0.54,1718110703.4790301
-0.24,0.07,0.54,1718110703.480047
-0.23,0.05,0.62,1718110703.480047
-0.17,0.1,0.55,1718110703.5465362
-0.23,0.1,0.6,1718110703.54755
-0.16,0.05,0.51,1718110703.54755
-0.19,0.05,0.5,1718110703.5485466
-0.21,0.06,0.44,1718110703.6126156
-0.14,0.03,0.44,1718110703.613634
-0.22,0.1,0.45,1718110703.613634
-0.28,-0.01,0.46,1718110703.6146312
-0.33,0.05,0.54,1718110703.679193
-0.28,0.07,0.61,1718110703.679193
-0.28,0.02,0.59,1718110703.6801925
-0.28,0.03,0.54,1718110703.6801925
-0.13,0.03,0.57,1718110703.7459795
-0.49,-0.1,0.59,1718110703.7464268
-0.53,-0.11,0.54,1718110703.7474453
-0.51,-0.11,0.62,1718110703.812449
-0.41,-0.09,0.68,1718110703.8133614
-0.38,-0.05,0.66,1718110703.8133614
-0.22,0.03,0.64,1718110703.81436
-0.07,0.05,0.49,1718110703.8794427
-0.04,0.07,0.41,1718110703.880091
-0.15,0.04,0.36,1718110703.8821063
-0.32,0.01,0.33,1718110703.8821063
-0.17,0.06,0.43,1718110703.945664
-0.03,-0.01,0.35,1718110703.9466665
-0.24,0.09,0.36,1718110703.9466665
-0.06,0.11,0.4,1718110704.0122883
0.04,0.18,0.41,1718110704.0122883
-0.0,0.13,0.61,1718110704.0132837
-0.07,0.11,0.6,1718110704.0132837
-0.07,0.14,0.54,1718110704.0781322
-0.1,0.08,0.49,1718110704.0795643
-0.1,0.1,0.46,1718110704.0795643
-0.13,0.09,0.52,1718110704.0809715
-0.14,0.12,0.59,1718110704.1458025
-0.15,0.14,0.53,1718110704.1458025
-0.09,0.13,0.5,1718110704.1467943
-0.14,0.13,0.49,1718110704.1467943
-0.17,0.07,0.29,1718110704.2130544
-0.12,0.01,0.19,1718110704.2133775
-0.18,0.02,0.17,1718110704.2140057
-0.04,-0.02,0.1,1718110704.2785788
-0.13,-0.03,0.11,1718110704.2795725
-0.08,0.04,0.15,1718110704.2798023
-0.08,-0.11,0.54,1718110704.2798023
-0.05,-0.12,0.44,1718110704.345899
0.05,-0.13,0.47,1718110704.345899
-0.03,-0.1,0.56,1718110704.345899
-0.08,-0.18,0.57,1718110704.3468983
-0.13,-0.18,0.62,1718110704.4122653
-0.11,-0.18,0.59,1718110704.4132655
-0.08,-0.11,0.61,1718110704.4132655
-0.06,-0.16,0.63,1718110704.479774
0.05,-0.12,0.52,1718110704.4801016
0.05,-0.17,0.4,1718110704.4811096
0.14,-0.16,0.4,1718110704.4811096
0.14,-0.14,0.38,1718110704.5465431
0.15,-0.1,0.55,1718110704.5469801
0.1,-0.18,0.62,1718110704.5469801
-0.4,-0.34,0.64,1718110704.5479925
-0.45,-0.31,0.59,1718110704.6132066
-0.38,-0.33,0.61,1718110704.6134837
-0.34,-0.26,0.52,1718110704.6143746
-0.47,-0.34,0.62,1718110704.6791816
-0.42,-0.38,0.55,1718110704.6801257
-0.31,-0.21,0.58,1718110704.6801257
-0.21,-0.15,0.7,1718110704.6811123
-0.22,-0.15,0.67,1718110704.7465413
-0.3,-0.23,0.56,1718110704.7468638
-0.41,-0.25,0.36,1718110704.7479057
-0.62,-0.38,0.31,1718110704.8122222
-0.7,-0.35,0.41,1718110704.8122222
-0.47,-0.26,0.28,1718110704.8132303
-0.28,-0.24,0.7,1718110704.8132303
-0.34,-0.21,0.82,1718110704.8788352
-0.36,-0.16,0.82,1718110704.879835
-0.41,-0.23,1.12,1718110704.879835
-0.3,-0.18,1.27,1718110704.9455967
-0.19,-0.21,1.58,1718110704.9455967
-0.46,-0.32,1.01,1718110704.9465954
-0.33,-0.3,0.82,1718110704.9465954
-0.21,-0.34,0.71,1718110705.0117488
0.12,-0.3,0.39,1718110705.0127485
-0.08,-0.28,0.28,1718110705.0127485
-0.35,-0.26,0.28,1718110705.0127485
-0.18,-0.18,0.18,1718110705.0793386
