X,Y,Z,Timestamp
-0.1,0.28,0.19,1718110858.3202555
-0.09,0.23,0.19,1718110858.321255
-0.16,0.28,0.39,1718110858.321255
-0.24,0.31,0.64,1718110858.321255
-0.2,0.3,0.68,1718110858.3222578
-0.06,0.35,0.72,1718110858.3222578
-0.01,0.35,0.61,1718110858.3237033
0.03,0.34,0.46,1718110858.3237033
-0.0,0.31,0.45,1718110858.3237033
-0.31,0.2,0.41,1718110858.3247092
-0.28,0.23,0.42,1718110858.3247092
-0.06,0.26,0.49,1718110858.3261855
-0.02,0.31,0.57,1718110858.3261855
-0.08,0.28,0.55,1718110858.3266888
-0.05,0.3,0.59,1718110858.3266888
-0.07,0.28,0.42,1718110858.3280296
-0.13,0.22,0.34,1718110858.3280296
-0.1,0.28,0.35,1718110858.329036
-0.08,0.28,0.27,1718110858.329036
-0.04,0.28,0.42,1718110858.3300385
-0.01,0.22,0.51,1718110858.3300385
-0.08,0.23,0.57,1718110858.3300385
-0.16,0.27,0.58,1718110858.3916862
-0.05,0.2,0.52,1718110858.3919938
-0.13,0.26,0.44,1718110858.3926628
-0.14,0.21,0.34,1718110858.3931108
-0.18,0.29,0.31,1718110858.4583163
-0.02,0.3,0.54,1718110858.458722
-0.1,0.27,0.52,1718110858.458722
-0.26,0.16,0.54,1718110858.461179
-0.2,0.2,0.34,1718110858.5242019
-0.13,0.25,0.44,1718110858.5252829
-0.11,0.23,0.44,1718110858.5262005
-0.1,0.25,0.44,1718110858.5912113
-0.13,0.25,0.49,1718110858.5912113
-0.02,0.28,0.49,1718110858.5922103
-0.1,0.25,0.53,1718110858.5922103
-0.18,0.22,0.51,1718110858.6579945
-0.16,0.25,0.53,1718110858.6588957
-0.1,0.19,0.39,1718110858.6598942
-0.15,0.18,0.2,1718110858.661131
-0.44,0.08,0.15,1718110858.7249963
-0.3,0.14,0.08,1718110858.7256882
-0.03,0.02,0.46,1718110858.7278767
0.02,0.03,0.57,1718110858.7288723
0.04,-0.03,0.68,1718110858.7916062
0.14,0.08,0.82,1718110858.792619
0.1,0.12,0.82,1718110858.792619
0.07,0.02,0.82,1718110858.7940247
0.02,0.03,0.73,1718110858.8578472
0.05,-0.0,0.65,1718110858.8587632
0.04,-0.05,0.63,1718110858.8587632
0.03,-0.04,0.68,1718110858.9249728
0.07,-0.02,0.59,1718110858.9249728
-0.01,-0.06,0.59,1718110858.9259884
-0.14,-0.07,0.49,1718110858.9259884
-0.1,-0.04,0.46,1718110858.9915168
-0.08,-0.06,0.43,1718110858.9915168
0.07,-0.04,0.46,1718110858.9924548
-0.08,-0.19,0.75,1718110858.9924548
-0.17,-0.16,0.8,1718110859.0578954
-0.06,-0.08,0.63,1718110859.0588508
-0.08,-0.08,0.36,1718110859.0588508
-0.37,-0.18,0.29,1718110859.125066
-0.27,-0.08,0.48,1718110859.1254246
-0.14,-0.09,0.51,1718110859.1264386
-0.26,-0.08,0.62,1718110859.1264386
-0.14,-0.13,0.69,1718110859.1916158
-0.28,-0.2,0.72,1718110859.1919196
-0.23,-0.1,0.73,1718110859.192685
-0.03,-0.08,0.46,1718110859.2582011
-0.26,-0.13,0.34,1718110859.2591484
-0.19,-0.2,0.36,1718110859.2591484
-0.32,-0.24,0.82,1718110859.2591484
-0.31,-0.23,0.76,1718110859.3250682
-0.24,-0.19,0.56,1718110859.3254156
-0.25,-0.18,0.44,1718110859.326091
-0.25,-0.15,0.46,1718110859.391648
-0.22,-0.15,0.47,1718110859.391814
-0.21,-0.12,0.5,1718110859.3928242
-0.19,-0.1,0.54,1718110859.3928242
-0.23,-0.16,0.67,1718110859.4582083
-0.19,-0.16,0.75,1718110859.4582083
-0.23,-0.18,0.64,1718110859.4592066
-0.24,-0.16,0.61,1718110859.4602056
-0.24,-0.21,0.6,1718110859.525059
-0.29,-0.23,0.52,1718110859.525059
0.02,-0.24,0.41,1718110859.5260613
0.3,-0.04,0.41,1718110859.5909092
0.22,-0.08,0.28,1718110859.5918112
-0.12,-0.13,0.28,1718110859.5918112
-0.16,0.09,0.15,1718110859.5928123
-0.06,0.08,-0.06,1718110859.658315
