X,Y,Z,Timestamp
-0.4,0.24,0.34,1718110485.4458547
-0.32,0.31,0.33,1718110485.44676
-0.39,0.28,0.31,1718110485.44676
-0.41,0.25,0.39,1718110485.44676
-0.38,0.29,0.44,1718110485.4477587
-0.34,0.28,0.44,1718110485.4477587
-0.39,0.23,0.46,1718110485.4491403
-0.36,0.21,0.36,1718110485.4491403
-0.39,0.27,0.37,1718110485.4491403
-0.34,0.23,0.39,1718110485.4491403
-0.34,0.27,0.36,1718110485.4501455
-0.36,0.26,0.36,1718110485.4515586
-0.35,0.26,0.36,1718110485.4526398
-0.36,0.25,0.41,1718110485.4526398
-0.28,0.28,0.41,1718110485.4536467
-0.34,0.28,0.46,1718110485.4536467
-0.41,0.25,0.44,1718110485.4536467
-0.38,0.22,0.36,1718110485.4546466
-0.35,0.28,0.34,1718110485.4546466
-0.41,0.24,0.39,1718110485.4546466
-0.32,0.32,0.36,1718110485.4546466
-0.37,0.24,0.44,1718110485.4556463
-0.35,0.23,0.38,1718110485.496786
-0.36,0.29,0.42,1718110485.496786
-0.28,0.26,0.43,1718110485.497789
-0.28,0.31,0.44,1718110485.498789
-0.41,0.22,0.37,1718110485.5638883
-0.41,0.22,0.35,1718110485.564225
-0.34,0.28,0.43,1718110485.565281
-0.36,0.24,0.37,1718110485.630539
-0.34,0.24,0.45,1718110485.6314318
-0.34,0.22,0.33,1718110485.6324346
-0.39,0.28,0.43,1718110485.6334324
-0.43,0.27,0.43,1718110485.6967244
-0.45,0.27,0.37,1718110485.6967244
-0.39,0.25,0.39,1718110485.697724
-0.09,0.31,0.52,1718110485.697724
-0.08,0.29,0.53,1718110485.7637887
-0.13,0.34,0.45,1718110485.7646995
-0.29,0.23,0.37,1718110485.7646995
-0.34,0.25,0.32,1718110485.7657025
-0.34,0.24,0.24,1718110485.8305688
-0.37,0.25,0.24,1718110485.831005
-0.39,0.26,0.29,1718110485.8319027
-0.44,0.28,0.38,1718110485.89653
-0.34,0.28,0.41,1718110485.8973985
-0.24,0.29,0.43,1718110485.8984008
-0.07,0.29,0.43,1718110485.899395
-0.21,0.26,0.33,1718110485.9638836
-0.15,0.29,0.3,1718110485.964239
-0.1,0.36,0.19,1718110485.964239
-0.16,0.33,0.22,1718110485.965272
-1.05,-0.28,0.41,1718110486.0300832
-1.06,-0.25,0.23,1718110486.0300832
-0.75,-0.24,0.33,1718110486.03096
-0.72,-0.28,0.45,1718110486.03096
-0.7,-0.29,0.63,1718110486.096822
-0.5,-0.31,0.65,1718110486.096822
-0.5,-0.3,0.72,1718110486.0978222
-0.56,-0.37,0.55,1718110486.163341
-0.61,-0.34,0.51,1718110486.163341
-0.68,-0.41,0.75,1718110486.1643498
-0.32,-0.41,0.82,1718110486.1643498
-0.45,-0.39,0.63,1718110486.2298775
-0.57,-0.44,0.57,1718110486.2298775
-0.36,-0.38,0.69,1718110486.2308788
-0.17,-0.38,0.79,1718110486.2966766
-0.12,-0.27,0.81,1718110486.2966766
-0.06,-0.32,0.82,1718110486.2976747
-0.7,-0.33,0.5,1718110486.2986734
-0.1,-0.27,0.65,1718110486.3635032
-0.27,-0.24,0.39,1718110486.3635032
-0.23,-0.25,0.42,1718110486.3635032
-0.26,-0.23,0.52,1718110486.4299781
-0.26,-0.23,0.64,1718110486.4299781
-0.13,-0.17,0.72,1718110486.4309766
-0.06,-0.21,0.79,1718110486.4309766
-0.06,-0.06,0.97,1718110486.4972255
-0.1,-0.12,0.9,1718110486.4972255
0.11,-0.22,0.62,1718110486.4981189
-0.29,0.07,0.34,1718110486.4981189
-0.39,0.08,0.28,1718110486.5626507
-0.39,0.13,0.31,1718110486.5636313
-0.32,0.14,0.27,1718110486.5636313
-0.35,0.14,0.33,1718110486.6302888
-0.27,0.21,0.5,1718110486.6306818
-0.41,0.19,0.48,1718110486.6306818
-0.29,0.14,0.39,1718110486.6316931
-0.26,0.24,0.26,1718110486.6969
-0.3,0.27,0.3,1718110486.6969
-0.24,0.29,0.34,1718110486.697858
-0.26,0.27,0.39,1718110486.697858
-0.4,0.17,0.41,1718110486.7637396
-0.46,0.21,0.43,1718110486.764272
-0.4,0.26,0.4,1718110486.7649393
-0.36,0.24,0.34,1718110486.765451
-0.28,0.28,0.23,1718110486.8305314
-0.24,0.34,0.31,1718110486.8308673
-0.22,0.31,0.36,1718110486.831463
-0.39,0.23,0.37,1718110486.8972075
-0.35,0.26,0.44,1718110486.8972075
-0.28,0.3,0.37,1718110486.8982158
-0.23,0.26,0.3,1718110486.8982158
-0.37,0.28,0.3,1718110486.9638429
-0.55,0.25,0.24,1718110486.9638429
-0.58,0.23,0.22,1718110486.9648063
-0.42,0.28,0.29,1718110486.9648063
-0.33,0.23,0.4,1718110487.0305285
