X,Y,Z,Timestamp
-0.07,0.09,0.57,1718110672.048335
-0.03,0.09,0.54,1718110672.0492432
0.01,0.09,0.47,1718110672.0492432
0.07,0.12,0.54,1718110672.0502434
0.04,0.18,0.52,1718110672.0502434
-0.0,0.1,0.54,1718110672.0502434
-0.07,0.17,0.59,1718110672.0512433
-0.03,0.17,0.58,1718110672.0512433
-0.03,0.12,0.54,1718110672.052278
-0.1,0.1,0.5,1718110672.052278
-0.1,0.1,0.52,1718110672.0532427
0.03,0.13,0.44,1718110672.0542433
-0.07,0.11,0.47,1718110672.0542433
-0.0,0.19,0.4,1718110672.0549421
-0.12,0.12,0.46,1718110672.0549421
-0.14,0.08,0.49,1718110672.0569499
-0.18,0.13,0.5,1718110672.0569499
-0.19,0.1,0.5,1718110672.0578651
-0.11,0.1,0.54,1718110672.0578651
-0.11,0.17,0.59,1718110672.0588734
-0.04,0.13,0.54,1718110672.0588734
0.06,0.1,0.49,1718110672.0588734
0.05,0.18,0.42,1718110672.059871
0.1,0.15,0.39,1718110672.059871
-0.01,0.1,0.41,1718110672.0608737
0.09,0.1,0.31,1718110672.0608737
0.1,0.1,0.26,1718110672.0608737
0.04,0.13,0.41,1718110672.061873
-0.57,-0.1,0.44,1718110672.061873
-0.52,-0.07,0.48,1718110672.061873
-0.37,0.08,0.6,1718110672.0628724
-0.26,0.04,0.49,1718110672.0628724
-0.29,0.04,0.59,1718110672.063871
-0.26,0.06,0.59,1718110672.0787337
-0.12,0.07,0.51,1718110672.0798512
-0.29,0.04,0.58,1718110672.0798512
-0.46,0.03,0.55,1718110672.0798512
-0.47,-0.0,0.54,1718110672.146663
-0.54,-0.05,0.57,1718110672.146663
-0.42,-0.03,0.55,1718110672.147625
-0.39,0.07,0.54,1718110672.148658
-0.5,-0.05,0.41,1718110672.21292
-0.55,-0.04,0.44,1718110672.2139494
-0.36,0.05,0.54,1718110672.2139494
-0.25,0.02,0.55,1718110672.2801604
-0.32,-0.0,0.49,1718110672.2804852
-0.24,0.07,0.53,1718110672.281497
-0.13,0.07,0.44,1718110672.281497
-0.27,0.1,0.49,1718110672.34647
-0.26,0.08,0.51,1718110672.346769
-0.3,0.04,0.58,1718110672.3477812
-0.39,0.08,0.61,1718110672.3477812
-0.4,0.04,0.57,1718110672.4133747
-0.27,0.1,0.63,1718110672.413802
-0.16,0.15,0.64,1718110672.4148102
-0.18,0.13,0.62,1718110672.479712
-0.18,0.08,0.51,1718110672.4799647
-0.28,0.1,0.47,1718110672.480977
-0.31,-0.02,0.4,1718110672.4819758
-0.31,0.02,0.44,1718110672.5468287
-0.2,0.15,0.52,1718110672.5468287
-0.26,0.06,0.5,1718110672.5478382
-0.32,0.1,0.57,1718110672.5478382
-0.25,0.11,0.63,1718110672.612366
-0.34,0.06,0.67,1718110672.6133614
-0.39,-0.02,0.56,1718110672.6133614
-0.37,0.03,0.54,1718110672.6133614
-0.28,0.03,0.54,1718110672.6795363
-0.41,0.06,0.44,1718110672.6795363
-0.36,0.03,0.44,1718110672.6795363
0.07,0.12,0.4,1718110672.7461622
0.07,0.13,0.41,1718110672.7461622
-0.27,0.03,0.55,1718110672.7461622
-0.29,0.09,0.62,1718110672.7471614
-0.2,0.08,0.63,1718110672.8123248
-0.37,-0.07,0.16,1718110672.8132415
-0.34,-0.15,0.29,1718110672.8132415
-0.33,-0.18,0.31,1718110672.814241
-0.28,-0.24,0.39,1718110672.8788147
-0.35,-0.28,0.42,1718110672.8797245
-0.39,-0.37,0.47,1718110672.8797245
-0.62,-0.48,0.63,1718110672.9455338
-0.56,-0.44,0.77,1718110672.9465036
-0.39,-0.37,1.01,1718110672.9465036
-0.32,-0.34,1.16,1718110672.9465036
-0.08,-0.28,1.2,1718110673.0133793
0.21,-0.16,0.89,1718110673.0136204
0.18,-0.13,0.82,1718110673.0136204
0.01,-0.1,0.93,1718110673.0146472
-0.44,-0.31,1.07,1718110673.079057
-0.44,-0.47,0.82,1718110673.0800047
-0.34,-0.48,0.62,1718110673.0800047
-0.3,-0.49,0.41,1718110673.1467254
-0.09,-0.44,0.29,1718110673.1469338
-0.17,-0.45,0.27,1718110673.1469338
-0.01,-0.31,0.13,1718110673.1479833
0.21,-0.23,0.07,1718110673.2133667
0.41,-0.12,0.21,1718110673.2136676
0.39,-0.03,0.28,1718110673.2136676
0.23,-0.06,0.33,1718110673.2146752
0.2,-0.04,0.48,1718110673.2795615
-0.0,-0.08,0.59,1718110673.2804968
0.05,-0.05,0.51,1718110673.2804968
0.08,-0.02,0.69,1718110673.3457084
-0.11,-0.07,0.19,1718110673.3457084
-0.25,-0.03,0.15,1718110673.34671
-0.08,0.02,0.28,1718110673.3477173
0.08,0.1,0.29,1718110673.4122205
-0.03,0.02,0.21,1718110673.4132102
-0.13,0.04,0.19,1718110673.4132102
-0.24,0.08,0.27,1718110673.4142075
-0.08,0.16,0.31,1718110673.4795625
-0.05,0.21,0.41,1718110673.4795625
-0.13,0.19,0.51,1718110673.480562
-0.06,0.23,0.52,1718110673.5455184
-0.03,0.23,0.62,1718110673.5465183
-0.04,0.21,0.64,1718110673.5465183
-0.13,0.18,0.56,1718110673.5465183
-0.07,0.16,0.62,1718110673.613271
