X,Y,Z,Timestamp
-0.13,0.28,0.38,1718110836.189348
-0.24,0.27,0.34,1718110836.1902516
-0.13,0.35,0.43,1718110836.1902516
-0.06,0.51,0.32,1718110836.1902516
-0.05,0.41,0.75,1718110836.1912515
-0.26,0.24,0.4,1718110836.1912515
-0.28,0.25,0.52,1718110836.192254
-0.27,0.23,0.54,1718110836.192254
-0.2,0.22,0.52,1718110836.193527
-0.19,0.22,0.56,1718110836.194533
-0.29,0.15,0.51,1718110836.1955361
-0.3,0.1,0.49,1718110836.1955361
-0.09,0.11,0.55,1718110836.1955361
-0.16,0.23,0.54,1718110836.1966004
-0.15,0.17,0.58,1718110836.197002
-0.2,0.15,0.59,1718110836.197002
-0.16,0.21,0.56,1718110836.1980095
-0.19,0.23,0.47,1718110836.1980095
-0.21,0.22,0.43,1718110836.258634
-0.13,0.22,0.39,1718110836.259635
-0.13,0.17,0.32,1718110836.259635
-0.24,0.18,0.31,1718110836.2608092
-0.22,0.23,0.4,1718110836.325572
-0.15,0.17,0.45,1718110836.325893
-0.17,0.16,0.44,1718110836.3269024
-0.18,0.15,0.45,1718110836.3279016
-0.18,0.22,0.39,1718110836.3914866
-0.18,0.28,0.4,1718110836.3925076
-0.14,0.27,0.36,1718110836.3927293
-0.14,0.3,0.39,1718110836.393757
-0.13,0.25,0.41,1718110836.4585173
-0.15,0.28,0.49,1718110836.4589458
-0.0,0.39,0.6,1718110836.4599612
-0.03,0.33,0.55,1718110836.525607
-0.13,0.39,0.57,1718110836.526622
-0.05,0.35,0.64,1718110836.526622
-0.06,0.34,0.57,1718110836.5276186
-0.04,0.31,0.46,1718110836.5920517
-0.18,0.21,0.4,1718110836.5931427
-0.09,0.23,0.42,1718110836.5941608
-0.05,0.26,0.4,1718110836.595157
-0.03,0.21,0.32,1718110836.6583383
-1.06,-0.66,1.11,1718110836.6597824
-0.58,-0.36,1.39,1718110836.6597824
-0.3,-0.17,1.25,1718110836.7252488
-0.74,-0.33,1.28,1718110836.7255807
-0.13,0.31,1.4,1718110836.7265937
-0.57,-0.36,0.76,1718110836.7265937
-0.07,0.09,1.06,1718110836.7909038
-0.41,-0.31,0.41,1718110836.7918446
-0.32,-0.28,0.62,1718110836.792846
-0.3,-0.25,0.5,1718110836.792846
-0.22,-0.23,0.49,1718110836.858859
-0.32,-0.2,0.62,1718110836.8591852
-0.08,0.05,1.06,1718110836.860206
-0.35,-0.34,0.72,1718110836.9248142
-0.49,-0.32,0.55,1718110836.9248142
-0.44,-0.33,0.55,1718110836.9258165
-0.46,-0.35,0.58,1718110836.9258165
-0.41,-0.4,0.55,1718110836.9919357
-0.15,-0.34,0.51,1718110836.992896
0.04,-0.24,0.39,1718110836.993897
0.1,-0.2,0.51,1718110837.0578144
0.2,-0.07,0.74,1718110837.0588107
0.29,0.02,0.75,1718110837.0588107
0.1,-0.18,0.73,1718110837.0598056
-0.09,-0.19,0.73,1718110837.124612
-0.3,-0.18,0.73,1718110837.1255965
-0.23,-0.23,0.71,1718110837.1255965
-0.43,-0.31,0.57,1718110837.1268623
-0.29,-0.24,0.47,1718110837.1913314
-0.02,-0.05,0.98,1718110837.1913314
-0.03,-0.02,1.04,1718110837.1923273
-0.04,-0.07,1.23,1718110837.2579758
-0.03,-0.1,1.21,1718110837.2579758
-0.09,-0.2,1.12,1718110837.2589562
-0.16,-0.2,1.1,1718110837.2589562
-0.28,-0.34,0.91,1718110837.3246121
0.24,0.23,1.1,1718110837.3255167
-0.14,-0.05,0.77,1718110837.3265202
-0.4,-0.3,0.31,1718110837.3265202
-0.39,-0.29,0.12,1718110837.3911831
-0.31,-0.04,0.11,1718110837.392152
-0.46,-0.09,-0.26,1718110837.3930469
-0.28,0.04,-0.35,1718110837.4582324
