X,Y,Z,Timestamp
-0.13,0.54,-0.07,1718111151.9728987
-0.11,0.47,0.12,1718111151.973898
-0.18,0.41,0.1,1718111151.973898
-0.28,0.39,0.03,1718111151.974898
-0.16,0.45,0.15,1718111151.974898
-0.15,0.42,0.39,1718111151.974898
-0.23,0.38,0.04,1718111151.9758983
-0.17,0.4,0.08,1718111151.9758983
-0.18,0.36,0.26,1718111151.9769897
-0.04,0.31,0.77,1718111151.9774444
-0.09,0.26,1.06,1718111151.977897
-0.13,0.23,1.05,1718111151.977897
-0.28,0.21,0.72,1718111151.9789023
-0.2,0.48,0.4,1718111151.9789023
-0.07,0.57,0.15,1718111151.9799023
-0.31,0.41,-0.37,1718111151.9799023
-0.16,0.42,-0.18,1718111151.9809024
-0.2,0.39,0.02,1718111151.9809024
-0.23,0.38,0.13,1718111151.9809024
-0.15,0.37,0.3,1718111151.981904
0.03,0.47,0.52,1718111151.981904
-0.18,0.41,0.29,1718111151.9829032
-0.03,0.53,0.51,1718111151.9829032
0.09,0.53,0.75,1718111151.9829032
0.09,0.48,0.75,1718111151.9839022
-0.19,0.37,0.54,1718111151.9859023
-0.24,0.41,0.51,1718111151.9859023
-0.11,0.35,0.49,1718111151.9869044
-0.07,0.52,0.49,1718111151.9869044
-0.11,0.42,0.48,1718111151.9869044
-0.15,0.38,0.42,1718111152.0015855
-0.13,0.41,0.54,1718111152.0015855
-0.13,0.36,0.59,1718111152.0027573
-0.11,0.32,0.54,1718111152.0673923
-0.11,0.33,0.56,1718111152.0693932
-0.17,0.35,0.49,1718111152.0693932
-0.22,0.39,0.3,1718111152.0707667
-0.18,0.43,0.23,1718111152.1346583
-0.11,0.49,0.33,1718111152.1355689
-0.06,0.41,0.54,1718111152.1355689
-0.12,0.35,0.59,1718111152.1369822
-0.11,0.31,1.13,1718111152.201186
-0.17,0.3,0.87,1718111152.2022004
-0.21,0.29,0.62,1718111152.2032015
-0.26,0.34,0.39,1718111152.2041998
-0.16,0.43,0.09,1718111152.26786
-0.25,0.52,-0.1,1718111152.2699223
-0.21,0.51,-0.18,1718111152.2711413
-0.27,0.46,-0.09,1718111152.3344226
-0.23,0.47,0.07,1718111152.335443
-0.14,0.49,0.11,1718111152.3364413
0.03,0.67,0.23,1718111152.3374372
-0.41,0.28,-0.15,1718111152.4011953
0.11,-0.4,1.5,1718111152.4026775
0.21,-0.39,1.25,1718111152.4035542
0.07,-0.54,1.13,1718111152.4045715
-0.14,-0.53,0.82,1718111152.4678566
-0.4,-0.39,0.53,1718111152.468877
-0.45,-0.36,0.24,1718111152.4708757
-0.43,-0.19,-0.11,1718111152.5342102
-0.14,-0.0,-0.4,1718111152.5351307
-0.28,0.04,-0.57,1718111152.5351307
-0.45,0.29,-0.48,1718111152.5363472
-0.41,0.11,-0.6,1718111152.601035
-0.39,0.13,-0.66,1718111152.6022563
-0.19,0.08,-0.55,1718111152.603264
-0.21,-0.12,-0.47,1718111152.6678638
-0.28,-0.69,0.68,1718111152.6688793
-0.18,-0.53,0.28,1718111152.6688793
-0.27,-0.44,0.09,1718111152.669875
-0.21,-0.29,0.03,1718111152.7343872
-0.19,-0.15,-0.09,1718111152.7354136
-0.22,0.23,0.54,1718111152.7354136
-0.07,0.02,-0.26,1718111152.8012037
