X,Y,Z,Timestamp
-0.27,0.07,0.51,1718110962.181771
-0.25,-0.01,0.54,1718110962.1827762
-0.22,0.07,0.48,1718110962.1827762
-0.29,0.03,0.52,1718110962.1827762
-0.27,0.05,0.5,1718110962.1837723
-0.24,-0.01,0.57,1718110962.1837723
-0.2,0.05,0.59,1718110962.1837723
-0.21,0.05,0.62,1718110962.185063
-0.24,0.03,0.58,1718110962.185063
-0.29,-0.03,0.56,1718110962.185063
-0.29,0.03,0.59,1718110962.1860685
-0.23,-0.03,0.54,1718110962.1860685
-0.29,0.04,0.49,1718110962.1870677
-0.24,0.03,0.51,1718110962.1870677
-0.24,-0.02,0.53,1718110962.1880004
-0.19,0.03,0.61,1718110962.1884048
-0.18,-0.0,0.59,1718110962.1884048
-0.25,0.03,0.54,1718110962.189426
-0.23,-0.02,0.54,1718110962.189426
-0.23,0.01,0.54,1718110962.1904318
-0.23,0.03,0.53,1718110962.1904318
-0.26,0.04,0.51,1718110962.1914315
-0.25,0.06,0.55,1718110962.1914315
-0.26,0.03,0.54,1718110962.1914315
-0.24,0.02,0.56,1718110962.1924329
-0.27,-0.01,0.58,1718110962.1924329
-0.21,-0.01,0.56,1718110962.1934333
-0.24,0.01,0.54,1718110962.1934333
-0.19,0.05,0.55,1718110962.1934333
-0.23,0.02,0.54,1718110962.1944323
-0.25,-0.03,0.54,1718110962.1944323
-0.23,0.03,0.57,1718110962.1944323
-0.2,0.02,0.55,1718110962.1954324
-0.19,-0.03,0.57,1718110962.1954324
-0.21,0.03,0.58,1718110962.1965702
-0.26,-0.0,0.5,1718110962.1965702
-0.31,0.03,0.55,1718110962.1979933
-0.24,0.03,0.54,1718110962.1979933
-0.26,0.04,0.54,1718110962.1979933
-0.24,-0.03,0.54,1718110962.1989994
-0.27,0.01,0.59,1718110962.1989994
-0.2,0.05,0.54,1718110962.199998
-0.18,0.05,0.6,1718110962.2010493
-0.18,-0.01,0.54,1718110962.2020552
-0.23,-0.01,0.56,1718110962.2020552
-0.21,-0.05,0.56,1718110962.2030616
-0.16,0.04,0.62,1718110962.2040591
-0.18,0.06,0.64,1718110962.2040591
-0.25,0.03,0.59,1718110962.2040591
-0.28,-0.01,0.55,1718110962.205057
-0.22,-0.03,0.55,1718110962.205057
-0.25,-0.01,0.5,1718110962.2060547
-0.24,-0.0,0.51,1718110962.2060547
-0.23,-0.03,0.51,1718110962.2060547
-0.23,-0.01,0.54,1718110962.207144
-0.26,-0.03,0.58,1718110962.269453
-0.23,-0.03,0.6,1718110962.269453
-0.2,0.01,0.58,1718110962.2706335
-0.25,0.02,0.57,1718110962.336823
-0.21,0.02,0.59,1718110962.336823
-0.19,-0.0,0.62,1718110962.336823
-0.27,0.03,0.56,1718110962.336823
-0.25,-0.02,0.56,1718110962.403224
-0.25,-0.02,0.59,1718110962.403224
-0.23,0.03,0.6,1718110962.403224
-0.23,0.03,0.59,1718110962.4043436
-0.18,-0.01,0.6,1718110962.470013
-0.23,0.02,0.59,1718110962.4703743
-0.24,0.06,0.6,1718110962.4710474
-0.21,0.04,0.57,1718110962.5369666
-0.23,-0.01,0.55,1718110962.5371456
-0.22,0.03,0.53,1718110962.537793
-0.25,-0.02,0.54,1718110962.537793
-0.23,-0.02,0.6,1718110962.6031265
-0.2,0.07,0.65,1718110962.6031265
-0.21,0.07,0.7,1718110962.604029
-0.18,0.08,0.72,1718110962.604029
-0.19,0.03,0.77,1718110962.6702847
-0.26,0.03,0.73,1718110962.6702847
-0.34,0.03,0.66,1718110962.671286
-0.43,0.05,0.67,1718110962.7369835
-0.48,-0.03,0.63,1718110962.737159
-0.4,0.05,0.53,1718110962.7379153
-0.34,0.04,0.48,1718110962.7379153
-0.34,0.05,0.44,1718110962.803066
-0.33,0.06,0.49,1718110962.8037767
-0.39,0.13,0.42,1718110962.8042834
-0.31,0.15,0.34,1718110962.8042834
-0.23,0.27,0.4,1718110962.869979
-0.34,0.19,0.36,1718110962.8709033
0.29,0.46,0.26,1718110962.8709033
0.07,0.34,0.31,1718110962.8709033
-0.13,0.34,0.23,1718110962.9366314
-0.1,0.21,0.12,1718110962.9366314
0.04,0.33,0.17,1718110962.937632
0.08,0.34,0.19,1718110962.937632
0.2,0.3,0.1,1718110963.002618
0.43,0.43,0.3,1718110963.002618
