X,Y,Z,Timestamp
0.18,-0.07,0.77,1718886161.6380997
0.16,-0.08,0.75,1718886161.6380997
0.77,0.54,1.27,1718886161.6391053
0.59,0.24,1.04,1718886161.6391053
0.18,-0.17,0.75,1718886161.6401052
0.31,0.01,0.81,1718886161.640785
0.28,0.02,0.82,1718886161.6414006
0.39,0.2,1.01,1718886161.6414006
0.39,0.1,0.95,1718886161.6414006
0.3,0.16,0.97,1718886161.642406
0.23,0.05,0.93,1718886161.642406
0.31,0.27,0.97,1718886161.642406
0.29,0.16,1.08,1718886161.6434066
0.16,0.13,0.98,1718886161.6434066
0.23,0.17,0.97,1718886161.6434066
-0.34,-0.21,0.45,1718886161.6444056
-0.4,-0.34,0.49,1718886161.6444056
-0.44,-0.38,0.45,1718886161.6444056
-0.01,-0.23,0.69,1718886161.6454086
-0.21,-0.21,0.65,1718886161.6454086
0.18,-0.02,1.05,1718886161.6454086
-0.2,-0.14,0.64,1718886161.6454086
0.01,-0.01,0.82,1718886161.646408
0.05,0.19,0.94,1718886161.646408
-0.04,0.13,0.89,1718886161.646408
0.09,0.14,0.95,1718886161.6474082
0.18,0.19,1.02,1718886161.6474082
0.09,0.16,0.78,1718886161.6474082
0.21,0.22,1.02,1718886161.6484056
-0.18,-0.08,0.75,1718886161.6484056
-0.01,0.11,0.74,1718886161.6484056
-0.18,-0.15,0.71,1718886161.6494062
-0.26,-0.14,0.65,1718886161.6494062
-0.34,-0.25,0.64,1718886161.650406
-0.28,-0.19,0.8,1718886161.650406
-0.31,-0.24,0.7,1718886161.650406
-0.14,-0.11,0.82,1718886161.6514056
-0.31,-0.2,0.59,1718886161.6514056
-0.26,-0.14,0.49,1718886161.6514056
-0.17,-0.02,0.63,1718886161.6514056
-0.12,0.05,0.73,1718886161.6714358
0.22,0.06,0.94,1718886161.6714358
-0.08,0.04,0.82,1718886161.6724358
-0.01,0.06,0.99,1718886161.6724358
-0.0,0.01,0.92,1718886161.7384226
-0.15,-0.03,0.6,1718886161.73932
-0.27,-0.13,0.61,1718886161.7405481
-0.25,-0.1,0.63,1718886161.8047166
-0.23,-0.08,0.58,1718886161.805586
0.03,0.24,0.98,1718886161.8065898
-0.38,-0.13,0.67,1718886161.8074515
-0.32,-0.14,0.65,1718886161.8720808
-0.13,0.06,0.73,1718886161.873017
-0.18,-0.15,0.66,1718886161.8740356
-0.04,0.05,0.75,1718886161.8750367
-0.35,-0.25,0.46,1718886161.9378588
-0.26,-0.12,0.54,1718886161.938869
-0.02,-0.07,0.73,1718886161.939875
-0.42,-0.34,0.38,1718886162.0045612
-0.18,-0.19,0.45,1718886162.005069
0.08,-0.41,0.35,1718886162.0061293
0.23,-0.35,0.22,1718886162.0061293
-0.05,-0.46,0.02,1718886162.0707963
0.18,-0.25,0.25,1718886162.0718021
-0.03,-0.41,-0.05,1718886162.0725439
-0.1,-0.55,0.15,1718886162.0725439
0.1,-0.44,-0.06,1718886162.1382482
0.03,-0.57,0.28,1718886162.138756
-0.07,-0.65,0.55,1718886162.1392605
0.19,-0.42,0.82,1718886162.204474
0.1,-0.35,0.32,1718886162.204474
-0.16,-0.7,0.21,1718886162.205474
-0.15,-0.58,0.49,1718886162.20618
-0.13,-0.58,0.31,1718886162.2715385
-0.3,-0.62,0.47,1718886162.2715385
-0.31,-0.63,0.53,1718886162.2722394
-0.33,-0.62,0.52,1718886162.3379672
-0.33,-0.64,0.47,1718886162.338483
-0.31,-0.6,0.44,1718886162.3390195
-0.33,-0.62,0.44,1718886162.3390195
0.35,-0.61,0.28,1718886162.4048963
-0.17,-0.39,0.61,1718886162.4054058
-0.24,-0.46,0.65,1718886162.4059174
-0.42,-0.69,0.52,1718886162.4059174
-0.24,-0.63,0.52,1718886162.4715102
-0.29,-0.53,0.49,1718886162.4715102
-0.44,-0.59,0.31,1718886162.472509
-0.44,-0.59,0.32,1718886162.5387223
-0.28,-0.58,0.39,1718886162.5392325
-0.83,-0.8,-0.02,1718886162.5392325
-0.25,-0.26,1.3,1718886162.5402403
-0.86,-0.85,0.28,1718886162.604236
-0.56,-0.87,0.45,1718886162.605242
-0.12,-0.28,1.0,1718886162.605242
-0.53,-0.85,0.31,1718886162.67072
-0.62,-0.67,0.23,1718886162.671687
-0.42,-0.23,0.44,1718886162.671687
-0.47,-0.62,0.32,1718886162.6727655
-0.54,-0.54,0.39,1718886162.7386992
-0.26,-0.24,0.78,1718886162.7395487
-0.05,-0.09,0.89,1718886162.7395487
-0.77,-0.66,0.25,1718886162.8041036
-0.61,-0.26,0.28,1718886162.8051016
-0.35,-0.22,0.34,1718886162.8051016
-0.31,-0.18,0.39,1718886162.8061001
0.03,-0.08,0.69,1718886162.8707685
0.18,0.06,0.74,1718886162.8717685
0.43,0.12,1.13,1718886162.8717685
0.24,0.12,1.21,1718886162.8727684
0.28,0.05,1.34,1718886162.937433
-0.13,-0.1,0.8,1718886162.938433
-0.28,-0.36,0.52,1718886162.938433
-0.26,-0.24,0.46,1718886163.0044289
