X,Y,Z,Timestamp
-0.39,-0.22,0.29,1718886310.6989508
-0.29,-0.2,0.24,1718886310.6994681
-0.29,-0.22,0.31,1718886310.7000628
-0.34,-0.24,0.37,1718886310.7000628
-0.33,-0.3,0.56,1718886310.700925
-0.41,-0.29,0.57,1718886310.7019312
-0.37,-0.32,0.57,1718886310.7019312
-0.36,-0.27,0.54,1718886310.7019312
-0.37,-0.31,0.57,1718886310.7029305
-0.38,-0.28,0.59,1718886310.7029305
-0.41,-0.26,0.57,1718886310.7039301
-0.42,-0.23,0.6,1718886310.704619
-0.31,-0.23,0.7,1718886310.704619
-0.32,-0.18,0.63,1718886310.7055433
-0.37,-0.19,0.52,1718886310.7055433
-0.27,-0.16,0.67,1718886310.7060544
-0.21,-0.04,0.78,1718886310.7064438
-0.19,-0.17,0.8,1718886310.7069485
-0.42,-0.29,0.56,1718886310.7069485
-0.46,-0.26,0.5,1718886310.7077842
-0.34,-0.24,0.52,1718886310.7077842
-0.45,-0.25,0.53,1718886310.7085574
-0.47,-0.3,0.53,1718886310.7090652
-0.49,-0.31,0.49,1718886310.7090652
-0.44,-0.27,0.59,1718886310.7368214
-0.37,-0.29,0.52,1718886310.7376928
-0.29,-0.25,0.6,1718886310.7376928
-0.34,-0.13,0.62,1718886310.803797
-0.34,-0.25,0.56,1718886310.8047242
-0.33,-0.21,0.52,1718886310.8047242
-0.22,-0.11,0.78,1718886310.805724
-0.39,-0.22,0.54,1718886310.870153
-0.54,-0.33,0.48,1718886310.870662
-0.59,-0.22,0.42,1718886310.871667
-0.49,-0.33,0.41,1718886310.871667
-0.36,-0.16,0.62,1718886310.9372227
-0.46,-0.29,0.37,1718886310.9372227
-0.1,-0.06,0.82,1718886310.9381807
0.08,0.09,0.91,1718886311.003189
-0.21,-0.21,0.62,1718886311.0040562
-0.22,-0.23,0.57,1718886311.0040562
0.1,0.03,0.82,1718886311.005055
-0.23,-0.24,0.62,1718886311.0702434
-0.22,-0.23,0.53,1718886311.070753
-0.08,-0.18,0.7,1718886311.070753
-0.21,-0.26,0.58,1718886311.1372883
-0.18,-0.25,0.59,1718886311.1376395
-0.2,-0.25,0.55,1718886311.1376395
-0.23,-0.16,0.54,1718886311.1376395
-0.16,-0.27,0.59,1718886311.2034311
-0.21,-0.28,0.59,1718886311.2034311
-0.13,-0.25,0.64,1718886311.204296
-0.22,-0.29,0.59,1718886311.204296
-0.2,-0.18,0.57,1718886311.2705266
-0.2,-0.18,0.51,1718886311.2705266
-0.2,-0.23,0.51,1718886311.271429
-0.13,-0.11,0.56,1718886311.3364296
-0.3,-0.19,0.52,1718886311.3373318
-0.24,-0.09,0.49,1718886311.3373318
-0.05,-0.06,0.54,1718886311.3383121
-0.09,-0.04,0.81,1718886311.403072
-0.08,-0.12,0.86,1718886311.4040673
0.08,0.03,0.96,1718886311.4040673
-0.05,-0.0,1.06,1718886311.4695723
-0.27,-0.3,0.81,1718886311.4705722
-0.25,-0.42,0.73,1718886311.4705722
-0.28,-0.37,0.77,1718886311.4705722
-0.09,-0.28,0.93,1718886311.536673
-0.35,-0.36,0.89,1718886311.536673
-0.09,-0.28,0.76,1718886311.5375829
-0.13,-0.28,0.77,1718886311.603933
-0.25,-0.37,0.69,1718886311.603933
-0.27,-0.34,0.58,1718886311.6049147
-0.2,-0.32,0.63,1718886311.6049147
-0.15,-0.29,0.52,1718886311.6699233
-0.2,-0.36,0.51,1718886311.670915
-0.23,-0.28,0.57,1718886311.671918
-0.28,-0.31,0.61,1718886311.671918
-0.33,-0.32,0.46,1718886311.7366972
-0.28,-0.16,0.54,1718886311.7366972
-0.28,-0.23,0.54,1718886311.7376919
-0.34,-0.23,0.57,1718886311.804099
-0.59,-0.43,0.38,1718886311.8043275
-0.6,-0.42,0.39,1718886311.8049898
-0.59,-0.49,0.39,1718886311.8054242
-0.6,-0.45,0.41,1718886311.8705072
-0.66,-0.42,0.41,1718886311.8714333
-0.64,-0.29,0.52,1718886311.8714333
-0.6,-0.72,0.44,1718886311.9370978
-0.56,-0.75,0.47,1718886311.9380164
-0.63,-0.7,0.49,1718886311.9380164
-0.7,-0.45,0.48,1718886311.9390135
-0.65,-0.63,0.54,1718886312.0032291
-0.65,-0.71,0.6,1718886312.0041003
-0.69,-0.74,0.59,1718886312.0041003
-0.67,-0.45,0.58,1718886312.0704892
-0.57,-0.6,0.63,1718886312.0704892
-0.59,-0.75,0.67,1718886312.0713851
-0.6,-0.83,0.64,1718886312.0713851
-0.55,-0.43,0.67,1718886312.1365643
-0.49,-0.45,0.62,1718886312.1374485
-0.53,-0.41,0.64,1718886312.1384456
-0.31,-0.3,0.49,1718886312.2038162
