X,Y,Z,Timestamp
0.18,-0.51,0.74,1718886470.931867
0.11,-0.44,0.74,1718886470.9327478
-0.03,-0.41,0.55,1718886470.9335966
-0.4,-0.38,0.29,1718886470.9335966
-0.58,-0.29,0.31,1718886470.9346023
-0.64,-0.47,0.19,1718886470.9356022
-0.61,-0.39,0.13,1718886470.936128
-0.68,-0.41,0.05,1718886470.936128
-0.62,-0.39,0.22,1718886470.937884
-0.65,-0.46,0.27,1718886470.9383895
-0.62,-0.51,0.34,1718886470.9383895
-0.65,-0.55,0.23,1718886470.9383895
-0.64,-0.54,0.13,1718886470.9393942
-0.76,-0.54,-0.16,1718886470.9393942
-0.34,-0.03,0.49,1718886470.939971
-0.36,-0.08,0.13,1718886470.939971
-0.78,-0.54,-0.14,1718886470.9405696
-0.61,-0.54,0.53,1718886470.9405696
-0.46,-0.51,0.67,1718886470.9411428
-0.41,-0.48,0.64,1718886470.9411428
-0.67,-0.54,0.49,1718886470.941746
-0.66,-0.55,0.05,1718886470.941746
-0.49,-0.37,0.2,1718886470.9423237
-0.39,-0.33,0.54,1718886470.9423237
-0.42,-0.3,0.56,1718886470.9429183
-0.32,-0.65,0.25,1718886470.943923
-0.32,-0.09,0.45,1718886470.943923
-0.25,-0.33,0.57,1718886470.9445772
-0.39,-0.34,0.49,1718886470.9445772
-0.57,-0.46,0.24,1718886470.9445772
0.02,-0.03,0.69,1718886470.9455805
-0.18,-0.25,0.18,1718886470.9455805
-0.11,-0.23,0.22,1718886470.9455805
-0.09,-0.33,0.35,1718886470.9455805
-0.18,-0.31,0.46,1718886470.946581
-0.15,-0.34,0.44,1718886470.946581
-0.08,-0.31,0.41,1718886470.946581
-0.16,-0.34,0.38,1718886470.9475813
-0.18,-0.34,0.49,1718886470.9475813
-0.15,-0.37,0.55,1718886470.9485817
-0.22,-0.34,0.39,1718886470.9485817
-0.24,-0.36,0.47,1718886470.949113
-0.24,-0.33,0.57,1718886470.949624
-0.34,-0.36,0.05,1718886470.949624
-0.28,-0.41,0.07,1718886470.9501367
-0.43,-0.3,0.57,1718886470.9501367
-0.41,-0.28,0.16,1718886470.9506583
-0.39,-0.29,0.56,1718886470.9512572
-0.37,-0.33,-0.15,1718886470.9512572
-0.38,-0.31,0.1,1718886470.9517653
-0.38,-0.34,0.07,1718886470.9517653
-0.34,-0.24,0.62,1718886470.9517653
-0.38,-0.24,0.57,1718886470.9527693
-0.47,-0.29,0.51,1718886470.9527693
-0.47,-0.3,0.55,1718886470.9527693
-0.41,-0.29,0.32,1718886470.9537704
-0.44,-0.35,0.21,1718886470.9543154
-0.47,-0.3,0.32,1718886470.9548151
-0.43,-0.31,0.5,1718886470.9553204
-0.45,-0.38,0.44,1718886470.9558976
-0.51,-0.41,0.26,1718886470.9558976
-0.55,-0.39,-0.15,1718886470.9567914
-0.37,-0.1,0.18,1718886470.9567914
-0.44,-0.28,0.21,1718886470.957672
-0.59,-0.38,0.05,1718886470.9584146
-0.58,-0.32,0.22,1718886470.9584146
-0.49,-0.35,0.22,1718886470.95942
-0.36,-0.41,0.2,1718886470.95942
-0.24,-0.41,0.58,1718886470.9599853
-0.04,-0.38,0.55,1718886470.960498
-0.21,-0.41,0.38,1718886470.9610069
-0.11,-0.23,0.51,1718886470.9610069
0.44,-0.26,0.6,1718886470.9620113
0.48,-0.28,0.61,1718886470.9620113
0.44,-0.38,0.63,1718886470.9628563
0.39,-0.44,0.7,1718886470.9628563
0.36,-0.46,0.73,1718886470.9628563
0.3,-0.44,0.77,1718886470.963863
0.35,-0.49,0.79,1718886470.9643736
0.25,-0.46,0.73,1718886470.9649508
0.17,-0.42,0.69,1718886470.9649508
0.09,-0.43,0.59,1718886470.9654593
0.05,-0.44,0.58,1718886470.9654593
-0.04,-0.43,0.56,1718886470.9659834
-0.0,-0.41,0.49,1718886470.9665246
0.02,-0.35,0.52,1718886470.9665246
0.05,-0.39,0.49,1718886470.9670327
-0.08,-0.36,0.52,1718886470.9675467
-0.69,-0.49,0.15,1718886470.9675467
-0.71,-0.44,0.16,1718886470.9683123
-0.77,-0.48,-0.1,1718886470.9688215
-0.54,-0.22,-0.09,1718886470.9693422
-0.48,-0.31,-0.08,1718886470.9698613
-0.72,-0.44,-0.15,1718886470.9698613
-0.85,-0.53,-0.19,1718886470.9703708
-0.57,-0.08,0.03,1718886470.970877
-0.66,-0.37,0.01,1718886470.9710312
-0.8,-0.65,-0.15,1718886470.9715364
-0.83,-0.59,-0.07,1718886470.9715364
-0.76,-0.46,-0.14,1718886470.9715364
-0.52,-0.29,0.22,1718886470.9725418
-0.8,-0.83,0.18,1718886470.9725418
-0.77,-0.59,0.29,1718886470.9725418
-0.65,-0.72,0.28,1718886470.9735403
-0.71,-0.5,0.31,1718886470.9735403
-0.45,-0.43,0.25,1718886470.9735403
-0.28,-0.19,0.48,1718886470.974541
-0.7,-0.56,0.15,1718886470.974541
-0.74,-0.55,0.15,1718886470.9755414
-0.28,-0.53,0.35,1718886470.9755414
-0.66,-0.55,0.19,1718886470.9755414
-0.58,-0.58,0.28,1718886470.9765463
-0.12,-0.28,0.6,1718886470.9765463
-0.08,-0.17,0.47,1718886470.977542
-0.3,-0.3,0.29,1718886470.977542
-0.13,-0.39,0.35,1718886470.977542
-0.13,-0.35,0.49,1718886470.9785414
-0.15,-0.33,0.52,1718886470.9785414
-0.12,-0.31,0.5,1718886470.979541
-0.18,-0.47,0.54,1718886470.979541
-0.13,-0.37,0.57,1718886470.979541
-0.15,-0.35,0.54,1718886470.9805427
-0.2,-0.33,0.54,1718886470.9805427
-0.21,-0.37,0.38,1718886470.9805427
-0.28,-0.31,0.46,1718886470.981543
-0.27,-0.44,0.39,1718886470.981543
-0.36,-0.39,0.43,1718886470.981543
-0.33,-0.35,0.51,1718886470.9825413
-0.4,-0.35,0.31,1718886470.9825413
-0.42,-0.32,0.31,1718886470.9825413
-0.41,-0.31,0.28,1718886470.9835415
-0.43,-0.28,0.42,1718886470.9835415
-0.42,-0.3,0.35,1718886470.9835415
-0.43,-0.32,0.32,1718886470.984541
-0.43,-0.33,0.27,1718886470.984541
-0.45,-0.3,0.33,1718886470.984541
-0.46,-0.34,0.29,1718886470.9855444
-0.43,-0.33,0.35,1718886470.9855444
-0.43,-0.32,0.26,1718886471.0018814
-0.39,-0.29,0.32,1718886471.0018814
-0.4,-0.28,0.31,1718886471.0028489
-0.4,-0.34,0.39,1718886471.0688353
-0.41,-0.34,0.29,1718886471.069685
-0.36,-0.22,0.46,1718886471.0706947
-0.28,-0.27,0.45,1718886471.0716906
-0.34,-0.23,0.51,1718886471.135873
-0.42,-0.25,0.43,1718886471.1363857
-0.41,-0.19,0.47,1718886471.1373987
-0.53,-0.21,0.47,1718886471.202581
-0.4,-0.15,0.54,1718886471.2030916
-0.44,-0.21,0.48,1718886471.2030916
-0.44,-0.23,0.58,1718886471.2030916
-0.44,-0.31,0.62,1718886471.268207
-0.47,-0.28,0.63,1718886471.2691896
-0.34,-0.25,0.64,1718886471.2691896
-0.3,-0.32,0.67,1718886471.2691896
-0.2,-0.25,0.75,1718886471.3358889
-0.41,-0.19,0.17,1718886471.336403
-0.29,-0.07,0.32,1718886471.336403
-0.29,-0.13,0.42,1718886471.4018135
-0.1,0.01,0.52,1718886471.4026854
-0.1,-0.01,0.23,1718886471.4026854
-0.3,-0.3,0.28,1718886471.4026854
-0.33,-0.15,0.18,1718886471.469193
-0.34,-0.19,0.16,1718886471.469706
-0.34,-0.25,0.53,1718886471.469706
-0.27,-0.14,0.5,1718886471.5358834
-0.39,-0.31,0.09,1718886471.5363967
-0.42,-0.27,0.25,1718886471.5363967
-0.38,-0.3,0.56,1718886471.5363967
-0.26,-0.31,0.36,1718886471.6013641
-0.4,-0.31,0.3,1718886471.6023428
-0.34,-0.28,0.2,1718886471.6023428
-0.41,-0.32,0.25,1718886471.6684797
-0.49,-0.25,0.22,1718886471.6693444
-0.45,-0.21,0.29,1718886471.6693444
-0.41,-0.28,0.2,1718886471.6703436
-0.43,-0.25,0.35,1718886471.7353306
-0.37,-0.23,0.32,1718886471.7362223
-0.27,-0.26,0.4,1718886471.7362223
-0.29,-0.27,0.28,1718886471.8026762
-0.38,-0.23,0.37,1718886471.8026762
-0.37,-0.27,0.31,1718886471.8033872
-0.3,-0.27,0.38,1718886471.8038936
-0.39,-0.27,0.34,1718886471.8694243
-0.41,-0.37,0.44,1718886471.8702314
-0.47,-0.32,0.24,1718886471.8702314
-0.39,-0.28,0.37,1718886471.8712406
-0.43,-0.26,0.23,1718886471.936008
-0.4,-0.26,0.31,1718886471.9368463
-0.38,-0.26,0.15,1718886471.9376078
-0.42,-0.23,0.36,1718886472.0025284
-0.37,-0.27,0.28,1718886472.0030453
-0.34,-0.25,0.41,1718886472.0040526
-0.33,-0.15,0.29,1718886472.0050514
-0.32,-0.24,0.38,1718886472.0684237
-0.34,-0.19,0.29,1718886472.0694249
-0.3,-0.32,0.49,1718886472.0694249
-0.47,-0.28,0.32,1718886472.1360836
