X,Y,Z,Timestamp
-0.39,-0.24,0.65,1718886111.8780715
0.04,0.34,0.8,1718886111.8788729
-0.64,-0.32,0.31,1718886111.8788729
0.13,0.3,0.77,1718886111.8795443
0.11,0.22,0.82,1718886111.8795443
-0.07,0.02,0.73,1718886111.8805506
0.02,-0.01,0.8,1718886111.8814833
0.03,0.12,0.82,1718886111.8817341
-0.01,0.08,0.8,1718886111.8822412
-0.05,0.02,0.69,1718886111.8825414
0.06,0.1,0.74,1718886111.8828826
-0.03,0.06,0.73,1718886111.8833869
-0.06,-0.04,0.65,1718886111.8833869
-0.01,0.06,0.69,1718886111.8843932
0.08,-0.0,0.89,1718886111.8843932
0.2,0.22,0.94,1718886111.8843932
-0.1,-0.16,0.62,1718886111.885393
-0.17,-0.08,0.63,1718886111.885393
-0.14,-0.23,0.65,1718886111.885393
0.19,0.21,0.86,1718886111.886392
0.61,0.51,1.22,1718886111.886392
0.36,0.34,1.04,1718886111.8873942
0.39,0.42,1.09,1718886111.8873942
0.41,0.43,1.1,1718886111.8873942
0.43,0.44,1.14,1718886111.888393
0.4,0.39,1.11,1718886111.888393
0.54,0.57,1.23,1718886111.888393
0.47,0.53,1.16,1718886111.8893933
0.49,0.51,1.11,1718886111.8893933
-0.09,-0.04,0.53,1718886111.8903928
0.19,0.25,0.82,1718886111.891393
0.13,0.17,0.75,1718886111.891393
0.24,0.23,0.89,1718886111.8924005
0.42,0.34,1.06,1718886111.8934078
0.42,0.21,1.06,1718886111.9382002
0.57,0.27,1.19,1718886111.9382002
0.44,0.28,1.05,1718886111.9391947
-0.74,-0.47,-0.1,1718886111.9391947
-0.58,-0.24,0.38,1718886112.005324
-0.11,0.23,1.11,1718886112.005324
-0.46,-0.32,0.31,1718886112.006318
-0.5,-0.29,0.13,1718886112.0715492
-0.54,-0.33,0.27,1718886112.0725603
-0.63,-0.39,0.18,1718886112.0725603
-0.58,-0.33,0.16,1718886112.073559
-0.44,-0.16,0.21,1718886112.1385581
-0.4,-0.26,0.02,1718886112.139558
-0.39,-0.35,-0.04,1718886112.139558
-0.17,-0.14,0.45,1718886112.2048082
-0.38,-0.5,0.29,1718886112.2058058
-0.13,-0.29,0.53,1718886112.2058058
-0.54,-0.93,0.14,1718886112.2058058
-0.59,-0.97,0.19,1718886112.2716892
-0.56,-0.95,0.21,1718886112.2726023
-0.6,-1.01,0.18,1718886112.2726023
-0.44,-0.92,0.3,1718886112.3383162
-0.5,-0.93,0.32,1718886112.3383162
-0.49,-0.91,0.31,1718886112.339323
-0.44,-0.86,0.27,1718886112.340327
-0.52,-0.94,0.23,1718886112.404363
-0.64,-1.01,0.23,1718886112.4054155
-0.53,-0.88,0.34,1718886112.4063625
-0.49,-0.78,0.41,1718886112.4709783
-0.19,-0.74,0.35,1718886112.4719849
-0.34,-0.62,0.47,1718886112.4719849
-0.14,-0.61,0.64,1718886112.472987
-0.18,-0.54,0.66,1718886112.5379171
-0.2,-0.57,0.54,1718886112.5389237
-0.13,-0.5,0.44,1718886112.5389237
-0.03,-0.54,0.63,1718886112.539922
-0.1,-0.58,0.56,1718886112.6051767
-0.1,-0.55,0.54,1718886112.6058722
0.16,-0.53,0.59,1718886112.6058722
0.29,-0.46,0.58,1718886112.6718087
0.22,-0.47,0.53,1718886112.6723661
0.11,-0.48,0.58,1718886112.6723661
-0.0,-0.59,0.68,1718886112.6733737
0.07,-0.52,0.78,1718886112.7379858
0.08,-0.64,0.68,1718886112.7389925
-0.0,-0.52,0.58,1718886112.7389925
-0.03,-0.42,0.45,1718886112.7389925
0.26,-0.21,0.62,1718886112.805377
-0.12,-0.16,0.69,1718886112.805377
0.19,-0.18,0.67,1718886112.805377
-0.15,-0.2,0.62,1718886112.87127
0.09,-0.16,0.8,1718886112.872278
-0.22,-0.57,0.68,1718886112.8728368
0.1,-0.15,0.68,1718886112.8728368
-0.29,-0.45,0.58,1718886112.9381526
0.07,-0.2,0.6,1718886112.9391518
-0.33,-0.15,0.53,1718886112.9391518
-0.08,-0.16,0.46,1718886112.9391518
-0.52,-0.28,0.54,1718886113.0045793
-0.08,-0.08,0.52,1718886113.0055783
-0.74,-0.46,0.54,1718886113.0055783
-0.26,-0.23,1.1,1718886113.0719047
