X,Y,Z,Timestamp
-0.29,-0.18,0.12,1718886243.390864
-0.21,-0.13,-0.23,1718886243.3916018
-0.28,-0.18,-0.14,1718886243.392608
-0.26,-0.17,-0.24,1718886243.3936079
-0.18,-0.22,-0.02,1718886243.3936079
-0.17,-0.28,0.11,1718886243.3936079
-0.06,-0.23,0.3,1718886243.3946064
-0.1,-0.06,0.67,1718886243.3956077
0.03,-0.1,0.63,1718886243.3961465
-0.01,-0.05,0.24,1718886243.396656
0.04,-0.07,0.4,1718886243.3971596
-0.1,-0.09,0.37,1718886243.3971596
-0.12,-0.08,0.45,1718886243.3971596
-0.06,-0.03,0.34,1718886243.398165
-0.06,-0.03,0.45,1718886243.398165
-0.05,0.05,0.34,1718886243.399104
-0.06,-0.01,0.47,1718886243.399104
-0.05,-0.03,0.33,1718886243.399104
-0.07,-0.06,0.5,1718886243.4001086
-0.1,0.06,0.4,1718886243.4001086
-0.1,-0.02,0.47,1718886243.4007208
-0.12,-0.11,0.48,1718886243.401235
0.03,-0.03,0.67,1718886243.401235
-0.04,-0.02,0.68,1718886243.4022393
0.16,0.05,0.7,1718886243.4040055
0.1,0.05,0.72,1718886243.4040055
0.08,0.16,0.77,1718886243.4045217
-0.15,-0.24,0.4,1718886243.4045217
-0.15,-0.15,0.5,1718886243.4713526
-0.24,-0.25,0.46,1718886243.4724233
-0.32,-0.24,0.41,1718886243.4739394
-0.26,-0.25,0.44,1718886243.537055
-0.23,-0.25,0.42,1718886243.5380616
-0.18,-0.26,0.44,1718886243.5390632
-0.15,-0.24,0.47,1718886243.5390632
-0.11,-0.28,0.54,1718886243.604112
-0.14,-0.28,0.53,1718886243.604112
-0.26,-0.27,0.29,1718886243.6049695
-0.32,-0.28,0.02,1718886243.670668
-0.38,-0.24,0.11,1718886243.670668
-0.39,-0.22,-0.06,1718886243.6715307
-0.46,-0.24,0.1,1718886243.6715307
-0.49,-0.26,0.24,1718886243.7375188
-0.54,-0.28,0.23,1718886243.7380316
-0.5,-0.18,0.1,1718886243.7380316
-0.59,-0.21,0.24,1718886243.8045318
-0.67,-0.25,-0.07,1718886243.8050435
-0.62,-0.23,0.22,1718886243.8050435
-0.62,-0.25,0.26,1718886243.8060532
-0.54,-0.18,0.37,1718886243.8708575
-0.72,-0.36,0.32,1718886243.871371
-0.34,-0.34,0.14,1718886243.871371
-0.23,-0.18,0.19,1718886243.9371707
-0.21,-0.21,0.16,1718886243.9371707
-0.26,-0.19,0.34,1718886243.938165
-0.24,-0.21,0.33,1718886243.938165
-0.3,-0.3,0.36,1718886244.0045054
-0.39,-0.29,0.3,1718886244.005014
-0.33,-0.3,0.31,1718886244.0053785
-0.34,-0.28,0.16,1718886244.0058737
-0.38,-0.28,0.26,1718886244.070883
-0.31,-0.11,0.35,1718886244.071445
-0.23,-0.11,0.33,1718886244.07203
-0.29,-0.25,0.18,1718886244.1377068
-0.65,-0.54,0.54,1718886244.1377068
-0.64,-0.52,0.63,1718886244.1387122
-0.69,-0.57,0.62,1718886244.1387122
-0.65,-0.56,0.58,1718886244.204035
-0.58,-0.54,0.57,1718886244.2045708
-0.54,-0.51,0.51,1718886244.2045708
-0.62,-0.49,0.49,1718886244.271332
-0.6,-0.48,0.49,1718886244.2715356
-0.6,-0.47,0.48,1718886244.2720923
-0.54,-0.51,0.5,1718886244.2720923
-0.54,-0.52,0.52,1718886244.3369527
-0.57,-0.51,0.56,1718886244.3379514
-0.54,-0.5,0.52,1718886244.3383226
-0.49,-0.48,0.49,1718886244.403327
-0.68,-0.49,0.34,1718886244.4043264
-0.72,-0.5,0.32,1718886244.4043264
-0.77,-0.5,0.32,1718886244.405328
-0.86,-0.49,0.3,1718886244.4707584
-0.79,-0.48,0.33,1718886244.4712708
-0.61,-0.48,0.36,1718886244.4712708
-0.38,-0.39,0.4,1718886244.536944
0.06,-0.22,0.47,1718886244.5378249
0.05,-0.26,0.43,1718886244.5388253
-0.14,-0.33,0.62,1718886244.5388253
-0.19,-0.37,0.72,1718886244.604037
-0.11,-0.35,0.66,1718886244.604037
-0.16,-0.37,0.59,1718886244.6050367
-0.12,-0.36,0.05,1718886244.6050367
-0.09,-0.39,0.19,1718886244.6701257
-0.43,-0.39,-0.07,1718886244.6711237
-0.43,-0.42,-0.07,1718886244.6711237
-0.44,-0.41,0.03,1718886244.7375662
-0.43,-0.44,0.05,1718886244.7375662
-0.44,-0.47,0.1,1718886244.738195
-0.4,-0.47,0.16,1718886244.738195
-0.44,-0.51,0.23,1718886244.8038473
-0.4,-0.49,0.26,1718886244.8038473
-0.34,-0.47,0.31,1718886244.8048527
-0.28,-0.45,0.22,1718886244.8708694
-0.36,-0.49,0.18,1718886244.8712797
-0.35,-0.41,0.09,1718886244.8717854
-0.36,-0.45,0.49,1718886244.8717854
-0.39,-0.36,0.51,1718886244.9373403
-0.13,-0.2,-0.0,1718886244.9373403
-0.27,-0.2,-0.22,1718886244.9383373
-0.29,-0.3,0.05,1718886245.0041907
