X,Y,Z,Timestamp
-0.2,-0.27,0.8,1718886414.4048722
-0.21,-0.08,0.75,1718886414.4058778
-0.15,-0.34,0.63,1718886414.4065917
0.08,-0.06,0.8,1718886414.4065917
-0.1,-0.29,0.53,1718886414.407288
0.03,-0.37,0.53,1718886414.4079604
0.11,-0.35,0.58,1718886414.4085484
0.23,-0.26,0.77,1718886414.4085484
0.26,-0.26,0.92,1718886414.4085484
0.07,-0.44,0.5,1718886414.4105542
-0.34,-0.78,0.1,1718886414.411103
0.15,-0.32,0.69,1718886414.411909
-0.03,-0.56,0.46,1718886414.411909
0.06,-0.53,0.48,1718886414.412419
0.21,-0.38,0.62,1718886414.412419
0.13,-0.46,0.58,1718886414.412927
0.12,-0.5,0.56,1718886414.412927
-0.01,-0.52,0.55,1718886414.4134412
-0.07,-0.52,0.51,1718886414.4134412
-0.13,-0.52,0.6,1718886414.4134412
-0.42,-0.52,0.56,1718886414.4144447
-0.09,-0.13,0.81,1718886414.4144447
-0.17,-0.11,0.94,1718886414.4144447
-0.14,-0.24,0.68,1718886414.4154449
-0.19,-0.26,0.68,1718886414.4154449
-0.28,-0.24,0.44,1718886414.469351
-0.13,-0.12,0.53,1718886414.4704363
-0.19,-0.21,0.44,1718886414.47095
-0.27,-0.21,0.44,1718886414.5358725
0.08,0.23,0.86,1718886414.536382
-0.34,-0.13,0.29,1718886414.536382
-0.32,-0.16,0.26,1718886414.536382
-0.24,-0.17,0.39,1718886414.6026947
-0.21,-0.21,0.44,1718886414.6026947
-0.16,-0.31,0.58,1718886414.603695
-0.29,-0.39,0.5,1718886414.669378
-0.2,-0.28,0.53,1718886414.669884
-0.26,-0.41,0.55,1718886414.669884
-0.18,-0.27,0.64,1718886414.669884
-0.19,-0.38,0.68,1718886414.7363722
-0.29,-0.29,0.54,1718886414.7368853
-0.22,-0.29,0.6,1718886414.7368853
-0.23,-0.32,0.64,1718886414.7368853
-0.23,-0.32,0.59,1718886414.803042
-0.28,-0.27,0.63,1718886414.8035583
-0.18,-0.26,0.64,1718886414.8035583
-0.23,-0.29,0.65,1718886414.8697422
-0.17,-0.37,0.7,1718886414.8702557
-0.19,-0.26,0.55,1718886414.8702557
-0.13,-0.17,0.6,1718886414.8702557
-0.23,-0.27,0.54,1718886414.935472
-0.15,-0.23,0.59,1718886414.9364834
-0.05,-0.18,0.69,1718886414.9364834
-0.03,-0.2,0.63,1718886415.003044
-0.17,-0.26,0.62,1718886415.0035717
0.12,-0.0,0.8,1718886415.0045795
-0.23,-0.24,0.59,1718886415.0045795
-0.12,-0.23,0.65,1718886415.0687418
-0.21,-0.26,0.66,1718886415.0697527
-0.11,-0.23,0.58,1718886415.0707529
-0.13,-0.18,0.62,1718886415.1359074
-0.11,-0.29,0.44,1718886415.1359074
-0.2,-0.18,0.58,1718886415.136913
-0.23,-0.32,0.31,1718886415.136913
-0.24,-0.29,0.4,1718886415.202802
-0.21,-0.29,0.24,1718886415.2036157
-0.1,-0.2,0.34,1718886415.2037876
-0.18,-0.24,0.46,1718886415.2041714
-0.28,-0.37,0.5,1718886415.2687316
0.18,0.28,1.19,1718886415.2697363
-0.59,-0.62,0.26,1718886415.270337
-0.38,-0.42,0.51,1718886415.3357446
-0.46,-0.53,0.28,1718886415.3357446
-0.08,-0.23,0.45,1718886415.336757
0.04,-0.18,0.42,1718886415.336757
-0.31,-0.4,0.28,1718886415.402448
0.21,0.21,1.0,1718886415.402448
-0.2,-0.19,0.92,1718886415.4034123
-0.64,-0.59,0.51,1718886415.4690595
-0.57,-0.53,0.42,1718886415.4690595
-0.74,-0.72,0.24,1718886415.4699922
-0.56,-0.54,0.28,1718886415.4699922
-0.56,-0.65,0.27,1718886415.5353465
-0.68,-0.8,0.13,1718886415.5363436
-0.49,-0.69,0.39,1718886415.5373383
-0.34,-0.41,0.49,1718886415.5373383
0.08,-0.18,0.82,1718886415.6027997
0.36,0.31,1.02,1718886415.6027997
-0.16,-0.18,0.56,1718886415.603775
-0.27,-0.33,0.44,1718886415.6693733
