X,Y,Z,Timestamp
-0.58,-0.03,0.49,1718886707.5272834
-0.6,-0.01,0.35,1718886707.5278504
-0.57,0.01,0.39,1718886707.5285654
-0.56,-0.02,0.36,1718886707.5285654
-0.58,-0.0,0.36,1718886707.529153
-0.44,-0.01,0.6,1718886707.529896
-0.52,-0.04,0.54,1718886707.530626
-0.44,-0.04,0.56,1718886707.5311344
-0.51,-0.06,0.58,1718886707.5311344
-0.47,-0.03,0.41,1718886707.5321403
-0.55,0.02,0.39,1718886707.5326452
-0.38,0.02,0.56,1718886707.533154
-0.39,0.1,0.73,1718886707.533454
-0.43,-0.02,0.7,1718886707.5338385
-0.36,-0.0,0.62,1718886707.5342007
-0.39,0.05,0.62,1718886707.5347064
-0.42,0.02,0.54,1718886707.535231
-0.47,0.09,0.43,1718886707.535231
-0.47,0.1,0.43,1718886707.5357394
-0.48,0.05,0.35,1718886707.5362957
-0.47,0.07,0.41,1718886707.5362957
-0.48,0.01,0.57,1718886707.536801
-0.39,-0.03,0.73,1718886707.5373175
-0.38,-0.07,0.62,1718886707.5373175
-0.34,0.05,0.53,1718886707.5378232
-0.46,0.04,0.43,1718886707.5383332
-0.26,0.41,0.55,1718886707.5383332
-0.44,0.08,0.54,1718886707.5388412
-0.36,0.05,0.65,1718886707.5388412
-0.28,-0.03,0.66,1718886707.5394032
-0.34,-0.03,0.79,1718886707.5399098
-0.36,0.07,0.67,1718886707.5399098
-0.59,0.23,0.4,1718886707.5404189
-0.52,0.13,0.4,1718886707.5409336
-0.62,0.08,0.39,1718886707.5409336
-0.45,0.18,0.46,1718886707.541441
-0.47,0.13,0.62,1718886707.541441
-0.43,0.17,0.62,1718886707.541947
-0.35,0.12,0.7,1718886707.542606
-0.24,0.01,0.9,1718886707.600015
-0.18,0.28,0.7,1718886707.6005285
-0.54,0.1,0.52,1718886707.6005285
-0.38,0.12,0.48,1718886707.6005285
-0.4,0.21,0.34,1718886707.6666124
-0.34,0.13,0.36,1718886707.6671188
-0.43,0.07,0.39,1718886707.6671188
-0.55,0.12,0.34,1718886707.6671188
-0.44,0.03,0.54,1718886707.7336805
-0.49,0.08,0.45,1718886707.7336805
-0.42,0.05,0.27,1718886707.7346203
-0.33,-0.09,0.65,1718886707.7346203
-0.39,-0.11,0.93,1718886707.8004205
-0.54,-0.12,0.65,1718886707.8009303
-0.63,-0.04,0.35,1718886707.8009303
-0.45,0.02,0.32,1718886707.8671043
-0.53,-0.09,0.6,1718886707.8676186
-0.61,-0.04,0.45,1718886707.8676186
-0.52,0.01,0.21,1718886707.8686252
-0.01,0.33,0.65,1718886707.9333458
-0.35,0.12,0.29,1718886707.9338582
-0.23,0.06,0.32,1718886707.9338582
-0.11,0.06,0.54,1718886707.9338582
-0.05,0.08,0.78,1718886707.9998357
-0.08,-0.04,0.92,1718886707.9998357
-0.43,-0.34,0.77,1718886708.000847
-0.51,-0.28,0.74,1718886708.0670986
-0.46,-0.07,0.78,1718886708.0676117
-0.23,-0.05,1.03,1718886708.0676117
-0.39,-0.26,0.96,1718886708.0676117
-0.05,0.1,1.06,1718886708.1332695
-0.18,0.02,0.68,1718886708.134277
-0.5,-0.2,0.55,1718886708.1347885
-0.1,0.03,0.8,1718886708.1352997
-0.18,0.13,0.74,1718886708.1999867
0.06,0.08,0.74,1718886708.2009737
-0.23,-0.08,0.65,1718886708.2009737
-0.08,0.13,0.68,1718886708.2669787
