X,Y,Z,Timestamp
-0.12,0.03,0.44,1718886547.2279584
-0.1,0.04,0.49,1718886547.2289581
-0.2,-0.0,0.47,1718886547.2289581
0.12,0.44,0.98,1718886547.2309575
0.03,-0.16,0.63,1718886547.2315412
-0.19,-0.04,0.62,1718886547.2325487
-0.26,-0.04,0.55,1718886547.2325487
-0.43,0.04,0.55,1718886547.2335477
-0.37,-0.05,0.66,1718886547.234547
-0.23,-0.14,0.76,1718886547.235303
-0.3,-0.02,0.62,1718886547.235303
-0.2,0.13,0.67,1718886547.235303
-0.04,0.35,0.94,1718886547.2363076
-0.62,-0.21,-0.08,1718886547.2363076
-0.57,-0.02,0.54,1718886547.2363076
-0.42,-0.24,0.22,1718886547.2373085
-0.48,-0.07,0.34,1718886547.2373085
-0.67,-0.32,0.25,1718886547.2373085
-0.67,-0.15,0.31,1718886547.2373085
0.25,0.39,1.17,1718886547.2383084
-0.66,-0.28,0.27,1718886547.2383084
-0.48,-0.1,0.62,1718886547.239313
-0.89,-0.42,0.06,1718886547.239313
-0.2,-0.21,0.38,1718886547.2403119
-0.74,-0.25,0.28,1718886547.2413132
-0.85,-0.4,0.05,1718886547.2413132
-0.69,-0.17,0.4,1718886547.2413132
-0.71,-0.3,0.08,1718886547.2423117
-0.53,-0.18,0.27,1718886547.2423117
-0.44,-0.14,0.3,1718886547.2423117
-0.52,-0.12,0.32,1718886547.2433112
-0.47,-0.05,0.39,1718886547.2433112
-0.51,-0.21,0.24,1718886547.2677295
-0.51,-0.08,0.31,1718886547.2686558
-0.38,0.05,0.48,1718886547.2686558
-0.65,-0.24,0.15,1718886547.3347416
-0.64,-0.19,0.39,1718886547.3347416
-0.64,-0.24,0.38,1718886547.3357043
-0.67,-0.23,0.41,1718886547.336702
-0.67,-0.22,0.35,1718886547.4014952
-0.72,-0.19,0.31,1718886547.4020038
-0.69,-0.13,0.3,1718886547.4020038
-0.61,-0.1,0.37,1718886547.4020038
-0.65,-0.19,0.29,1718886547.4677029
-0.51,-0.07,0.43,1718886547.4686756
-0.69,-0.19,0.39,1718886547.469302
-0.72,-0.28,0.34,1718886547.5348685
-0.83,-0.38,0.21,1718886547.535382
-0.75,-0.28,0.29,1718886547.535382
-0.74,-0.25,0.28,1718886547.536389
-0.34,-0.05,0.36,1718886547.6019502
0.27,0.18,1.01,1718886547.6029267
-0.24,-0.28,0.57,1718886547.6029267
-0.18,-0.12,0.46,1718886547.668281
-0.2,-0.13,0.36,1718886547.668992
-0.22,-0.08,0.47,1718886547.668992
-0.28,-0.16,0.38,1718886547.6699982
-0.05,0.15,0.62,1718886547.734189
-0.3,-0.08,0.22,1718886547.7367682
-0.29,0.04,0.21,1718886547.7373343
0.1,-0.1,0.67,1718886547.7373343
0.28,-0.11,1.14,1718886547.80112
0.19,-0.06,0.82,1718886547.8020227
0.49,0.26,0.92,1718886547.8020227
0.34,0.08,0.93,1718886547.8686852
-0.05,-0.19,0.6,1718886547.8688197
-0.05,-0.23,0.65,1718886547.8693287
0.04,-0.1,0.71,1718886547.8693287
0.12,-0.1,0.78,1718886547.9351923
0.05,-0.13,0.78,1718886547.935705
0.16,-0.12,0.82,1718886547.935705
0.15,-0.08,0.91,1718886547.935705
0.02,-0.12,0.77,1718886548.0014794
-0.0,-0.16,0.7,1718886548.0014794
-0.0,-0.1,0.77,1718886548.0023842
-0.11,-0.22,0.64,1718886548.0682862
-0.11,-0.25,0.62,1718886548.0682862
-0.13,-0.22,0.72,1718886548.0691702
-0.03,-0.13,0.75,1718886548.0691702
-0.12,-0.23,0.69,1718886548.134597
-0.12,-0.08,0.65,1718886548.1354687
0.11,0.23,1.01,1718886548.1357305
-0.4,-0.22,0.41,1718886548.136198
-0.57,-0.34,0.34,1718886548.2020864
-0.33,-0.23,0.68,1718886548.2024205
-0.45,-0.23,0.34,1718886548.2030637
-0.43,-0.21,0.31,1718886548.268448
-0.56,-0.22,0.31,1718886548.268448
-0.39,-0.09,0.51,1718886548.2694492
-0.43,-0.08,0.47,1718886548.2694492
-0.16,0.13,0.75,1718886548.335056
-0.1,0.1,0.62,1718886548.3353386
-0.69,-0.32,0.15,1718886548.335855
-0.53,-0.15,0.39,1718886548.401474
-0.63,-0.13,0.39,1718886548.401474
-0.73,-0.17,0.32,1718886548.4023595
-0.43,0.04,0.49,1718886548.4023595
-0.01,0.27,0.82,1718886548.4677303
-0.39,-0.02,0.51,1718886548.468595
0.13,0.3,1.23,1718886548.469595
-0.12,0.16,0.92,1718886548.469595
-0.73,-0.54,0.21,1718886548.5348673
-0.84,-0.39,0.18,1718886548.5358677
-0.87,-0.41,0.13,1718886548.5358677
-0.92,-0.39,0.13,1718886548.6017542
-0.6,-0.42,0.39,1718886548.6017542
-0.87,-0.34,0.26,1718886548.602694
-0.83,-0.32,0.27,1718886548.602694
-0.86,-0.33,0.39,1718886548.6676538
-0.67,-0.23,0.47,1718886548.6686032
-0.68,-0.21,0.49,1718886548.6686032
-0.69,-0.22,0.43,1718886548.6695967
-0.72,-0.2,0.39,1718886548.7344804
-0.61,-0.27,0.44,1718886548.7353654
-0.37,-0.21,0.32,1718886548.7353654
-0.26,-0.2,0.23,1718886548.801869
