X,Y,Z,Timestamp
-0.21,-0.32,-0.25,1719420556.9199579
0.42,-0.33,-0.53,1719420556.9199579
1.84,0.03,-0.75,1719420556.9204962
1.75,0.28,-0.21,1719420556.9204962
0.96,0.28,0.6,1719420556.9204962
0.75,0.23,0.41,1719420556.9204962
0.47,0.21,0.18,1719420556.9204962
-0.21,0.05,-0.09,1719420556.9215307
0.01,0.16,-0.09,1719420556.9215307
0.35,0.05,0.1,1719420556.9215307
0.52,0.1,0.49,1719420556.9215307
0.59,0.2,0.82,1719420556.924536
0.63,0.21,1.33,1719420556.924536
-0.08,0.18,0.57,1719420556.9255517
-0.03,0.32,0.54,1719420556.9912658
-0.1,0.23,0.49,1719420556.9922743
0.12,0.28,0.63,1719420556.9924116
0.27,0.25,0.53,1719420556.9924116
0.28,0.23,0.46,1719420557.0579677
0.13,0.32,0.46,1719420557.0579677
0.18,0.2,0.36,1719420557.0579677
0.21,0.27,0.32,1719420557.0579677
0.29,0.16,0.29,1719420557.1245303
0.3,0.18,0.36,1719420557.1254382
0.34,0.19,0.29,1719420557.125699
0.35,0.24,0.49,1719420557.125699
0.23,0.23,0.44,1719420557.1911786
-0.06,0.13,0.51,1719420557.1922846
-0.49,0.11,0.34,1719420557.1922846
-0.73,0.1,0.22,1719420557.1922846
-0.83,0.1,0.23,1719420557.257848
-1.29,-0.23,-0.06,1719420557.257848
-1.11,-0.28,0.09,1719420557.2590988
-0.89,-0.21,-0.12,1719420557.2590988
-0.85,-0.26,-0.64,1719420557.324524
-0.36,-0.49,-0.71,1719420557.3256009
0.73,-0.4,-1.07,1719420557.3256009
1.3,-0.41,-0.56,1719420557.3912654
0.16,-0.37,0.24,1719420557.392293
-0.03,-0.49,0.69,1719420557.392293
0.19,-0.34,0.54,1719420557.392293
0.31,-0.47,0.43,1719420557.45786
0.13,-0.54,0.49,1719420557.45892
0.03,-0.52,0.43,1719420557.45892
0.08,-0.67,0.44,1719420557.4599395
0.03,-0.87,0.64,1719420557.5247798
0.03,-0.75,0.92,1719420557.5254593
0.19,-0.79,1.24,1719420557.5254593
0.19,-0.79,1.04,1719420557.5911784
0.1,-0.85,0.99,1719420557.5922556
0.34,-1.06,0.8,1719420557.5924182
0.26,-1.06,0.78,1719420557.5931966
0.08,-1.16,1.02,1719420557.657848
0.45,-1.32,1.54,1719420557.6588676
0.31,-1.54,1.68,1719420557.6588676
0.35,-1.73,1.45,1719420557.6599126
0.02,-1.8,1.31,1719420557.7245295
0.2,-1.81,1.04,1719420557.7257361
-0.26,-1.68,0.46,1719420557.727221
-0.48,-1.34,-0.1,1719420557.791179
-0.45,-0.19,0.47,1719420557.791179
-0.74,-0.13,0.39,1719420557.792081
-0.99,-0.33,0.52,1719420557.7922804
-0.86,-0.31,0.34,1719420557.8578472
