X,Y,Z,Timestamp
-0.13,-0.18,0.38,1719420964.6380258
-0.14,-0.14,0.23,1719420964.6388183
-0.08,0.06,0.31,1719420964.6388183
-0.34,-0.23,0.49,1719420964.6398203
-0.37,-0.24,0.54,1719420964.6403742
-0.28,-0.21,0.56,1719420964.6403742
-0.39,-0.26,0.67,1719420964.6403742
-0.38,-0.2,0.7,1719420964.6413841
-0.47,-0.24,0.7,1719420964.6413841
-0.47,-0.23,0.73,1719420964.6413841
-0.49,-0.26,0.59,1719420964.658408
-0.49,-0.18,0.6,1719420964.658408
-0.39,-0.19,0.65,1719420964.658408
-0.34,-0.16,0.57,1719420964.725181
-0.28,-0.19,0.56,1719420964.725181
-0.26,-0.06,0.54,1719420964.725181
-0.38,-0.01,0.51,1719420964.725181
-0.5,-0.26,0.36,1719420964.7899745
-0.63,-0.3,0.41,1719420964.791567
-0.85,-0.34,0.5,1719420964.791567
-0.95,-0.44,0.62,1719420964.853722
-0.98,-0.51,0.6,1719420964.8581758
-1.08,-0.51,0.55,1719420964.8586195
-1.1,-0.58,0.52,1719420964.8586195
-1.01,-0.56,0.59,1719420964.925055
-0.97,-0.46,0.54,1719420964.9251058
-0.94,-0.45,0.44,1719420964.9251058
-0.76,-0.37,0.44,1719420964.9904745
-0.64,-0.36,0.41,1719420964.991562
-0.51,-0.35,0.49,1719420964.991562
-0.29,-0.29,0.55,1719420964.991562
0.07,-0.36,0.7,1719420965.0583131
-0.05,-0.24,0.76,1719420965.059358
-0.1,-0.39,0.58,1719420965.059358
-0.12,-0.29,0.62,1719420965.059358
-0.18,-0.31,0.67,1719420965.1243775
-0.31,-0.31,0.63,1719420965.1247473
-0.35,-0.34,0.51,1719420965.1247473
-0.33,-0.39,0.53,1719420965.1905675
-0.26,-0.3,0.45,1719420965.19151
-0.39,-0.36,0.38,1719420965.19151
-0.42,-0.23,0.26,1719420965.19151
-0.4,-0.24,0.18,1719420965.2580862
-0.42,-0.2,0.1,1719420965.25814
-0.49,-0.18,0.04,1719420965.25814
-0.44,-0.72,0.92,1719420965.3243747
-0.49,-0.7,0.9,1719420965.3248196
-0.49,-0.73,0.98,1719420965.3248196
-0.56,-0.67,0.98,1719420965.3248196
-0.49,-0.6,0.89,1719420965.3903773
-0.44,-0.53,0.85,1719420965.3915267
-0.57,-0.66,0.77,1719420965.3915267
-0.49,-0.52,0.73,1719420965.457353
-0.36,-0.5,0.68,1719420965.4581733
-0.49,-0.51,0.72,1719420965.4581733
-0.44,-0.48,0.64,1719420965.4581733
-0.51,-0.45,0.64,1719420965.5241902
-0.47,-0.44,0.69,1719420965.5249982
-0.44,-0.4,0.59,1719420965.526046
-0.04,-0.45,0.46,1719420965.591509
-0.11,-0.43,0.45,1719420965.5918481
-0.04,-0.39,0.52,1719420965.5918481
-0.1,-0.42,0.46,1719420965.5928648
-0.12,-0.41,0.51,1719420965.657378
-0.21,-0.41,0.59,1719420965.658188
-0.15,-0.44,0.49,1719420965.658188
-0.23,-0.41,0.34,1719420965.658188
-0.33,-0.39,0.45,1719420965.7252736
-0.38,-0.41,0.52,1719420965.7252736
-0.39,-0.42,0.39,1719420965.7257352
-0.62,-0.39,0.28,1719420965.7915852
-0.72,-0.3,0.39,1719420965.7915852
-0.7,-0.35,0.33,1719420965.7915852
-0.59,-0.45,0.78,1719420965.792703
-0.54,-0.44,0.95,1719420965.8583624
-0.54,-0.51,0.82,1719420965.8583624
-0.44,-0.51,0.88,1719420965.8583624
-0.48,-0.49,1.02,1719420965.9248972
-0.46,-0.49,1.08,1719420965.9248972
-0.45,-0.49,0.93,1719420965.9248972
-0.44,-0.41,0.78,1719420965.9248972
-0.49,-0.4,0.6,1719420965.9916675
-0.41,-0.34,0.55,1719420965.9916675
-0.36,-0.31,0.39,1719420965.9916675
-0.46,-0.39,0.47,1719420966.0572603
