X,Y,Z,Timestamp
-0.35,-0.44,0.62,1719421357.549869
-0.38,-0.36,0.46,1719421357.5505335
-0.38,-0.36,0.44,1719421357.5505335
-0.28,-0.39,0.49,1719421357.5505335
-0.26,-0.27,0.49,1719421357.5505335
-0.28,-0.36,0.52,1719421357.5515518
0.07,-0.19,0.42,1719421357.5515518
0.1,-0.12,0.49,1719421357.5515518
0.07,-0.15,0.41,1719421357.5515518
0.03,-0.11,0.37,1719421357.5515518
-0.1,-0.08,0.38,1719421357.5515518
-0.03,-0.1,0.32,1719421357.5525517
-0.17,-0.06,0.37,1719421357.5525517
-0.16,-0.15,0.41,1719421357.5525517
-0.23,-0.18,0.44,1719421357.6087346
-0.28,-0.18,0.42,1719421357.6097085
-0.34,-0.22,0.39,1719421357.609941
-0.3,-0.24,0.49,1719421357.6753752
-0.39,-0.12,0.47,1719421357.6765285
-0.35,-0.29,0.44,1719421357.6765285
-0.29,-0.26,0.54,1719421357.6765285
-0.09,0.05,0.47,1719421357.7420654
-0.15,0.03,0.65,1719421357.7430947
-0.24,-0.02,0.64,1719421357.7430947
-0.3,0.08,0.48,1719421357.7430947
-0.33,0.13,0.42,1719421357.8087099
-0.46,0.14,0.17,1719421357.81005
-0.49,0.04,0.08,1719421357.81005
-0.41,0.18,0.07,1719421357.875375
-0.53,0.07,-0.1,1719421357.875375
-0.61,0.08,-0.05,1719421357.8766034
-0.54,0.14,0.1,1719421357.8766034
-0.54,0.03,0.19,1719421357.9420466
-0.49,0.12,0.06,1719421357.9430754
-0.48,-0.05,0.02,1719421357.9430754
-0.61,-0.09,0.03,1719421357.9430754
-0.56,-0.1,0.13,1719421358.0087094
-0.56,-0.25,0.28,1719421358.0096922
-0.52,-0.31,0.29,1719421358.0096922
-0.41,-0.31,0.3,1719421358.075393
-0.24,-0.3,0.44,1719421358.0764718
-0.11,-0.29,0.49,1719421358.0764718
-0.1,-0.36,0.58,1719421358.0774982
-0.2,-0.39,0.65,1719421358.1420467
-0.25,-0.32,0.73,1719421358.1428545
-0.31,-0.41,0.63,1719421358.1430113
-0.24,-0.39,0.45,1719421358.2087286
-0.1,-0.39,0.44,1719421358.2087286
-0.07,-0.43,0.56,1719421358.2097023
-0.12,-0.42,0.68,1719421358.2097023
0.04,-0.62,0.73,1719421358.275397
-0.04,-0.59,0.69,1719421358.2761838
-0.1,-0.48,0.78,1719421358.2763174
-0.09,-0.51,0.79,1719421358.3420477
-0.11,-0.58,0.78,1719421358.3430586
-0.02,-0.47,0.71,1719421358.3430586
0.02,-0.54,0.5,1719421358.3430586
-0.03,-0.38,0.46,1719421358.4044824
-0.02,-0.47,0.47,1719421358.4095829
0.09,-0.45,0.51,1719421358.4095829
-0.03,-0.46,0.54,1719421358.4095829
0.02,-0.42,0.61,1719421358.4753852
-0.04,-0.49,0.61,1719421358.476324
-0.05,-0.43,0.59,1719421358.476324
0.05,-0.44,0.56,1719421358.5420418
-0.59,-0.44,0.44,1719421358.5432389
-0.72,-0.53,0.43,1719421358.5442708
-0.7,-0.44,0.4,1719421358.5442708
-0.76,-0.46,0.45,1719421358.6087046
-0.65,-0.49,0.53,1719421358.609732
-0.67,-0.44,0.52,1719421358.609732
-0.64,-0.45,0.51,1719421358.6753862
-0.71,-0.47,0.49,1719421358.676226
-0.83,-0.44,0.54,1719421358.6764703
-0.83,-0.47,0.52,1719421358.6764703
-0.83,-0.49,0.5,1719421358.7420526
-0.85,-0.38,0.5,1719421358.7430582
-0.84,-0.48,0.45,1719421358.7430582
-0.71,-0.35,0.59,1719421358.7430582
-0.25,-0.39,0.86,1719421358.8087218
