X,Y,Z,Timestamp
-0.45,-0.98,1.22,1719420321.290347
-0.43,-0.75,0.03,1719420321.2909653
0.13,-0.47,-0.48,1719420321.2915425
-0.04,-0.45,0.15,1719420321.2915425
-0.15,-0.3,0.65,1719420321.2915425
0.13,0.05,0.14,1719420321.2915425
0.09,-0.02,-0.0,1719420321.2915425
-0.09,0.09,0.04,1719420321.2925596
-0.09,0.03,0.08,1719420321.2925596
0.06,0.04,0.21,1719420321.2925596
-0.21,0.07,0.25,1719420321.2925596
-0.47,-0.08,0.38,1719420321.3420274
-0.34,0.09,0.52,1719420321.3425343
-0.72,0.03,0.54,1719420321.3425343
-1.16,0.08,0.37,1719420321.408978
