X,Y,Z,Timestamp
0.04,-0.25,0.69,1719420740.9257412
-0.07,-0.22,0.76,1719420740.9263885
-0.1,-0.27,0.8,1719420740.9263885
-0.01,-0.25,1.0,1719420740.9269826
-0.12,-0.2,0.95,1719420740.9269826
-0.19,-0.26,0.97,1719420740.9269826
-0.3,-0.28,1.06,1719420740.9269826
-0.23,-0.33,1.12,1719420740.9269826
-0.26,-0.36,1.06,1719420740.9280267
-0.28,-0.26,1.08,1719420740.9280267
-0.34,-0.34,0.99,1719420740.9280267
-0.15,-0.06,0.01,1719420740.9280267
-0.14,0.03,0.03,1719420740.9280267
-0.15,0.05,-0.02,1719420740.929027
-0.07,0.09,0.07,1719420740.929027
0.01,0.12,0.07,1719420740.929027
-0.19,0.14,0.13,1719420740.929027
-0.13,0.14,0.1,1719420740.929027
-0.12,0.14,0.28,1719420740.929027
-0.24,0.04,0.36,1719420740.930027
-0.16,0.1,0.41,1719420740.930027
-0.15,0.05,0.38,1719420740.9710548
-0.18,0.03,0.42,1719420740.9710548
-0.13,0.05,0.49,1719420740.9710548
-0.03,0.05,0.49,1719420740.972058
-0.02,0.07,0.6,1719420741.0376194
-0.25,0.03,0.65,1719420741.0376194
-0.22,-0.04,0.73,1719420741.0376194
-0.19,0.02,0.67,1719420741.1042957
-0.08,-0.06,0.67,1719420741.1042957
-0.21,-0.01,0.59,1719420741.1042957
-0.23,0.05,0.6,1719420741.1052992
-0.1,0.06,0.59,1719420741.1709678
-0.08,-0.0,0.58,1719420741.1709678
-0.14,-0.01,0.63,1719420741.1719706
-0.09,-0.05,0.57,1719420741.1719706
-0.1,-0.03,0.64,1719420741.237638
-0.15,-0.04,0.52,1719420741.237638
-0.23,0.02,0.51,1719420741.238642
-0.18,0.03,0.58,1719420741.3043008
-0.18,0.07,0.51,1719420741.3043008
0.51,-0.07,0.65,1719420741.3043008
0.39,-0.03,0.58,1719420741.3053045
0.3,-0.1,0.66,1719420741.3709676
0.13,-0.03,0.59,1719420741.3709676
-0.05,-0.13,0.6,1719420741.3709676
-0.08,-0.08,0.54,1719420741.3719704
-0.1,-0.07,0.34,1719420741.4376378
-0.25,0.03,0.29,1719420741.4386413
-0.36,-0.09,0.26,1719420741.4386413
-0.52,-0.05,0.35,1719420741.5042825
-0.75,-0.07,0.36,1719420741.5042825
-0.83,-0.07,0.4,1719420741.5042825
-0.87,-0.1,0.36,1719420741.505285
-0.79,-0.08,0.47,1719420741.570626
-0.72,-0.05,0.45,1719420741.5716534
-0.13,0.01,0.35,1719420741.5716534
-0.1,-0.03,0.25,1719420741.6369336
-0.16,-0.0,0.22,1719420741.6389396
-0.09,-0.04,0.19,1719420741.6412692
-0.2,-0.05,0.1,1719420741.6422958
-0.23,-0.04,-0.02,1719420741.7046874
-0.26,-0.15,0.12,1719420741.7046874
-0.32,-0.16,0.16,1719420741.70569
-0.4,-0.08,0.39,1719420741.70569
-0.32,-0.16,0.42,1719420741.7713792
-0.28,-0.19,0.49,1719420741.7713792
-0.33,-0.31,0.6,1719420741.7723794
-0.2,-0.29,0.63,1719420741.836933
-0.2,-0.18,0.78,1719420741.838894
-0.4,-0.21,0.8,1719420741.8402624
-0.57,-0.24,0.67,1719420741.8411605
-0.59,-0.27,0.7,1719420741.9042823
-0.64,-0.36,0.65,1719420741.905286
-0.8,-0.29,0.56,1719420741.905286
-0.86,-0.35,0.54,1719420741.9710534
-0.78,-0.35,0.46,1719420741.9710534
-0.75,-0.35,0.36,1719420741.9710534
-0.79,-0.31,0.39,1719420741.972056
-0.68,-0.37,0.28,1719420742.0376189
-0.49,-0.22,0.36,1719420742.0376189
-0.46,-0.2,0.41,1719420742.0386221
-0.34,-0.29,0.42,1719420742.1043057
-0.24,-0.29,0.38,1719420742.1048121
0.08,-0.28,0.69,1719420742.1048121
-0.11,-0.19,0.68,1719420742.1048121
-0.21,-0.27,0.78,1719420742.1709557
-0.2,-0.29,0.79,1719420742.1719596
-0.16,-0.29,0.82,1719420742.1719596
-0.18,-0.27,1.01,1719420742.2376356
-0.32,-0.34,0.96,1719420742.2376356
-0.28,-0.26,0.88,1719420742.2376356
-0.34,-0.31,0.93,1719420742.2386384
-0.26,-0.3,1.04,1719420742.3042822
