X,Y,Z,Timestamp
-0.12,-0.25,0.8,1719421153.695317
-0.14,-0.1,0.55,1719421153.6965883
-0.32,-0.16,0.36,1719421153.6965883
-0.31,-0.13,0.34,1719421153.6972709
-0.23,-0.17,0.31,1719421153.697603
-0.2,-0.22,0.35,1719421153.697603
-0.26,-0.19,0.34,1719421153.697603
-0.31,-0.07,0.4,1719421153.6981053
-0.3,-0.16,0.45,1719421153.6981053
-0.23,-0.17,0.5,1719421153.6981053
-0.23,-0.19,0.44,1719421153.6991065
-0.21,-0.14,0.42,1719421153.6991065
-0.28,-0.1,0.37,1719421153.6991065
-0.22,-0.15,0.44,1719421153.7001069
-0.16,-0.11,0.6,1719421153.7001069
-0.08,-0.02,0.59,1719421153.7008002
-0.13,-0.03,0.59,1719421153.7008002
-0.1,-0.06,0.62,1719421153.7457569
-0.23,-0.04,0.64,1719421153.7457569
-0.22,-0.12,0.62,1719421153.7457569
-0.14,-0.11,0.66,1719421153.746934
-0.18,-0.03,0.67,1719421153.8124185
-0.15,-0.03,0.62,1719421153.8124185
-0.22,-0.01,0.57,1719421153.8124185
-0.22,-0.08,0.53,1719421153.879093
-0.13,-0.03,0.61,1719421153.879093
-0.21,-0.1,0.51,1719421153.879093
-0.16,-0.09,0.64,1719421153.8800955
-0.13,-0.12,0.51,1719421153.9457576
-0.07,-0.03,0.54,1719421153.9467611
-0.09,-0.12,0.57,1719421153.9467611
-0.06,-0.06,0.52,1719421154.0124428
-0.07,-0.14,0.41,1719421154.0124428
-0.02,-0.1,0.48,1719421154.0124428
-0.07,-0.02,0.49,1719421154.0134456
-0.08,-0.08,0.42,1719421154.0790994
-0.07,-0.1,0.5,1719421154.0790994
0.01,-0.05,0.44,1719421154.0790994
0.13,-0.06,0.48,1719421154.1457813
0.13,-0.0,0.57,1719421154.1457813
0.2,-0.03,0.49,1719421154.1457813
0.07,-0.1,0.4,1719421154.1468022
0.13,-0.09,0.49,1719421154.2124407
-0.23,-0.22,0.61,1719421154.2124407
-0.09,-0.23,0.57,1719421154.2134433
-0.18,-0.2,0.57,1719421154.2134433
-0.2,-0.22,0.6,1719421154.2791069
-0.29,-0.18,0.68,1719421154.2796288
-0.35,-0.24,0.65,1719421154.2796288
-0.32,-0.28,0.68,1719421154.345747
-0.28,-0.28,0.64,1719421154.345747
-0.4,-0.12,0.72,1719421154.345747
-0.41,-0.16,0.65,1719421154.346751
-0.37,-0.22,0.64,1719421154.41199
-0.35,-0.27,0.7,1719421154.4129906
-0.46,-0.25,0.75,1719421154.4139907
-0.44,-0.29,0.73,1719421154.4790988
-0.38,-0.34,0.67,1719421154.4790988
-0.41,-0.34,0.67,1719421154.4801013
-0.49,-0.26,0.59,1719421154.4801013
-0.42,-0.36,0.51,1719421154.5457683
-0.44,-0.38,0.59,1719421154.5457683
-0.53,-0.25,0.57,1719421154.5457683
-0.41,-0.31,0.6,1719421154.5469334
-0.45,-0.27,0.5,1719421154.6124241
-0.46,-0.38,0.44,1719421154.6124241
-0.44,-0.33,0.47,1719421154.6124241
-0.41,-0.33,0.48,1719421154.679093
-0.39,-0.31,0.52,1719421154.679093
-0.38,-0.34,0.54,1719421154.679093
-0.27,-0.38,0.5,1719421154.680095
0.17,-0.17,0.69,1719421154.745762
0.23,-0.18,0.56,1719421154.745762
0.25,-0.22,0.69,1719421154.746765
0.26,-0.15,0.75,1719421154.812429
0.17,-0.15,0.72,1719421154.812429
0.1,-0.13,0.74,1719421154.812429
0.12,-0.2,0.73,1719421154.8134317
0.08,-0.19,0.65,1719421154.8790858
0.11,-0.19,0.68,1719421154.8790858
-0.02,-0.17,0.55,1719421154.8790858
0.01,-0.28,0.63,1719421154.8800879
0.03,-0.26,0.66,1719421154.9452364
0.06,-0.19,0.74,1719421154.9462693
-0.0,-0.28,0.75,1719421154.9462693
0.12,-0.23,0.73,1719421154.9462693
0.03,-0.23,0.87,1719421155.0124266
-0.1,-0.28,0.8,1719421155.0124266
-0.2,-0.38,0.71,1719421155.0124266
-0.13,-0.34,0.76,1719421155.079092
