X,Y,Z,Timestamp
-0.34,-0.59,0.1,1719421635.6229417
-0.29,-0.56,0.51,1719421635.6229417
-0.21,-0.49,0.79,1719421635.6234932
-0.17,-0.41,0.93,1719421635.6234932
-0.22,-0.46,0.88,1719421635.6234932
-0.31,-0.39,0.78,1719421635.6234932
-0.29,-0.41,0.71,1719421635.6234932
-0.27,-0.41,0.54,1719421635.6245394
-0.26,-0.42,0.31,1719421635.6245394
-0.39,-0.36,0.28,1719421635.6245394
-0.32,-0.28,0.14,1719421635.6251605
-0.25,-0.33,0.28,1719421635.6251605
-0.33,-0.33,0.37,1719421635.6251605
-0.23,-0.35,0.27,1719421635.6251605
-0.21,-0.23,0.28,1719421635.6251605
-0.19,-0.28,0.31,1719421635.6261752
-0.16,-0.19,0.46,1719421635.6261752
-0.27,-0.22,0.52,1719421635.6261752
-0.3,-0.25,0.54,1719421635.6261752
-0.26,-0.26,0.52,1719421635.6261752
-0.43,-0.25,0.6,1719421635.6271775
-0.41,-0.2,0.44,1719421635.6434243
-0.38,-0.24,0.51,1719421635.6434243
-0.29,-0.29,0.65,1719421635.6434243
-0.25,-0.22,0.96,1719421635.7096336
-0.23,-0.34,1.21,1719421635.7100518
-0.13,-0.25,1.36,1719421635.7106516
-0.44,-0.05,0.71,1719421635.7106516
-0.47,0.06,0.33,1719421635.7766817
-0.38,0.18,-0.19,1719421635.7770379
-0.15,0.27,-0.44,1719421635.7770379
0.14,0.38,-0.48,1719421635.839632
0.12,0.34,-0.41,1719421635.8435504
-0.13,0.47,-0.67,1719421635.8445697
-0.19,0.41,-0.32,1719421635.8445697
-0.02,0.36,-0.26,1719421635.9096398
-0.05,0.44,-0.5,1719421635.9105039
-0.13,0.34,-1.0,1719421635.9105039
-0.26,0.33,-0.9,1719421635.9763036
-0.34,0.31,-0.83,1719421635.977028
-0.15,0.27,-1.0,1719421635.977028
-0.41,0.13,-1.7,1719421635.9780805
-0.51,-1.53,3.3,1719421636.0435
-0.03,-1.41,1.92,1719421636.0435
-0.03,-1.45,1.75,1719421636.044518
-0.07,-1.33,1.32,1719421636.044518
-0.16,-1.49,1.55,1719421636.1096327
-0.51,-1.46,1.47,1719421636.110528
-0.78,-1.35,0.93,1719421636.110528
-0.39,-1.28,0.71,1719421636.1763139
0.13,-1.03,0.44,1719421636.1768324
0.34,-0.77,-0.12,1719421636.1768324
0.18,-0.44,-0.68,1719421636.1768324
-0.29,-0.26,-0.93,1719421636.2434583
-0.22,-0.07,-0.72,1719421636.2434583
-0.21,0.15,-0.47,1719421636.2444818
-2.05,-2.39,3.3,1719421636.3096387
-0.47,-1.27,3.3,1719421636.3102186
-1.06,-1.28,1.47,1719421636.3102186
-0.69,-1.22,1.98,1719421636.3112512
-0.18,-1.01,1.4,1719421636.3766565
