X,Y,Z,Timestamp
0.32,-0.52,0.63,1719421947.3003187
0.21,-0.47,0.75,1719421947.3009648
0.18,-0.52,0.72,1719421947.3009648
0.15,-0.44,0.72,1719421947.3015158
-0.07,-0.47,0.54,1719421947.3015158
0.06,-0.55,0.57,1719421947.3015158
-0.02,-0.49,0.71,1719421947.3015158
0.04,-0.47,0.63,1719421947.3015158
-0.06,-0.44,0.58,1719421947.3025384
-0.1,-0.44,0.53,1719421947.3025384
-0.19,-0.35,0.42,1719421947.3025384
-0.2,-0.34,0.39,1719421947.3025384
-0.08,-0.44,0.51,1719421947.3025384
-0.15,-0.47,0.58,1719421947.3035402
-0.11,-0.47,0.59,1719421947.3035402
-0.07,-0.39,0.64,1719421947.3035402
-0.13,-0.38,0.65,1719421947.3035402
-0.17,-0.49,0.56,1719421947.3035402
-0.12,-0.51,0.54,1719421947.3035402
-0.1,-0.4,0.52,1719421947.3045423
-0.08,-0.4,0.65,1719421947.3045423
-0.14,-0.42,0.49,1719421947.3045423
-0.24,-0.44,0.59,1719421947.3045423
-0.19,-0.45,0.5,1719421947.3045423
-0.27,-0.41,0.5,1719421947.305544
-0.18,-0.32,0.57,1719421947.305544
-0.2,-0.44,0.44,1719421947.305544
-0.21,-0.39,0.49,1719421947.305544
-0.11,-0.45,0.59,1719421947.3063354
-0.12,-0.46,0.58,1719421947.3063354
-0.12,-0.3,0.54,1719421947.3063354
-0.16,-0.35,0.56,1719421947.3063354
-0.08,-0.33,0.54,1719421947.3063354
-0.06,-0.32,0.54,1719421947.3073683
-0.1,-0.45,0.57,1719421947.3073683
-0.08,-0.34,0.67,1719421947.3073683
-0.08,-0.41,0.72,1719421947.3073683
0.02,-0.44,0.68,1719421947.3073683
-0.11,-0.3,0.76,1719421947.3083713
-0.08,-0.42,0.59,1719421947.3083713
-0.17,-0.37,0.43,1719421947.3083713
-0.23,-0.52,0.67,1719421947.3083713
-0.31,-0.41,0.6,1719421947.3083713
-0.44,-0.41,0.58,1719421947.3083713
-0.38,-0.51,0.66,1719421947.309373
-0.44,-0.49,0.62,1719421947.309373
-0.34,-0.42,0.67,1719421947.309373
-0.39,-0.44,0.52,1719421947.309373
-0.27,-0.45,0.6,1719421947.309373
-0.31,-0.58,0.65,1719421947.310375
-0.28,-0.58,0.59,1719421947.310375
-0.37,-0.55,0.76,1719421947.310375
-0.44,-0.63,0.75,1719421947.310375
-0.44,-0.64,1.02,1719421947.310375
-0.52,-0.6,1.1,1719421947.3113751
-0.4,-0.22,0.35,1719421947.3113751
-0.34,-0.16,0.21,1719421947.3113751
-0.18,-0.1,0.3,1719421947.3113751
-0.27,-0.03,0.13,1719421947.3113751
-0.4,-0.07,0.13,1719421947.3124301
-0.45,-0.12,0.2,1719421947.3124301
-0.3,-0.02,0.59,1719421947.3124301
-0.03,0.01,0.72,1719421947.3124301
-0.06,-0.03,0.63,1719421947.3124301
-0.15,0.02,0.62,1719421947.313442
-0.15,-0.12,0.34,1719421947.313442
-0.09,-0.08,0.31,1719421947.313442
-0.11,-0.02,0.21,1719421947.313442
0.12,-0.03,0.29,1719421947.313442
-0.22,-0.1,0.58,1719421947.3144422
-0.09,-0.11,0.57,1719421947.3144422
-0.11,-0.16,0.66,1719421947.3144422
-0.18,-0.15,0.68,1719421947.3144422
-0.12,-0.17,0.67,1719421947.3144422
-0.16,-0.23,0.57,1719421947.3144422
-0.1,-0.15,0.49,1719421947.3154423
-0.19,-0.16,0.51,1719421947.3154423
-0.21,-0.13,0.51,1719421947.3154423
-0.24,-0.09,0.38,1719421947.3154423
-0.34,-0.05,0.44,1719421947.3154423
-0.23,-0.14,0.66,1719421947.316443
-0.19,-0.14,0.64,1719421947.364417
-0.08,-0.16,0.74,1719421947.364417
-0.15,-0.2,0.59,1719421947.364417
-0.27,-0.15,0.59,1719421947.3654208
-0.26,-0.05,0.52,1719421947.431116
-0.29,-0.02,0.42,1719421947.431116
-0.17,-0.17,0.52,1719421947.43212
-0.14,-0.13,0.49,1719421947.4977837
-0.15,-0.13,0.56,1719421947.4977837
-0.18,-0.13,0.5,1719421947.4977837
-0.18,-0.22,0.65,1719421947.498786
-0.2,-0.13,0.67,1719421947.564452
-0.16,-0.18,0.56,1719421947.5654557
-0.18,-0.2,0.62,1719421947.5654557
-0.19,-0.14,0.74,1719421947.6311269
-0.34,-0.1,0.67,1719421947.6311269
-0.72,-0.23,0.23,1719421947.6311269
-0.41,-0.28,0.26,1719421947.6321292
-0.31,-0.29,0.07,1719421947.697796
-0.33,-0.29,0.03,1719421947.697796
-0.13,-0.28,0.05,1719421947.6988
-0.09,-0.29,0.19,1719421947.7644567
