X,Y,Z,Timestamp
-0.19,0.1,0.52,1718106365.3579838
-0.2,0.17,0.49,1718106365.3579838
-0.24,0.16,0.51,1718106365.359356
-0.24,0.13,0.49,1718106365.359356
-0.23,0.11,0.47,1718106365.360711
-0.25,0.08,0.5,1718106365.360711
-0.29,0.13,0.49,1718106365.361718
-0.36,0.11,0.57,1718106365.361718
-0.35,0.16,0.49,1718106365.361718
-0.34,0.09,0.51,1718106365.3627157
-0.25,0.08,0.56,1718106365.3627157
-0.3,0.08,0.52,1718106365.3639355
-0.33,0.11,0.56,1718106365.3639355
-0.29,0.15,0.48,1718106365.3648703
-0.33,0.04,0.49,1718106365.3648703
-0.28,0.13,0.54,1718106365.3648703
-0.31,0.1,0.5,1718106365.3662982
-0.28,0.08,0.56,1718106365.3662982
-0.34,0.12,0.55,1718106365.3724031
-0.39,0.08,0.53,1718106365.3733046
-0.29,0.15,0.48,1718106365.3733046
-0.31,0.05,0.5,1718106365.4391942
-0.34,0.14,0.46,1718106365.4400988
-0.4,0.07,0.49,1718106365.4400988
-0.33,0.06,0.45,1718106365.4411008
-0.41,0.08,0.54,1718106365.505565
-0.33,0.05,0.51,1718106365.5065525
-0.39,0.08,0.53,1718106365.5065525
-0.35,0.09,0.48,1718106365.5075574
-0.39,0.08,0.49,1718106365.5722961
-0.32,0.08,0.5,1718106365.5733068
-0.33,0.16,0.49,1718106365.5733068
-0.31,0.08,0.43,1718106365.5733068
-0.34,0.04,0.44,1718106365.638892
-0.35,0.06,0.38,1718106365.6398969
-0.38,0.1,0.42,1718106365.6398969
-0.22,0.13,0.54,1718106365.7065408
-0.22,0.05,0.48,1718106365.7071202
-0.19,0.05,0.49,1718106365.7071202
-0.19,0.09,0.44,1718106365.7071202
-0.19,0.07,0.51,1718106365.773333
-0.22,0.11,0.45,1718106365.773333
-0.23,0.12,0.42,1718106365.7743478
-0.23,0.1,0.48,1718106365.7743478
-0.16,0.12,0.45,1718106365.8397858
-0.24,0.03,0.51,1718106365.8397858
-0.24,0.08,0.49,1718106365.840654
-0.2,0.07,0.5,1718106365.840654
-0.12,0.05,0.64,1718106365.9061253
-0.14,0.05,0.64,1718106365.9070415
-0.13,0.07,0.61,1718106365.9070415
-0.16,0.03,0.53,1718106365.9733398
-0.16,0.01,0.61,1718106365.9733398
-0.17,-0.0,0.62,1718106365.9733398
-0.18,0.07,0.53,1718106365.9743512
-0.2,0.05,0.58,1718106366.04
-0.2,0.05,0.59,1718106366.04
-0.1,0.11,0.59,1718106366.04
-0.2,0.05,0.59,1718106366.0410123
-0.08,0.07,0.54,1718106366.1067057
-0.14,0.08,0.64,1718106366.1067057
-0.08,0.06,0.52,1718106366.1077144
-0.21,0.05,0.59,1718106366.1077144
-0.17,0.1,0.59,1718106366.1730015
-0.25,0.11,0.52,1718106366.1733375
-0.18,0.11,0.59,1718106366.174015
-0.12,0.05,0.53,1718106366.2394164
-0.17,0.06,0.6,1718106366.2394164
-0.21,-0.04,0.62,1718106366.2402902
-0.21,0.01,0.61,1718106366.2402902
-0.18,0.04,0.57,1718106366.3061404
-0.18,-0.02,0.64,1718106366.3061404
-0.25,0.05,0.63,1718106366.307067
-0.25,0.05,0.59,1718106366.307067
-0.23,0.05,0.63,1718106366.3729966
-0.22,-0.0,0.59,1718106366.3732486
-0.25,-0.02,0.64,1718106366.3742568
-0.25,-0.06,0.62,1718106366.4386017
-0.31,0.03,0.62,1718106366.4396024
-0.34,0.04,0.65,1718106366.4396024
-0.31,0.02,0.62,1718106366.440859
-0.33,0.03,0.67,1718106366.5062096
-0.28,0.05,0.62,1718106366.5062096
-0.28,-0.02,0.58,1718106366.507139
-0.33,0.03,0.58,1718106366.5073109
-0.23,0.04,0.64,1718106366.5726905
-0.33,0.05,0.62,1718106366.5726905
-0.3,0.06,0.54,1718106366.573689
-0.33,0.08,0.58,1718106366.573689
-0.28,0.09,0.54,1718106366.6390026
-0.33,0.06,0.58,1718106366.640001
-0.32,0.03,0.47,1718106366.640001
-0.34,0.03,0.52,1718106366.7062387
-0.35,-0.01,0.49,1718106366.7062387
-0.4,0.08,0.41,1718106366.707238
-0.44,-0.03,0.35,1718106366.707238
-0.42,0.02,0.38,1718106366.772964
-0.3,0.06,0.44,1718106366.772964
-0.33,0.08,0.46,1718106366.772964
-0.39,-0.01,0.44,1718106366.7739635
-0.38,0.04,0.4,1718106366.839218
-0.33,0.05,0.39,1718106366.840225
-0.3,0.09,0.38,1718106366.840225
-0.37,0.03,0.37,1718106366.840225
-0.26,0.05,0.38,1718106366.9059412
