X,Y,Z,Timestamp
-0.1,-0.06,0.46,1718106582.2384927
-0.09,0.02,0.52,1718106582.2394717
-0.14,-0.07,0.56,1718106582.2394717
-0.09,0.03,0.69,1718106582.2409492
-0.1,-0.04,0.52,1718106582.241471
-0.1,-0.05,0.57,1718106582.2424707
-0.13,-0.05,0.52,1718106582.2424707
-0.09,-0.1,0.5,1718106582.2434728
-0.17,-0.03,0.63,1718106582.2434728
-0.21,-0.1,0.58,1718106582.2444715
-0.19,-0.05,0.54,1718106582.2444715
-0.06,-0.12,0.49,1718106582.2457907
-0.11,-0.1,0.49,1718106582.2457907
-0.13,-0.1,0.57,1718106582.2457907
-0.14,-0.04,0.62,1718106582.2466538
-0.09,-0.12,0.54,1718106582.2466538
-0.14,-0.08,0.56,1718106582.2466538
-0.09,-0.03,0.52,1718106582.2476594
-0.2,-0.11,0.62,1718106582.2476594
-0.19,-0.12,0.62,1718106582.2476594
-0.11,-0.08,0.53,1718106582.2486594
-0.13,-0.04,0.49,1718106582.2486594
-0.07,-0.03,0.49,1718106582.2486594
-0.08,-0.05,0.62,1718106582.2496588
-0.13,-0.09,0.62,1718106582.3083186
-0.11,-0.1,0.58,1718106582.3102272
-0.1,-0.05,0.56,1718106582.3112352
-0.17,-0.12,0.51,1718106582.312232
-0.21,-0.12,0.57,1718106582.3755932
-0.15,-0.15,0.58,1718106582.3766148
-0.09,-0.13,0.59,1718106582.3766148
-0.09,-0.1,0.57,1718106582.4418151
-0.07,-0.05,0.59,1718106582.4428275
-0.07,-0.03,0.57,1718106582.4428275
-0.07,-0.1,0.58,1718106582.4438224
-0.12,-0.08,0.64,1718106582.5085366
-0.21,-0.04,0.62,1718106582.5085366
-0.19,-0.12,0.73,1718106582.5095491
-0.25,-0.06,0.58,1718106582.5754106
-0.31,-0.15,0.57,1718106582.5763757
-0.31,-0.1,0.5,1718106582.5763757
-0.26,-0.09,0.54,1718106582.577375
-0.35,-0.12,0.58,1718106582.6417067
-0.31,-0.15,0.45,1718106582.6417067
-0.31,-0.09,0.51,1718106582.642713
-0.28,-0.13,0.47,1718106582.708511
0.05,-0.11,0.59,1718106582.708511
0.06,-0.07,0.58,1718106582.7094474
0.06,-0.08,0.53,1718106582.7094474
0.02,-0.08,0.59,1718106582.775189
0.03,-0.03,0.59,1718106582.775189
0.08,-0.07,0.57,1718106582.7761874
0.08,-0.06,0.51,1718106582.7771876
-0.03,-0.05,0.54,1718106582.8410654
-0.04,-0.03,0.66,1718106582.8430643
-0.16,-0.08,0.64,1718106582.8430643
-0.24,-0.14,0.56,1718106582.9084785
-0.12,-0.1,0.54,1718106582.9084785
-0.26,-0.11,0.49,1718106582.9084785
-0.24,-0.13,0.36,1718106582.9094858
-0.18,-0.17,0.28,1718106582.9751437
-0.08,-0.34,1.11,1718106582.9760091
-0.13,-0.41,0.78,1718106582.9760091
-0.09,-0.51,0.55,1718106583.0415928
-0.03,-0.45,0.12,1718106583.0415928
-0.07,-0.4,0.11,1718106583.0425868
-0.1,-0.35,0.47,1718106583.0425868
-0.08,-0.27,0.6,1718106583.108359
-0.13,-0.28,0.52,1718106583.108359
-0.09,-0.3,0.45,1718106583.108359
-0.1,-0.27,0.47,1718106583.1093407
-0.01,-0.31,0.54,1718106583.1753728
-0.0,-0.31,0.56,1718106583.1757278
-0.03,-0.25,0.36,1718106583.1764
-0.08,-0.26,0.37,1718106583.2424183
-0.46,-0.45,0.82,1718106583.242648
-0.52,-0.51,0.69,1718106583.243328
-0.56,-0.5,0.73,1718106583.2438195
-0.45,-0.52,0.68,1718106583.3082666
-0.39,-0.54,0.64,1718106583.3091273
-0.29,-0.51,0.59,1718106583.3091273
-0.07,-0.41,0.46,1718106583.3751895
0.08,-0.39,0.49,1718106583.3751895
0.13,-0.29,0.59,1718106583.376119
0.06,-0.26,0.59,1718106583.376119
0.03,-0.31,0.52,1718106583.4411225
-0.14,-0.32,0.47,1718106583.4420357
-0.28,-0.34,0.54,1718106583.4420357
-0.27,-0.34,0.54,1718106583.4432075
-0.23,-0.38,0.47,1718106583.5089364
0.13,-0.4,1.11,1718106583.509832
0.08,-0.39,0.75,1718106583.509832
-0.09,-0.44,0.35,1718106583.5749812
-0.26,-0.41,0.02,1718106583.5758991
-0.37,-0.29,0.03,1718106583.5758991
-0.29,-0.23,0.16,1718106583.5758991
-0.22,-0.18,0.34,1718106583.6418579
-0.15,-0.13,0.26,1718106583.6418579
-0.31,-0.17,0.16,1718106583.6431773
-0.21,-0.17,0.18,1718106583.7075162
-0.19,-0.11,0.32,1718106583.70881
-0.11,-0.08,0.41,1718106583.70881
-0.0,-0.05,0.53,1718106583.70881
-0.02,-0.02,0.5,1718106583.7752516
