X,Y,Z,Timestamp
-0.17,0.09,0.5,1718106731.6184702
-0.22,0.05,0.44,1718106731.6194692
-0.23,0.1,0.47,1718106731.6204705
-0.15,0.1,0.47,1718106731.6204705
-0.14,0.08,0.48,1718106731.621898
-0.18,0.09,0.46,1718106731.621898
-0.13,0.04,0.44,1718106731.622905
-0.2,0.07,0.33,1718106731.622905
-0.13,0.11,0.41,1718106731.623904
-0.25,0.18,0.42,1718106731.6252027
-0.19,0.16,0.53,1718106731.6252027
-0.19,0.15,0.52,1718106731.6252027
-0.22,0.07,0.55,1718106731.626211
-0.21,0.12,0.48,1718106731.626211
-0.21,0.13,0.54,1718106731.626211
-0.27,0.15,0.5,1718106731.6272085
-0.28,0.19,0.51,1718106731.6272085
-0.23,0.09,0.5,1718106731.6272085
-0.31,0.14,0.5,1718106731.6272085
-0.23,0.1,0.49,1718106731.6282086
-0.24,0.21,0.52,1718106731.6282086
-0.21,0.19,0.51,1718106731.6282086
-0.17,0.2,0.51,1718106731.6292086
-0.23,0.18,0.5,1718106731.6292086
-0.25,0.19,0.49,1718106731.6292086
-0.26,0.1,0.46,1718106731.6681106
-0.28,0.18,0.5,1718106731.66901
-0.32,0.17,0.39,1718106731.66901
-0.24,0.18,0.48,1718106731.670013
-0.28,0.18,0.44,1718106731.7357302
-0.19,0.17,0.43,1718106731.7367265
-0.19,0.18,0.54,1718106731.7367265
-0.19,0.09,0.54,1718106731.8018668
-0.25,0.11,0.56,1718106731.8018668
-0.23,0.07,0.55,1718106731.8028734
-0.31,0.15,0.55,1718106731.8028734
-0.32,0.15,0.51,1718106731.8690572
-0.3,0.15,0.49,1718106731.8690572
-0.29,0.13,0.51,1718106731.870072
-0.18,0.11,0.49,1718106731.870072
-0.26,0.16,0.54,1718106731.9353478
-0.29,0.13,0.5,1718106731.9353478
-0.27,0.13,0.49,1718106731.9362888
-0.23,0.13,0.47,1718106731.9362888
-0.23,0.17,0.48,1718106732.0016677
-0.22,0.1,0.44,1718106732.0025496
-0.31,0.16,0.46,1718106732.0025496
-0.23,0.13,0.48,1718106732.0690613
-0.2,0.08,0.54,1718106732.0692675
-0.25,0.1,0.55,1718106732.0692675
-0.24,0.07,0.53,1718106732.070281
-0.33,0.05,0.49,1718106732.1353023
-0.28,0.03,0.44,1718106732.1353023
-0.27,0.11,0.48,1718106732.1363206
-0.28,0.04,0.36,1718106732.1363206
-0.26,0.1,0.37,1718106732.202385
-0.29,0.09,0.36,1718106732.202385
-0.21,0.08,0.55,1718106732.2034042
-0.12,0.14,0.54,1718106732.20364
-0.18,0.08,0.54,1718106732.2685337
-0.17,0.12,0.54,1718106732.2685337
-0.05,0.09,0.62,1718106732.269447
-0.04,0.16,0.62,1718106732.269447
-0.11,0.14,0.6,1718106732.3351207
-0.02,0.15,0.65,1718106732.3360422
-0.08,0.12,0.7,1718106732.3360422
-0.1,0.17,0.72,1718106732.401329
-0.17,0.08,0.64,1718106732.4023373
-0.16,0.09,0.71,1718106732.4023373
-0.12,0.08,0.68,1718106732.4023373
-0.16,0.11,0.62,1718106732.467989
-0.16,0.07,0.7,1718106732.4689875
-0.13,0.08,0.63,1718106732.4689875
-0.1,-0.01,0.51,1718106732.4689875
-0.03,-0.03,0.5,1718106732.5345805
-0.05,0.08,0.52,1718106732.5354884
-0.04,0.04,0.56,1718106732.5364523
-0.07,0.06,0.54,1718106732.6020958
-0.07,0.09,0.5,1718106732.6023
0.03,0.03,0.55,1718106732.6023
-0.03,0.03,0.53,1718106732.603311
-0.16,-0.05,0.54,1718106732.668038
-0.17,0.02,0.54,1718106732.669041
-0.18,0.07,0.52,1718106732.669041
-0.24,-0.03,0.58,1718106732.6700478
-0.26,0.04,0.6,1718106732.7351935
-0.28,-0.05,0.49,1718106732.736064
-0.28,0.03,0.54,1718106732.736064
-0.35,0.04,0.58,1718106732.7370625
-0.35,0.05,0.57,1718106732.8023815
-0.39,0.03,0.54,1718106732.8023815
-0.28,-0.01,0.59,1718106732.8033803
-0.39,0.08,0.59,1718106732.8685572
-0.39,0.05,0.55,1718106732.8685572
-0.36,-0.02,0.57,1718106732.869493
-0.37,-0.02,0.52,1718106732.869493
-0.44,-0.01,0.49,1718106732.9352512
-0.42,0.08,0.45,1718106732.9382539
-0.31,0.04,0.54,1718106732.9382539
-0.28,0.04,0.54,1718106732.9392512
-0.3,0.09,0.6,1718106733.0013697
-0.28,-0.0,0.56,1718106733.0023708
-0.28,0.03,0.59,1718106733.0023708
-0.28,0.19,0.53,1718106733.0684984
-0.31,0.14,0.51,1718106733.0684984
-0.2,0.09,0.59,1718106733.069519
-0.25,0.04,0.53,1718106733.069519
-0.17,0.06,0.49,1718106733.1353958
