X,Y,Z,Timestamp
-0.31,0.1,0.46,1718106329.254675
-0.4,0.13,0.39,1718106329.254675
-0.39,0.13,0.41,1718106329.2560084
-0.36,0.11,0.42,1718106329.2566755
-0.37,0.18,0.42,1718106329.257799
-0.32,0.18,0.39,1718106329.257799
-0.34,0.11,0.39,1718106329.2588065
-0.37,0.15,0.39,1718106329.2588065
-0.37,0.13,0.4,1718106329.2588065
-0.33,0.17,0.34,1718106329.2588065
-0.31,0.13,0.34,1718106329.2598033
-0.39,0.14,0.29,1718106329.2598033
-0.44,0.17,0.28,1718106329.2608032
-0.55,0.11,0.35,1718106329.2608032
-0.6,0.04,0.39,1718106329.2608032
-0.65,0.14,0.46,1718106329.2608032
-0.54,0.06,0.44,1718106329.2618032
-0.61,0.14,0.37,1718106329.2618032
-0.51,0.14,0.38,1718106329.2618032
-0.53,0.1,0.44,1718106329.2628033
-0.57,0.11,0.39,1718106329.2628033
-0.68,0.08,0.35,1718106329.2628033
-0.56,0.11,0.34,1718106329.2638032
-0.6,0.11,0.39,1718106329.2638032
-0.56,0.19,0.33,1718106329.2638032
-0.58,0.19,0.42,1718106329.2638032
-0.47,0.13,0.39,1718106329.2648036
-0.45,0.21,0.47,1718106329.2648036
-0.53,0.13,0.43,1718106329.2658052
-0.42,0.21,0.42,1718106329.3071432
-0.49,0.15,0.34,1718106329.3074493
-0.54,0.15,0.36,1718106329.3081274
-0.55,0.13,0.33,1718106329.3081274
-0.46,0.21,0.28,1718106329.3733368
-0.52,0.13,0.37,1718106329.3733368
-0.47,0.14,0.34,1718106329.374273
-0.55,0.2,0.33,1718106329.439599
-0.51,0.17,0.39,1718106329.4404562
-0.49,0.15,0.42,1718106329.4404562
-0.49,0.14,0.4,1718106329.4414544
-0.47,0.23,0.45,1718106329.5062108
-0.47,0.22,0.45,1718106329.5071409
-0.42,0.16,0.43,1718106329.5071409
-0.51,0.23,0.36,1718106329.5071409
-0.39,0.22,0.44,1718106329.5736628
-0.41,0.28,0.46,1718106329.5736628
-0.42,0.28,0.33,1718106329.5746808
-0.28,0.24,0.39,1718106329.5746808
-0.34,0.28,0.38,1718106329.6400533
-0.25,0.21,0.4,1718106329.6400533
-0.31,0.22,0.41,1718106329.6409876
-0.45,0.19,0.49,1718106329.6409876
-0.43,0.2,0.41,1718106329.70699
-0.49,0.11,0.39,1718106329.70699
-0.53,0.15,0.31,1718106329.7081769
-0.41,0.09,0.35,1718106329.7736669
-0.39,0.08,0.34,1718106329.7736669
-0.47,0.12,0.34,1718106329.7746859
-0.46,0.03,0.28,1718106329.7746859
-0.44,0.08,0.37,1718106329.8403237
-0.6,0.08,0.28,1718106329.8403237
-0.65,0.03,0.36,1718106329.8415778
-0.61,0.02,0.26,1718106329.8415778
-0.63,-0.01,0.38,1718106329.9071333
-0.66,0.07,0.28,1718106329.9074554
-0.66,0.02,0.32,1718106329.9080389
-0.73,-0.04,0.34,1718106329.9733062
-0.76,0.02,0.43,1718106329.974257
-0.78,0.03,0.31,1718106329.974257
-0.72,0.02,0.4,1718106329.9752562
-0.65,0.02,0.32,1718106330.039964
-0.59,0.13,0.39,1718106330.039964
-0.61,0.03,0.42,1718106330.039964
-0.63,0.06,0.54,1718106330.0411704
-0.68,0.08,0.54,1718106330.1058252
-0.65,0.03,0.52,1718106330.1068242
-0.49,0.13,0.59,1718106330.1068242
-0.49,0.1,0.53,1718106330.1078246
-0.46,0.17,0.48,1718106330.1732688
-0.49,0.16,0.52,1718106330.1732688
-0.45,0.16,0.63,1718106330.174256
-0.47,0.19,0.61,1718106330.174256
-0.4,0.09,0.59,1718106330.2391758
-0.41,0.1,0.57,1718106330.2401752
-0.39,0.18,0.6,1718106330.2401752
-0.32,0.2,0.56,1718106330.3061516
-0.34,0.09,0.54,1718106330.3070807
-0.41,0.1,0.54,1718106330.3070807
-0.37,0.14,0.6,1718106330.308079
-0.34,0.21,0.63,1718106330.3728695
-0.31,0.2,0.58,1718106330.3728695
-0.38,0.11,0.54,1718106330.3738787
-0.41,0.14,0.54,1718106330.3738787
-0.4,0.18,0.48,1718106330.4405284
-0.38,0.12,0.54,1718106330.4408622
-0.41,0.1,0.53,1718106330.441486
-0.41,0.13,0.46,1718106330.4420102
-0.36,0.15,0.47,1718106330.506187
-0.37,0.2,0.51,1718106330.5071034
-0.33,0.2,0.47,1718106330.507652
-0.41,0.12,0.5,1718106330.5738
-0.36,0.13,0.48,1718106330.5740032
-0.37,0.17,0.43,1718106330.5740032
-0.39,0.13,0.33,1718106330.5750132
-0.39,0.18,0.36,1718106330.6397982
-0.39,0.19,0.39,1718106330.6400702
-0.37,0.13,0.49,1718106330.6406136
-0.43,0.11,0.19,1718106330.6406136
-0.5,0.13,0.17,1718106330.707167
