X,Y,Z,Timestamp
-0.22,0.13,0.11,1718106529.7713828
-0.2,0.16,0.15,1718106529.7723823
-0.11,0.13,0.25,1718106529.7723823
-0.16,0.16,0.33,1718106529.7733822
-0.22,0.16,0.31,1718106529.7733822
-0.16,0.12,0.54,1718106529.7753851
-0.19,0.11,0.54,1718106529.7753851
-0.22,0.16,0.56,1718106529.7753851
-0.08,0.1,0.51,1718106529.7753851
-0.05,0.18,0.49,1718106529.7763846
-0.23,0.16,0.53,1718106529.7763846
-0.17,0.09,0.48,1718106529.777383
-0.23,0.15,0.48,1718106529.7783823
-0.15,0.15,0.42,1718106529.7783823
-0.13,0.19,0.57,1718106529.778917
-0.24,0.17,0.58,1718106529.779327
-0.19,0.14,0.52,1718106529.779327
-0.15,0.1,0.54,1718106529.780334
-0.08,0.18,0.53,1718106529.780334
-0.1,0.08,0.54,1718106529.780334
-0.19,0.12,0.49,1718106529.7813318
-0.1,0.09,0.45,1718106529.7813318
-0.15,0.08,0.55,1718106529.7823324
-0.14,0.08,0.6,1718106529.7823324
-0.15,0.12,0.52,1718106529.7833333
-0.26,0.11,0.59,1718106529.8429382
-0.2,0.14,0.58,1718106529.8429382
-0.08,0.12,0.5,1718106529.8439538
-0.04,0.1,0.51,1718106529.8449469
-0.11,0.16,0.53,1718106529.9095128
-0.18,0.11,0.51,1718106529.9098966
-0.21,0.14,0.5,1718106529.9104013
-0.16,0.08,0.46,1718106529.9104013
-0.18,0.13,0.48,1718106529.9762108
-0.14,0.12,0.54,1718106529.9762108
-0.18,0.1,0.53,1718106529.9770799
-0.17,0.14,0.54,1718106529.9775536
-0.14,0.07,0.56,1718106530.0429397
-0.13,0.13,0.55,1718106530.0433273
-0.16,0.07,0.51,1718106530.0443356
-0.09,0.18,0.5,1718106530.1086743
-0.04,0.11,0.49,1718106530.1095524
0.04,0.11,0.54,1718106530.1095524
0.2,0.23,0.52,1718106530.1105502
0.4,0.2,0.51,1718106530.1760063
0.52,0.21,0.52,1718106530.1760063
0.54,0.24,0.59,1718106530.1768987
0.58,0.23,0.65,1718106530.1768987
0.42,0.18,0.46,1718106530.2423663
0.04,0.02,0.42,1718106530.2423663
-0.44,-0.12,0.46,1718106530.2433076
-0.99,-0.26,0.6,1718106530.2433076
-1.37,-0.3,0.82,1718106530.3096247
-1.38,-0.24,0.78,1718106530.309962
-0.39,0.08,0.44,1718106530.3105052
-0.23,0.15,0.47,1718106530.3105052
-0.1,0.12,0.49,1718106530.3761775
-0.09,0.13,0.42,1718106530.3765767
-0.11,0.16,0.45,1718106530.3770382
-0.08,0.13,0.39,1718106530.4420235
-0.1,0.12,0.45,1718106530.442928
-0.2,0.11,0.35,1718106530.442928
-0.2,0.08,0.19,1718106530.4439373
-0.23,0.05,-0.17,1718106530.5082266
-0.19,-0.07,-0.39,1718106530.5082266
-0.33,-0.14,-0.28,1718106530.5096266
-0.44,-0.21,0.16,1718106530.5096266
-0.42,-0.2,0.78,1718106530.5750828
-0.32,-0.18,1.11,1718106530.576221
-0.18,-0.07,0.54,1718106530.576221
-0.23,-0.08,0.6,1718106530.6417022
-0.28,-0.14,0.56,1718106530.6426075
-0.23,-0.13,0.55,1718106530.6426075
-0.17,-0.09,0.64,1718106530.6436107
-0.13,-0.06,0.63,1718106530.7084656
-0.08,-0.07,0.54,1718106530.70948
-0.16,-0.04,0.59,1718106530.70948
-0.21,-0.06,0.47,1718106530.7752535
-0.22,-0.06,0.52,1718106530.7761824
-0.2,-0.08,0.57,1718106530.7761824
-0.22,-0.15,0.52,1718106530.7771792
-0.4,-0.21,0.64,1718106530.842938
-0.49,-0.23,0.68,1718106530.8433213
0.11,0.01,0.53,1718106530.8433213
0.1,-0.01,0.48,1718106530.8443315
0.11,0.08,0.49,1718106530.9088528
-0.0,0.03,0.42,1718106530.909696
-0.08,-0.02,0.34,1718106530.909696
-0.16,0.04,0.35,1718106530.975731
-0.18,0.01,0.46,1718106530.975731
-0.07,-0.02,0.49,1718106530.975731
-0.04,0.04,0.59,1718106530.9767308
-0.07,-0.03,0.6,1718106531.0421393
-0.07,-0.03,0.54,1718106531.0431392
-0.03,-0.05,0.54,1718106531.0431392
-0.08,-0.07,0.57,1718106531.0431392
-0.11,-0.1,0.64,1718106531.1087134
-0.13,-0.06,0.62,1718106531.1095924
-0.25,-0.05,0.62,1718106531.1095924
-0.33,-0.1,0.38,1718106531.1758027
-0.17,-0.01,0.18,1718106531.1767297
-0.11,0.07,0.1,1718106531.1767297
-0.12,0.12,0.12,1718106531.1777267
-0.11,0.13,0.16,1718106531.2427547
-0.27,0.07,0.17,1718106531.2427547
-0.26,0.11,0.24,1718106531.243683
-0.22,0.13,0.27,1718106531.243683
-0.28,0.07,0.31,1718106531.3095298
