X,Y,Z,Timestamp
-0.24,0.2,0.48,1718106704.5418527
-0.1,0.16,0.58,1718106704.5428524
-0.23,0.13,0.6,1718106704.5428524
-0.38,0.18,0.59,1718106704.5443084
-0.31,0.18,0.58,1718106704.5443084
-0.29,0.08,0.58,1718106704.5453138
-0.28,0.16,0.54,1718106704.54662
-0.38,0.11,0.61,1718106704.54662
-0.31,0.13,0.54,1718106704.54662
-0.31,0.18,0.42,1718106704.5476272
-0.34,0.17,0.49,1718106704.5476272
-0.28,0.18,0.54,1718106704.5476272
-0.39,0.17,0.46,1718106704.5486248
-0.3,0.08,0.5,1718106704.5486248
-0.31,0.1,0.53,1718106704.5486248
-0.26,0.12,0.49,1718106704.5486248
-0.31,0.15,0.48,1718106704.549625
-0.33,0.15,0.52,1718106704.549625
-0.39,0.1,0.47,1718106704.549625
-0.28,0.12,0.48,1718106704.5506268
-0.29,0.16,0.43,1718106704.5506268
-0.22,0.13,0.51,1718106704.551625
-0.28,0.09,0.49,1718106704.551625
-0.31,0.14,0.5,1718106704.5526257
-0.37,0.18,0.47,1718106704.5526257
-0.32,0.09,0.46,1718106704.553626
-0.26,0.14,0.59,1718106704.553626
-0.36,0.15,0.54,1718106704.554625
-0.29,0.09,0.44,1718106704.554625
-0.3,0.1,0.47,1718106704.6029558
-0.38,0.1,0.47,1718106704.6029558
-0.3,0.13,0.48,1718106704.6042256
-0.3,0.1,0.55,1718106704.6051466
-0.26,0.13,0.48,1718106704.6689613
-0.28,0.13,0.47,1718106704.6689613
-0.3,0.16,0.43,1718106704.6699638
-0.3,0.15,0.58,1718106704.6699638
-0.3,0.17,0.5,1718106704.735807
-0.31,0.07,0.42,1718106704.7363076
-0.23,0.1,0.42,1718106704.7372541
-0.26,0.16,0.37,1718106704.8024907
-0.08,0.15,0.42,1718106704.8035135
0.05,0.21,0.03,1718106704.8045156
-0.06,-0.18,-0.25,1718106704.8055084
-0.12,-0.18,0.15,1718106704.8687615
-0.08,-0.14,0.9,1718106704.8707612
-0.04,-0.08,1.47,1718106704.8717616
-0.1,-0.11,1.56,1718106704.8717616
-0.34,-0.24,1.16,1718106704.935612
-0.42,-0.35,0.55,1718106704.936626
-0.49,-0.42,0.25,1718106704.936626
-0.33,-0.34,0.02,1718106705.0022273
-0.24,-0.29,0.35,1718106705.0031757
-0.21,-0.21,0.8,1718106705.0039835
-0.13,-0.2,1.06,1718106705.005011
-0.3,-0.18,0.96,1718106705.0688865
-0.49,-0.34,0.75,1718106705.0688865
-0.29,-0.26,0.64,1718106705.0700626
-0.37,-0.3,0.51,1718106705.134897
-0.48,-0.31,0.61,1718106705.135809
-0.46,-0.31,0.55,1718106705.135809
-0.28,-0.21,0.66,1718106705.1368084
-0.22,-0.24,0.56,1718106705.2020822
-0.21,-0.18,0.51,1718106705.2020822
-0.13,-0.13,0.51,1718106705.2020822
-0.15,-0.16,0.56,1718106705.268024
-0.21,-0.15,0.59,1718106705.2690217
-0.35,-0.19,0.59,1718106705.2690217
-0.37,-0.26,0.68,1718106705.2700217
-0.44,-0.28,0.73,1718106705.3354409
-0.57,-0.31,0.71,1718106705.3364758
-0.16,-0.13,0.63,1718106705.3367603
-0.2,-0.17,0.59,1718106705.4013226
-0.18,-0.18,0.58,1718106705.4023309
-0.19,-0.16,0.54,1718106705.4023309
-0.17,-0.21,0.57,1718106705.4033349
-0.15,-0.22,0.61,1718106705.469121
-0.25,-0.14,0.58,1718106705.4700835
-0.19,-0.21,0.56,1718106705.4700835
-0.17,-0.17,0.59,1718106705.4700835
-0.13,-0.21,0.6,1718106705.53553
-0.13,-0.22,0.71,1718106705.535916
-0.16,-0.19,0.68,1718106705.5369227
-0.19,-0.16,0.68,1718106705.6021316
-0.09,-0.21,0.76,1718106705.6031306
-0.44,-0.08,0.11,1718106705.6031306
-0.42,-0.03,0.12,1718106705.6041205
-0.39,-0.04,0.1,1718106705.6685615
-0.4,-0.01,-0.0,1718106705.6695633
-0.36,0.07,0.11,1718106705.6705675
-0.54,0.08,0.19,1718106705.7359931
