X,Y,Z,Timestamp
-0.41,0.05,0.47,1718106887.4133892
-0.38,-0.05,0.54,1718106887.4143896
-0.34,-0.05,0.59,1718106887.4143896
-0.33,0.06,0.54,1718106887.4143896
-0.36,0.01,0.48,1718106887.4153893
-0.34,-0.03,0.51,1718106887.4164248
-0.32,-0.05,0.52,1718106887.4164248
-0.28,0.06,0.64,1718106887.4174838
-0.33,0.02,0.61,1718106887.4174838
-0.38,-0.06,0.52,1718106887.4174838
-0.34,0.04,0.51,1718106887.4184885
-0.31,0.05,0.54,1718106887.419901
-0.34,-0.03,0.56,1718106887.419901
-0.34,0.03,0.54,1718106887.4204946
-0.39,-0.03,0.44,1718106887.4204946
-0.3,-0.06,0.56,1718106887.4204946
-0.32,-0.04,0.61,1718106887.421542
-0.27,0.01,0.59,1718106887.421542
-0.3,0.05,0.56,1718106887.4225028
-0.38,-0.03,0.53,1718106887.4225028
-0.36,-0.03,0.52,1718106887.4225028
-0.37,0.03,0.53,1718106887.4235013
-0.36,-0.03,0.59,1718106887.4235013
-0.36,-0.03,0.55,1718106887.4235013
-0.29,-0.04,0.58,1718106887.4245012
-0.28,0.03,0.53,1718106887.4245012
-0.34,-0.01,0.49,1718106887.4245012
-0.28,0.03,0.57,1718106887.425501
-0.34,-0.03,0.63,1718106887.425501
-0.35,0.04,0.62,1718106887.425501
-0.28,0.02,0.54,1718106887.4265034
-0.32,0.02,0.54,1718106887.4265034
-0.27,0.04,0.53,1718106887.4265034
-0.34,-0.03,0.52,1718106887.4275117
-0.34,-0.03,0.54,1718106887.4275117
-0.39,-0.01,0.55,1718106887.4275117
-0.36,0.02,0.55,1718106887.4285073
-0.35,-0.03,0.5,1718106887.4285073
-0.32,0.02,0.53,1718106887.4285073
-0.33,0.03,0.53,1718106887.429504
-0.34,0.02,0.54,1718106887.432502
-0.34,0.02,0.57,1718106887.432502
-0.3,-0.0,0.61,1718106887.4335017
-0.36,0.01,0.57,1718106887.499617
-0.3,0.05,0.56,1718106887.5006347
-0.31,-0.03,0.49,1718106887.5006347
-0.35,0.03,0.49,1718106887.5016327
-0.34,-0.01,0.57,1718106887.5656543
-0.31,-0.01,0.6,1718106887.5666542
-0.32,0.03,0.59,1718106887.567652
-0.34,-0.0,0.59,1718106887.5686507
-0.32,-0.04,0.54,1718106887.633056
-0.3,-0.05,0.56,1718106887.634052
-0.35,-0.03,0.52,1718106887.635049
-0.3,0.01,0.53,1718106887.6994953
-0.31,-0.04,0.41,1718106887.6994953
-0.3,-0.27,0.81,1718106887.7006707
-0.29,-0.33,0.9,1718106887.7006707
-0.38,-0.33,0.95,1718106887.766386
-0.37,-0.37,0.92,1718106887.7673845
-0.32,-0.34,0.87,1718106887.7673845
-0.28,-0.29,0.9,1718106887.8329148
-0.26,-0.23,0.97,1718106887.8329148
-0.34,-0.27,0.95,1718106887.8339138
-0.31,-0.31,0.98,1718106887.8349137
-0.24,-0.38,0.91,1718106887.899721
-0.3,-0.35,0.67,1718106887.900721
-0.3,-0.33,0.39,1718106887.900721
-0.33,-0.23,0.24,1718106887.965378
-0.33,-0.23,0.12,1718106887.9663913
-0.33,-0.3,1.06,1718106887.9663913
-0.33,-0.33,1.01,1718106887.967682
-0.29,-0.29,1.08,1718106888.0329554
-0.36,-0.38,1.18,1718106888.0329554
-0.31,-0.29,1.32,1718106888.033996
-0.32,-0.31,1.35,1718106888.033996
-0.21,-0.48,1.3,1718106888.0992727
-0.22,-0.48,0.91,1718106888.0992727
-0.31,-0.47,0.42,1718106888.1002717
-0.4,-0.4,-0.1,1718106888.1662567
-0.41,-0.35,-0.37,1718106888.1662567
-0.43,-0.18,-0.23,1718106888.1672494
-0.37,-0.08,0.09,1718106888.2322505
-0.28,-0.08,0.35,1718106888.2332609
-0.33,-0.02,0.6,1718106888.2332609
-0.34,-0.07,0.55,1718106888.2341084
-0.33,-0.05,0.56,1718106888.2994797
-0.32,0.01,0.56,1718106888.2994797
-0.31,-0.03,0.58,1718106888.300469
-0.39,0.01,0.59,1718106888.300469
-0.31,-0.07,0.51,1718106888.3664062
