X,Y,Z,Timestamp
-0.08,-0.1,0.78,1718106825.5085893
-0.1,-0.13,0.8,1718106825.5085893
-0.16,-0.19,0.6,1718106825.5095897
-0.1,-0.12,0.57,1718106825.5107594
-0.18,-0.13,0.59,1718106825.5107594
-0.18,-0.2,0.66,1718106825.5117652
-0.13,-0.1,0.59,1718106825.512769
-0.09,-0.15,0.59,1718106825.512769
-0.16,-0.19,0.61,1718106825.513765
-0.16,-0.15,0.63,1718106825.513765
-0.19,-0.15,0.63,1718106825.5147643
-0.13,-0.19,0.64,1718106825.5147643
-0.18,-0.19,0.59,1718106825.5147643
-0.24,-0.19,0.68,1718106825.5157642
-0.23,-0.16,0.61,1718106825.5157642
-0.26,-0.13,0.66,1718106825.5157642
-0.18,-0.06,0.75,1718106825.5157642
-0.23,-0.09,0.72,1718106825.516764
-0.2,-0.07,0.61,1718106825.516764
-0.27,-0.07,0.67,1718106825.516764
-0.25,-0.12,0.72,1718106825.517764
-0.25,-0.12,0.62,1718106825.517764
-0.29,-0.09,0.62,1718106825.517764
-0.32,-0.15,0.7,1718106825.5187674
-0.28,-0.11,0.67,1718106825.5187674
-0.34,-0.14,0.7,1718106825.5187674
-0.34,-0.18,0.69,1718106825.5197651
-0.4,-0.16,0.59,1718106825.5197651
-0.34,-0.1,0.6,1718106825.5207644
-0.37,-0.13,0.57,1718106825.5207644
-0.5,-0.1,0.41,1718106825.5207644
-0.49,-0.1,0.38,1718106825.521768
-0.43,-0.06,0.38,1718106825.521768
-0.44,-0.05,0.35,1718106825.521768
-0.39,-0.01,0.34,1718106825.5227647
-0.45,-0.02,0.3,1718106825.5227647
-0.38,-0.06,0.34,1718106825.5237677
-0.43,0.03,0.33,1718106825.5237677
-0.42,0.04,0.38,1718106825.5247653
-0.38,-0.04,0.39,1718106825.5247653
-0.39,-0.0,0.38,1718106825.5247653
-0.37,0.04,0.4,1718106825.5257673
-0.36,-0.05,0.47,1718106825.5257673
-0.34,-0.05,0.42,1718106825.5257673
-0.33,0.02,0.41,1718106825.5267677
-0.41,0.03,0.52,1718106825.5267677
-0.33,0.05,0.49,1718106825.5673387
-0.4,0.05,0.54,1718106825.5673387
-0.36,0.07,0.55,1718106825.5683506
-0.36,0.03,0.49,1718106825.5683506
-0.31,-0.03,0.57,1718106825.6334882
-0.34,-0.03,0.54,1718106825.6340048
-0.36,0.05,0.6,1718106825.6340048
-0.34,0.03,0.64,1718106825.7005174
-0.37,-0.03,0.58,1718106825.7005174
-0.41,0.08,0.57,1718106825.7015364
-0.34,-0.0,0.52,1718106825.7015364
-0.32,0.05,0.56,1718106825.7673483
-0.36,-0.0,0.6,1718106825.7677357
-0.4,0.03,0.56,1718106825.7686982
-0.36,-0.04,0.57,1718106825.769711
-0.39,0.07,0.56,1718106825.8340683
-0.49,-0.03,0.46,1718106825.8344219
-0.44,0.03,0.49,1718106825.8354228
-0.49,0.02,0.49,1718106825.8998098
-0.49,0.08,0.47,1718106825.900761
-0.54,0.02,0.55,1718106825.9017565
-0.52,-0.02,0.53,1718106825.9027555
-0.52,-0.03,0.53,1718106825.9672186
-0.51,-0.05,0.52,1718106825.9672186
-0.59,-0.0,0.43,1718106825.9682379
-0.56,-0.02,0.44,1718106825.9682379
-0.62,-0.07,0.34,1718106826.0338678
-0.62,-0.09,0.39,1718106826.0338678
-0.12,-0.09,0.46,1718106826.03488
-0.0,-0.1,0.57,1718106826.0997808
0.07,-0.08,0.65,1718106826.1007144
0.11,0.05,0.68,1718106826.1007144
0.13,-0.07,0.73,1718106826.1017148
0.05,-0.03,0.65,1718106826.167062
0.1,0.07,0.71,1718106826.167062
0.13,0.02,0.65,1718106826.1680534
0.12,0.03,0.7,1718106826.1680534
0.12,0.01,0.72,1718106826.2330294
0.12,0.07,0.63,1718106826.2339349
0.19,0.06,0.69,1718106826.2339349
0.16,0.06,0.72,1718106826.2339349
0.08,0.09,0.69,1718106826.300075
0.13,0.08,0.72,1718106826.300075
0.08,0.04,0.7,1718106826.301043
0.03,0.04,0.65,1718106826.3015816
-0.04,0.03,0.71,1718106826.3667285
-0.62,-0.33,0.4,1718106826.3667285
-0.66,-0.22,0.37,1718106826.3676713
-0.66,-0.26,0.34,1718106826.4328957
-0.64,-0.23,0.29,1718106826.4339032
-0.66,-0.22,0.34,1718106826.4339032
-0.65,-0.22,0.29,1718106826.4349027
-0.7,-0.18,0.33,1718106826.4996386
-0.74,-0.21,0.37,1718106826.500636
-0.54,-0.16,0.35,1718106826.500636
-0.51,-0.13,0.4,1718106826.5016372
-0.49,-0.18,0.42,1718106826.5668707
-0.51,-0.13,0.49,1718106826.5668707
-0.47,-0.18,0.53,1718106826.5678413
-0.32,-0.11,0.55,1718106826.6330209
-0.34,-0.23,0.73,1718106826.6339123
-0.25,-0.27,0.75,1718106826.634886
-0.3,-0.23,0.76,1718106826.634886
-0.25,-0.27,0.68,1718106826.7003736
-0.22,-0.18,0.61,1718106826.701315
-0.15,-0.24,0.67,1718106826.701315
-0.1,-0.15,0.7,1718106826.7670307
